numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.049,0.009,0.009,0.002,0.417,0.039,0.351,0.037,0.417,0.039,0.417,0.039,0.346,0.041,0.417,0.039,0.417,0.040
2,0.043,0.007,0.008,0.002,0.418,0.049,0.406,0.049,0.418,0.049,0.418,0.049,0.466,0.062,0.418,0.049,0.418,0.049
3,0.036,0.006,0.008,0.002,0.483,0.048,0.480,0.049,0.483,0.048,0.483,0.048,0.542,0.056,0.483,0.048,0.483,0.048
4,0.035,0.006,0.008,0.002,0.502,0.048,0.488,0.046,0.502,0.048,0.502,0.048,0.587,0.052,0.502,0.048,0.502,0.048
5,0.038,0.007,0.009,0.002,0.540,0.053,0.535,0.052,0.540,0.053,0.540,0.053,0.583,0.049,0.540,0.053,0.540,0.052
6,0.038,0.008,0.009,0.002,0.545,0.050,0.542,0.050,0.545,0.050,0.545,0.050,0.589,0.052,0.545,0.050,0.545,0.050
7,0.035,0.007,0.007,0.002,0.542,0.054,0.540,0.053,0.542,0.054,0.542,0.054,0.573,0.055,0.542,0.054,0.542,0.054
8,0.038,0.008,0.008,0.002,0.555,0.050,0.554,0.051,0.555,0.050,0.555,0.050,0.584,0.053,0.555,0.050,0.555,0.050
9,0.039,0.008,0.008,0.002,0.562,0.050,0.559,0.050,0.562,0.050,0.562,0.050,0.583,0.051,0.562,0.050,0.562,0.050
10,0.037,0.007,0.008,0.002,0.580,0.044,0.577,0.044,0.580,0.044,0.580,0.044,0.599,0.047,0.580,0.044,0.580,0.044
11,0.038,0.008,0.008,0.003,0.572,0.046,0.570,0.046,0.572,0.046,0.572,0.046,0.592,0.048,0.572,0.046,0.572,0.046
12,0.042,0.008,0.009,0.002,0.571,0.047,0.569,0.047,0.571,0.047,0.571,0.047,0.593,0.048,0.571,0.047,0.571,0.046
13,0.038,0.008,0.008,0.002,0.589,0.049,0.586,0.050,0.589,0.049,0.589,0.049,0.606,0.051,0.589,0.049,0.589,0.049
14,0.039,0.008,0.008,0.002,0.590,0.050,0.587,0.051,0.590,0.050,0.590,0.050,0.609,0.052,0.590,0.050,0.590,0.050
15,0.043,0.009,0.009,0.002,0.589,0.050,0.587,0.050,0.589,0.050,0.589,0.050,0.603,0.050,0.589,0.050,0.589,0.050
16,0.037,0.008,0.008,0.002,0.587,0.049,0.586,0.048,0.587,0.049,0.587,0.049,0.603,0.049,0.587,0.049,0.587,0.048
17,0.038,0.008,0.008,0.002,0.583,0.050,0.582,0.050,0.583,0.050,0.583,0.050,0.598,0.051,0.583,0.050,0.583,0.050
18,0.043,0.009,0.009,0.002,0.582,0.049,0.581,0.050,0.582,0.049,0.582,0.049,0.597,0.049,0.582,0.049,0.582,0.049
19,0.044,0.008,0.010,0.002,0.581,0.046,0.581,0.046,0.581,0.046,0.581,0.046,0.597,0.046,0.581,0.046,0.581,0.046
20,0.042,0.008,0.009,0.002,0.588,0.043,0.586,0.043,0.588,0.043,0.588,0.043,0.599,0.044,0.588,0.043,0.588,0.043
21,0.045,0.007,0.010,0.002,0.586,0.044,0.584,0.045,0.586,0.044,0.586,0.044,0.596,0.046,0.586,0.044,0.586,0.044
22,0.044,0.009,0.009,0.002,0.588,0.047,0.587,0.048,0.588,0.047,0.588,0.047,0.597,0.049,0.588,0.047,0.588,0.047
23,0.041,0.008,0.008,0.002,0.585,0.044,0.583,0.045,0.585,0.044,0.585,0.044,0.593,0.047,0.585,0.044,0.585,0.044
24,0.041,0.008,0.009,0.002,0.590,0.045,0.588,0.046,0.590,0.045,0.590,0.045,0.597,0.047,0.590,0.045,0.590,0.045
25,0.043,0.008,0.009,0.002,0.602,0.049,0.601,0.049,0.602,0.049,0.602,0.049,0.611,0.049,0.602,0.049,0.602,0.049
26,0.043,0.008,0.009,0.002,0.616,0.045,0.614,0.045,0.616,0.045,0.616,0.045,0.622,0.045,0.616,0.045,0.616,0.045
27,0.042,0.008,0.009,0.002,0.614,0.048,0.612,0.048,0.614,0.048,0.614,0.048,0.620,0.048,0.614,0.048,0.614,0.048
28,0.041,0.008,0.009,0.002,0.611,0.048,0.610,0.048,0.611,0.048,0.611,0.048,0.617,0.047,0.611,0.048,0.611,0.048
29,0.043,0.009,0.009,0.002,0.613,0.046,0.611,0.046,0.613,0.046,0.613,0.046,0.619,0.046,0.613,0.046,0.613,0.046
30,0.041,0.008,0.009,0.002,0.616,0.048,0.614,0.049,0.616,0.048,0.616,0.048,0.621,0.049,0.616,0.048,0.616,0.048
31,0.043,0.009,0.009,0.002,0.619,0.047,0.617,0.048,0.619,0.047,0.619,0.047,0.625,0.048,0.619,0.047,0.619,0.047
32,0.035,0.008,0.008,0.002,0.609,0.049,0.607,0.050,0.609,0.049,0.609,0.049,0.614,0.051,0.609,0.049,0.609,0.049
33,0.038,0.008,0.009,0.002,0.608,0.050,0.606,0.051,0.608,0.050,0.608,0.050,0.613,0.051,0.608,0.050,0.608,0.050
34,0.038,0.008,0.008,0.002,0.609,0.049,0.606,0.050,0.609,0.049,0.609,0.049,0.612,0.050,0.609,0.049,0.609,0.049
35,0.039,0.009,0.009,0.002,0.618,0.046,0.615,0.047,0.618,0.046,0.618,0.046,0.622,0.047,0.618,0.046,0.618,0.046
36,0.035,0.007,0.008,0.002,0.617,0.045,0.614,0.046,0.617,0.045,0.617,0.045,0.621,0.047,0.617,0.045,0.618,0.045
37,0.039,0.008,0.009,0.002,0.616,0.046,0.613,0.046,0.616,0.046,0.616,0.046,0.620,0.046,0.616,0.046,0.617,0.046
38,0.039,0.008,0.009,0.002,0.614,0.046,0.611,0.046,0.614,0.046,0.614,0.046,0.617,0.047,0.614,0.046,0.614,0.046
39,0.038,0.009,0.008,0.002,0.614,0.048,0.611,0.048,0.614,0.048,0.614,0.048,0.617,0.048,0.614,0.048,0.614,0.048
40,0.039,0.008,0.008,0.002,0.615,0.045,0.612,0.046,0.615,0.045,0.615,0.045,0.618,0.046,0.615,0.045,0.615,0.045
41,0.041,0.008,0.009,0.002,0.615,0.047,0.613,0.048,0.615,0.047,0.615,0.047,0.619,0.048,0.615,0.047,0.615,0.047
42,0.039,0.008,0.008,0.002,0.611,0.047,0.609,0.048,0.611,0.047,0.611,0.047,0.616,0.048,0.611,0.047,0.611,0.047
43,0.043,0.009,0.009,0.002,0.611,0.048,0.609,0.049,0.611,0.048,0.611,0.048,0.616,0.049,0.611,0.048,0.611,0.049
44,0.043,0.008,0.009,0.002,0.615,0.047,0.613,0.047,0.615,0.047,0.615,0.047,0.620,0.047,0.615,0.047,0.615,0.047
45,0.044,0.008,0.009,0.002,0.614,0.048,0.612,0.048,0.614,0.048,0.614,0.048,0.619,0.047,0.614,0.048,0.614,0.048
46,0.046,0.009,0.009,0.002,0.612,0.050,0.610,0.050,0.612,0.050,0.612,0.050,0.618,0.050,0.612,0.050,0.612,0.050
47,0.047,0.009,0.010,0.002,0.607,0.048,0.605,0.048,0.607,0.048,0.607,0.048,0.612,0.047,0.607,0.048,0.607,0.048
48,0.035,0.008,0.008,0.002,0.604,0.046,0.602,0.047,0.604,0.046,0.604,0.046,0.609,0.046,0.604,0.046,0.604,0.047
49,0.036,0.008,0.008,0.002,0.606,0.047,0.605,0.047,0.606,0.047,0.606,0.047,0.612,0.046,0.606,0.047,0.607,0.047
50,0.040,0.009,0.009,0.002,0.606,0.049,0.604,0.049,0.606,0.049,0.606,0.049,0.610,0.049,0.606,0.049,0.606,0.049
51,0.039,0.009,0.008,0.002,0.605,0.048,0.603,0.049,0.605,0.048,0.605,0.048,0.610,0.048,0.605,0.048,0.605,0.048
52,0.041,0.009,0.008,0.002,0.604,0.045,0.602,0.046,0.604,0.045,0.604,0.045,0.610,0.045,0.604,0.045,0.604,0.045
53,0.044,0.008,0.010,0.002,0.608,0.047,0.606,0.047,0.608,0.047,0.608,0.047,0.613,0.046,0.608,0.047,0.608,0.047
54,0.044,0.008,0.009,0.002,0.606,0.047,0.605,0.048,0.606,0.047,0.606,0.047,0.612,0.048,0.606,0.047,0.607,0.047
55,0.044,0.008,0.009,0.002,0.605,0.047,0.603,0.047,0.605,0.047,0.605,0.047,0.610,0.047,0.605,0.047,0.605,0.047
56,0.045,0.008,0.009,0.002,0.599,0.051,0.597,0.052,0.599,0.051,0.599,0.051,0.605,0.051,0.599,0.051,0.599,0.051
57,0.047,0.008,0.010,0.002,0.604,0.052,0.603,0.052,0.604,0.052,0.604,0.052,0.610,0.052,0.604,0.052,0.604,0.052
58,0.046,0.007,0.009,0.002,0.606,0.050,0.604,0.051,0.606,0.050,0.606,0.050,0.612,0.050,0.606,0.050,0.606,0.050
59,0.050,0.007,0.010,0.002,0.609,0.050,0.607,0.050,0.609,0.050,0.609,0.050,0.616,0.050,0.609,0.050,0.609,0.050
60,0.049,0.009,0.010,0.002,0.608,0.051,0.606,0.051,0.608,0.051,0.608,0.051,0.614,0.050,0.608,0.051,0.608,0.051
61,0.051,0.010,0.010,0.002,0.606,0.049,0.603,0.049,0.606,0.049,0.606,0.049,0.611,0.049,0.606,0.049,0.606,0.049
62,0.052,0.009,0.010,0.002,0.605,0.053,0.602,0.053,0.605,0.053,0.605,0.053,0.611,0.053,0.605,0.053,0.605,0.053
63,0.054,0.010,0.011,0.002,0.606,0.052,0.604,0.052,0.606,0.052,0.606,0.052,0.613,0.052,0.606,0.052,0.606,0.052
64,0.042,0.008,0.009,0.002,0.603,0.049,0.601,0.049,0.603,0.049,0.603,0.049,0.609,0.048,0.603,0.049,0.603,0.049
65,0.047,0.008,0.010,0.002,0.601,0.048,0.599,0.048,0.601,0.048,0.601,0.048,0.608,0.048,0.601,0.048,0.602,0.048
66,0.045,0.007,0.009,0.002,0.603,0.050,0.601,0.050,0.603,0.050,0.603,0.050,0.609,0.049,0.603,0.050,0.603,0.050
67,0.045,0.008,0.010,0.002,0.600,0.047,0.599,0.047,0.600,0.047,0.600,0.047,0.607,0.047,0.600,0.047,0.601,0.047
68,0.045,0.009,0.009,0.002,0.602,0.048,0.601,0.048,0.602,0.048,0.602,0.048,0.610,0.048,0.602,0.048,0.602,0.048
69,0.047,0.008,0.010,0.002,0.600,0.046,0.598,0.046,0.600,0.046,0.600,0.046,0.607,0.047,0.600,0.046,0.600,0.046
70,0.048,0.009,0.009,0.002,0.602,0.047,0.600,0.047,0.602,0.047,0.602,0.047,0.608,0.047,0.602,0.047,0.602,0.047
71,0.046,0.008,0.010,0.002,0.598,0.045,0.596,0.045,0.598,0.045,0.598,0.045,0.604,0.045,0.598,0.045,0.598,0.045
72,0.050,0.008,0.010,0.002,0.600,0.049,0.598,0.049,0.600,0.049,0.600,0.049,0.606,0.049,0.600,0.049,0.600,0.049
73,0.050,0.010,0.010,0.002,0.599,0.050,0.597,0.050,0.599,0.050,0.599,0.050,0.606,0.050,0.599,0.050,0.599,0.050
74,0.053,0.008,0.011,0.002,0.603,0.049,0.602,0.049,0.603,0.049,0.603,0.049,0.610,0.049,0.603,0.049,0.603,0.049
75,0.051,0.008,0.010,0.002,0.604,0.050,0.602,0.050,0.604,0.050,0.604,0.050,0.611,0.051,0.604,0.050,0.604,0.051
