numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.035,0.006,0.009,0.002,0.405,0.031,0.336,0.036,0.405,0.031,0.405,0.031,0.412,0.045,0.405,0.031,0.407,0.032
2,0.038,0.007,0.009,0.002,0.446,0.042,0.419,0.048,0.446,0.042,0.446,0.042,0.558,0.067,0.446,0.042,0.446,0.041
3,0.036,0.007,0.009,0.002,0.488,0.048,0.468,0.049,0.488,0.048,0.488,0.048,0.588,0.060,0.488,0.048,0.488,0.047
4,0.037,0.006,0.009,0.001,0.497,0.047,0.478,0.051,0.497,0.047,0.497,0.047,0.573,0.056,0.497,0.047,0.497,0.046
5,0.037,0.007,0.008,0.002,0.516,0.051,0.499,0.052,0.516,0.051,0.516,0.051,0.575,0.052,0.516,0.051,0.516,0.051
6,0.036,0.006,0.008,0.002,0.529,0.050,0.520,0.049,0.529,0.050,0.529,0.050,0.594,0.049,0.529,0.050,0.529,0.050
7,0.035,0.007,0.008,0.002,0.537,0.049,0.525,0.047,0.537,0.049,0.537,0.049,0.597,0.049,0.537,0.049,0.537,0.048
8,0.039,0.007,0.008,0.002,0.535,0.047,0.526,0.047,0.535,0.047,0.535,0.047,0.593,0.051,0.535,0.047,0.536,0.047
9,0.035,0.007,0.008,0.002,0.530,0.044,0.523,0.044,0.530,0.044,0.530,0.044,0.583,0.049,0.530,0.044,0.531,0.044
10,0.037,0.007,0.008,0.002,0.534,0.047,0.533,0.047,0.534,0.047,0.534,0.047,0.570,0.051,0.534,0.047,0.535,0.047
11,0.038,0.007,0.008,0.002,0.540,0.047,0.538,0.047,0.540,0.047,0.540,0.047,0.574,0.049,0.540,0.047,0.540,0.047
12,0.034,0.006,0.008,0.002,0.548,0.055,0.544,0.054,0.548,0.055,0.548,0.055,0.566,0.058,0.548,0.055,0.548,0.055
13,0.034,0.005,0.007,0.001,0.552,0.050,0.549,0.050,0.552,0.050,0.552,0.050,0.565,0.053,0.552,0.050,0.552,0.050
14,0.038,0.010,0.008,0.002,0.546,0.047,0.543,0.048,0.546,0.047,0.546,0.047,0.556,0.051,0.546,0.047,0.547,0.047
15,0.039,0.008,0.008,0.002,0.556,0.051,0.552,0.051,0.556,0.051,0.556,0.051,0.564,0.054,0.556,0.051,0.556,0.051
16,0.033,0.007,0.008,0.002,0.559,0.050,0.556,0.051,0.559,0.050,0.559,0.050,0.568,0.054,0.559,0.050,0.559,0.050
17,0.032,0.006,0.008,0.002,0.559,0.050,0.555,0.050,0.559,0.050,0.559,0.050,0.568,0.054,0.559,0.050,0.559,0.050
18,0.035,0.007,0.008,0.002,0.556,0.049,0.552,0.050,0.556,0.049,0.556,0.049,0.564,0.052,0.556,0.049,0.556,0.049
19,0.034,0.006,0.008,0.002,0.555,0.050,0.551,0.051,0.555,0.050,0.555,0.050,0.564,0.054,0.555,0.050,0.555,0.050
20,0.033,0.006,0.008,0.002,0.554,0.050,0.551,0.051,0.554,0.050,0.554,0.050,0.563,0.052,0.554,0.050,0.554,0.050
21,0.036,0.008,0.008,0.002,0.552,0.048,0.548,0.049,0.552,0.048,0.552,0.048,0.562,0.051,0.552,0.048,0.552,0.048
22,0.037,0.007,0.008,0.002,0.561,0.048,0.558,0.048,0.561,0.048,0.561,0.048,0.571,0.052,0.561,0.048,0.561,0.048
23,0.036,0.007,0.008,0.002,0.556,0.049,0.552,0.049,0.556,0.049,0.556,0.049,0.564,0.052,0.556,0.049,0.556,0.049
24,0.037,0.008,0.008,0.002,0.555,0.049,0.552,0.049,0.555,0.049,0.555,0.049,0.564,0.051,0.555,0.049,0.555,0.049
25,0.041,0.009,0.009,0.002,0.552,0.048,0.548,0.049,0.552,0.048,0.552,0.048,0.559,0.051,0.552,0.048,0.552,0.048
26,0.037,0.007,0.008,0.002,0.551,0.046,0.549,0.047,0.551,0.046,0.551,0.046,0.559,0.048,0.551,0.046,0.551,0.046
27,0.038,0.008,0.009,0.002,0.547,0.050,0.545,0.050,0.547,0.050,0.547,0.050,0.556,0.052,0.547,0.050,0.547,0.050
28,0.044,0.010,0.010,0.002,0.553,0.050,0.551,0.051,0.553,0.050,0.553,0.050,0.562,0.052,0.553,0.050,0.553,0.050
29,0.041,0.009,0.009,0.002,0.553,0.049,0.551,0.049,0.553,0.049,0.553,0.049,0.562,0.050,0.553,0.049,0.553,0.049
30,0.043,0.008,0.009,0.002,0.554,0.047,0.551,0.048,0.554,0.047,0.554,0.047,0.562,0.048,0.554,0.047,0.554,0.047
31,0.043,0.010,0.009,0.002,0.549,0.049,0.546,0.049,0.549,0.049,0.549,0.049,0.558,0.049,0.549,0.049,0.549,0.049
32,0.035,0.008,0.008,0.002,0.546,0.049,0.542,0.049,0.546,0.049,0.546,0.049,0.554,0.050,0.546,0.049,0.546,0.049
33,0.035,0.007,0.008,0.002,0.546,0.049,0.543,0.049,0.546,0.049,0.546,0.049,0.554,0.050,0.546,0.049,0.546,0.049
34,0.038,0.009,0.008,0.002,0.548,0.050,0.545,0.051,0.548,0.050,0.548,0.050,0.556,0.052,0.548,0.050,0.548,0.050
35,0.038,0.008,0.008,0.002,0.549,0.048,0.546,0.049,0.549,0.048,0.549,0.048,0.557,0.050,0.549,0.048,0.549,0.048
36,0.037,0.008,0.008,0.002,0.546,0.047,0.542,0.047,0.546,0.047,0.546,0.047,0.553,0.048,0.546,0.047,0.546,0.047
37,0.040,0.007,0.009,0.002,0.548,0.046,0.545,0.046,0.548,0.046,0.548,0.046,0.555,0.047,0.548,0.046,0.548,0.046
38,0.043,0.010,0.010,0.003,0.544,0.044,0.541,0.043,0.544,0.044,0.544,0.044,0.551,0.043,0.544,0.044,0.544,0.044
39,0.042,0.008,0.009,0.002,0.543,0.045,0.540,0.045,0.543,0.045,0.543,0.045,0.550,0.046,0.543,0.045,0.543,0.045
40,0.044,0.010,0.009,0.002,0.543,0.046,0.539,0.046,0.543,0.046,0.543,0.046,0.549,0.047,0.543,0.046,0.543,0.046
41,0.049,0.010,0.010,0.002,0.547,0.046,0.544,0.046,0.547,0.046,0.547,0.046,0.556,0.047,0.547,0.046,0.547,0.046
42,0.046,0.009,0.010,0.002,0.550,0.046,0.545,0.046,0.550,0.046,0.550,0.046,0.556,0.047,0.550,0.046,0.550,0.046
43,0.052,0.010,0.011,0.002,0.549,0.047,0.546,0.047,0.549,0.047,0.549,0.047,0.557,0.048,0.549,0.047,0.549,0.047
44,0.050,0.009,0.010,0.002,0.562,0.046,0.558,0.046,0.562,0.046,0.562,0.046,0.569,0.047,0.562,0.046,0.562,0.046
45,0.051,0.010,0.010,0.002,0.555,0.050,0.550,0.050,0.555,0.050,0.555,0.050,0.561,0.050,0.555,0.050,0.555,0.050
46,0.049,0.009,0.010,0.002,0.546,0.049,0.542,0.049,0.546,0.049,0.546,0.049,0.553,0.050,0.546,0.049,0.546,0.049
47,0.052,0.010,0.010,0.002,0.547,0.048,0.543,0.048,0.547,0.048,0.547,0.048,0.553,0.049,0.547,0.048,0.547,0.048
48,0.041,0.008,0.009,0.002,0.544,0.051,0.540,0.051,0.544,0.051,0.544,0.051,0.551,0.052,0.544,0.051,0.544,0.051
49,0.039,0.008,0.008,0.002,0.554,0.049,0.551,0.049,0.554,0.049,0.554,0.049,0.562,0.050,0.554,0.049,0.554,0.049
50,0.041,0.009,0.009,0.002,0.556,0.049,0.552,0.050,0.556,0.049,0.556,0.049,0.564,0.051,0.556,0.049,0.556,0.049
51,0.040,0.008,0.008,0.002,0.555,0.049,0.551,0.049,0.555,0.049,0.555,0.049,0.562,0.050,0.555,0.049,0.555,0.049
52,0.042,0.008,0.009,0.002,0.557,0.049,0.553,0.049,0.557,0.049,0.557,0.049,0.566,0.050,0.557,0.049,0.557,0.049
53,0.044,0.008,0.009,0.002,0.556,0.047,0.552,0.047,0.556,0.047,0.556,0.047,0.566,0.049,0.556,0.047,0.556,0.047
54,0.044,0.008,0.009,0.002,0.555,0.047,0.551,0.047,0.555,0.047,0.555,0.047,0.565,0.049,0.555,0.047,0.555,0.047
55,0.044,0.007,0.009,0.002,0.552,0.047,0.549,0.047,0.552,0.047,0.552,0.047,0.562,0.048,0.552,0.047,0.552,0.047
56,0.049,0.009,0.010,0.002,0.554,0.049,0.550,0.049,0.554,0.049,0.554,0.049,0.563,0.051,0.554,0.049,0.554,0.049
57,0.048,0.009,0.010,0.002,0.558,0.050,0.554,0.050,0.558,0.050,0.558,0.050,0.567,0.052,0.558,0.050,0.558,0.050
58,0.046,0.008,0.009,0.002,0.555,0.050,0.551,0.050,0.555,0.050,0.555,0.050,0.563,0.053,0.555,0.050,0.555,0.050
59,0.049,0.008,0.010,0.002,0.557,0.049,0.553,0.049,0.557,0.049,0.557,0.049,0.565,0.051,0.557,0.049,0.557,0.049
60,0.049,0.009,0.010,0.002,0.586,0.051,0.584,0.052,0.586,0.051,0.586,0.051,0.598,0.053,0.586,0.051,0.586,0.050
61,0.050,0.009,0.010,0.002,0.588,0.052,0.586,0.053,0.588,0.052,0.588,0.052,0.601,0.054,0.588,0.052,0.588,0.052
62,0.054,0.009,0.011,0.002,0.592,0.051,0.590,0.051,0.592,0.051,0.592,0.051,0.605,0.053,0.592,0.051,0.592,0.051
63,0.052,0.008,0.010,0.002,0.593,0.051,0.591,0.052,0.593,0.051,0.593,0.051,0.606,0.054,0.593,0.051,0.593,0.051
64,0.041,0.008,0.009,0.002,0.595,0.050,0.593,0.051,0.595,0.050,0.595,0.050,0.607,0.052,0.595,0.050,0.595,0.050
65,0.043,0.007,0.009,0.002,0.597,0.050,0.595,0.051,0.597,0.050,0.597,0.050,0.610,0.053,0.597,0.050,0.597,0.050
66,0.044,0.007,0.009,0.002,0.596,0.050,0.593,0.051,0.596,0.050,0.596,0.050,0.608,0.053,0.596,0.050,0.596,0.050
67,0.042,0.007,0.009,0.002,0.599,0.051,0.597,0.052,0.599,0.051,0.599,0.051,0.612,0.054,0.599,0.051,0.599,0.051
68,0.045,0.009,0.010,0.002,0.608,0.054,0.605,0.053,0.608,0.054,0.608,0.054,0.615,0.055,0.608,0.054,0.608,0.053
69,0.044,0.008,0.009,0.002,0.608,0.050,0.605,0.050,0.608,0.050,0.608,0.050,0.615,0.052,0.608,0.050,0.608,0.050
70,0.044,0.006,0.009,0.002,0.608,0.050,0.605,0.050,0.608,0.050,0.608,0.050,0.614,0.052,0.608,0.050,0.608,0.050
71,0.045,0.008,0.009,0.002,0.612,0.049,0.609,0.049,0.612,0.049,0.612,0.049,0.619,0.050,0.612,0.049,0.612,0.049
72,0.047,0.008,0.010,0.002,0.611,0.049,0.608,0.049,0.611,0.049,0.611,0.049,0.617,0.051,0.611,0.049,0.611,0.049
73,0.049,0.008,0.010,0.002,0.609,0.048,0.607,0.049,0.609,0.048,0.609,0.048,0.617,0.051,0.609,0.048,0.609,0.048
74,0.052,0.009,0.010,0.002,0.607,0.048,0.605,0.048,0.607,0.048,0.607,0.048,0.615,0.051,0.607,0.048,0.607,0.048
