numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.064,0.011,0.013,0.003,0.406,0.045,0.355,0.049,0.406,0.045,0.406,0.045,0.376,0.084,0.406,0.045,0.410,0.046
2,0.058,0.010,0.012,0.003,0.470,0.046,0.422,0.047,0.470,0.046,0.470,0.046,0.429,0.087,0.470,0.046,0.473,0.046
3,0.058,0.011,0.012,0.003,0.502,0.041,0.462,0.044,0.502,0.041,0.502,0.041,0.504,0.092,0.502,0.041,0.505,0.042
4,0.060,0.009,0.013,0.003,0.507,0.038,0.466,0.040,0.507,0.038,0.507,0.038,0.508,0.090,0.507,0.038,0.510,0.038
5,0.055,0.011,0.012,0.003,0.523,0.048,0.497,0.049,0.523,0.048,0.523,0.048,0.523,0.064,0.523,0.048,0.524,0.048
6,0.054,0.009,0.012,0.003,0.538,0.046,0.512,0.047,0.538,0.046,0.538,0.046,0.561,0.059,0.538,0.046,0.538,0.047
7,0.055,0.008,0.013,0.003,0.544,0.047,0.525,0.047,0.544,0.047,0.544,0.047,0.564,0.055,0.544,0.047,0.544,0.047
8,0.053,0.009,0.013,0.003,0.541,0.049,0.530,0.047,0.541,0.049,0.541,0.049,0.559,0.050,0.541,0.049,0.541,0.049
9,0.049,0.008,0.011,0.003,0.554,0.049,0.547,0.048,0.554,0.049,0.554,0.049,0.576,0.050,0.554,0.049,0.555,0.049
10,0.050,0.009,0.012,0.003,0.554,0.048,0.546,0.048,0.554,0.048,0.554,0.048,0.573,0.049,0.554,0.048,0.554,0.048
11,0.055,0.009,0.013,0.003,0.549,0.048,0.541,0.049,0.549,0.048,0.549,0.048,0.568,0.049,0.549,0.048,0.549,0.048
12,0.052,0.008,0.012,0.003,0.548,0.048,0.540,0.049,0.548,0.048,0.548,0.048,0.569,0.049,0.548,0.048,0.548,0.048
13,0.052,0.009,0.012,0.003,0.548,0.049,0.540,0.051,0.548,0.049,0.548,0.049,0.568,0.052,0.548,0.049,0.548,0.049
14,0.053,0.009,0.013,0.003,0.549,0.048,0.543,0.050,0.549,0.048,0.549,0.048,0.569,0.049,0.549,0.048,0.549,0.048
15,0.056,0.009,0.013,0.003,0.548,0.048,0.542,0.050,0.548,0.048,0.548,0.048,0.569,0.049,0.548,0.048,0.549,0.048
16,0.045,0.008,0.012,0.003,0.551,0.048,0.548,0.049,0.551,0.048,0.551,0.048,0.574,0.049,0.551,0.048,0.552,0.048
17,0.045,0.008,0.012,0.003,0.561,0.047,0.556,0.049,0.561,0.047,0.561,0.047,0.582,0.047,0.561,0.047,0.562,0.048
18,0.051,0.008,0.013,0.003,0.559,0.053,0.552,0.053,0.559,0.053,0.559,0.053,0.573,0.054,0.559,0.053,0.559,0.053
19,0.047,0.009,0.012,0.003,0.570,0.054,0.567,0.055,0.570,0.054,0.570,0.054,0.587,0.054,0.570,0.054,0.570,0.054
20,0.048,0.009,0.012,0.003,0.570,0.052,0.567,0.053,0.570,0.052,0.570,0.052,0.588,0.052,0.570,0.052,0.570,0.052
21,0.055,0.009,0.014,0.003,0.573,0.050,0.571,0.051,0.573,0.050,0.573,0.050,0.593,0.048,0.573,0.050,0.573,0.050
22,0.050,0.009,0.013,0.003,0.578,0.050,0.563,0.051,0.578,0.050,0.578,0.050,0.627,0.057,0.578,0.050,0.579,0.049
23,0.052,0.009,0.013,0.003,0.580,0.049,0.565,0.050,0.580,0.049,0.580,0.049,0.630,0.057,0.580,0.049,0.580,0.049
24,0.054,0.010,0.014,0.003,0.583,0.049,0.568,0.050,0.583,0.049,0.583,0.049,0.634,0.057,0.583,0.049,0.584,0.049
25,0.053,0.010,0.013,0.003,0.600,0.045,0.580,0.048,0.600,0.045,0.600,0.045,0.647,0.055,0.600,0.045,0.600,0.045
26,0.055,0.009,0.014,0.003,0.599,0.047,0.579,0.050,0.599,0.047,0.599,0.047,0.645,0.055,0.599,0.047,0.599,0.047
27,0.057,0.011,0.014,0.004,0.599,0.047,0.580,0.050,0.599,0.047,0.599,0.047,0.642,0.055,0.599,0.047,0.599,0.047
28,0.057,0.009,0.014,0.003,0.599,0.046,0.581,0.049,0.599,0.046,0.599,0.046,0.644,0.053,0.599,0.046,0.599,0.046
29,0.058,0.009,0.014,0.003,0.597,0.048,0.582,0.050,0.597,0.048,0.597,0.048,0.636,0.052,0.597,0.048,0.598,0.048
30,0.061,0.010,0.015,0.003,0.596,0.049,0.581,0.051,0.596,0.049,0.596,0.049,0.637,0.053,0.596,0.049,0.597,0.049
31,0.063,0.009,0.015,0.003,0.600,0.048,0.586,0.051,0.600,0.048,0.600,0.048,0.640,0.053,0.600,0.048,0.600,0.048
32,0.053,0.010,0.014,0.003,0.604,0.049,0.595,0.051,0.604,0.049,0.604,0.049,0.633,0.053,0.604,0.049,0.604,0.049
33,0.056,0.009,0.015,0.003,0.605,0.049,0.596,0.051,0.605,0.049,0.605,0.049,0.634,0.053,0.605,0.049,0.605,0.049
34,0.054,0.009,0.014,0.003,0.606,0.050,0.596,0.052,0.606,0.050,0.606,0.050,0.636,0.054,0.606,0.050,0.606,0.050
35,0.052,0.009,0.014,0.003,0.603,0.049,0.593,0.051,0.603,0.049,0.603,0.049,0.633,0.053,0.603,0.049,0.603,0.049
36,0.058,0.009,0.015,0.003,0.601,0.051,0.591,0.053,0.601,0.051,0.601,0.051,0.630,0.053,0.601,0.051,0.601,0.051
37,0.053,0.008,0.014,0.003,0.598,0.051,0.582,0.054,0.598,0.051,0.598,0.051,0.633,0.058,0.598,0.051,0.598,0.051
38,0.060,0.009,0.015,0.003,0.619,0.050,0.602,0.053,0.619,0.050,0.619,0.050,0.641,0.057,0.619,0.050,0.619,0.050
39,0.061,0.008,0.016,0.003,0.619,0.051,0.602,0.054,0.619,0.051,0.619,0.051,0.640,0.058,0.619,0.051,0.619,0.051
40,0.058,0.010,0.015,0.003,0.620,0.052,0.604,0.055,0.620,0.052,0.620,0.052,0.644,0.059,0.620,0.052,0.620,0.052
41,0.060,0.011,0.016,0.004,0.626,0.051,0.615,0.053,0.626,0.051,0.626,0.051,0.643,0.054,0.626,0.051,0.626,0.051
42,0.063,0.011,0.016,0.004,0.624,0.050,0.613,0.051,0.624,0.050,0.624,0.050,0.640,0.053,0.624,0.050,0.624,0.050
43,0.060,0.009,0.015,0.004,0.624,0.050,0.613,0.052,0.624,0.050,0.624,0.050,0.640,0.053,0.624,0.050,0.624,0.050
44,0.061,0.009,0.016,0.004,0.628,0.052,0.618,0.053,0.628,0.052,0.628,0.052,0.641,0.055,0.628,0.052,0.628,0.052
45,0.065,0.010,0.016,0.004,0.627,0.052,0.617,0.054,0.627,0.052,0.627,0.052,0.641,0.056,0.627,0.052,0.627,0.052
46,0.068,0.009,0.017,0.003,0.627,0.053,0.618,0.055,0.627,0.053,0.627,0.053,0.641,0.056,0.627,0.053,0.627,0.053
47,0.069,0.009,0.017,0.004,0.627,0.054,0.618,0.056,0.627,0.054,0.627,0.054,0.641,0.056,0.627,0.054,0.627,0.054
48,0.058,0.009,0.016,0.004,0.631,0.052,0.621,0.053,0.631,0.052,0.631,0.052,0.644,0.055,0.631,0.052,0.631,0.052
49,0.057,0.009,0.016,0.003,0.629,0.052,0.620,0.054,0.629,0.052,0.629,0.052,0.642,0.055,0.629,0.052,0.629,0.052
50,0.056,0.010,0.015,0.004,0.623,0.052,0.614,0.054,0.623,0.052,0.623,0.052,0.640,0.055,0.623,0.052,0.623,0.052
51,0.058,0.012,0.015,0.004,0.623,0.051,0.613,0.052,0.623,0.051,0.623,0.051,0.640,0.054,0.623,0.051,0.623,0.050
