numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.065,0.009,0.011,0.002,0.473,0.033,0.379,0.030,0.473,0.033,0.473,0.033,0.360,0.036,0.473,0.033,0.448,0.031
2,0.055,0.008,0.010,0.002,0.487,0.041,0.405,0.035,0.487,0.041,0.487,0.041,0.372,0.034,0.487,0.041,0.460,0.039
3,0.053,0.007,0.010,0.002,0.505,0.044,0.420,0.038,0.505,0.044,0.505,0.044,0.393,0.049,0.505,0.044,0.477,0.041
4,0.053,0.007,0.010,0.002,0.533,0.045,0.504,0.048,0.533,0.045,0.533,0.045,0.535,0.054,0.533,0.045,0.518,0.045
5,0.055,0.008,0.010,0.002,0.534,0.041,0.507,0.044,0.534,0.041,0.534,0.041,0.534,0.048,0.534,0.041,0.520,0.041
6,0.053,0.009,0.010,0.002,0.541,0.043,0.516,0.046,0.541,0.043,0.541,0.043,0.536,0.053,0.541,0.043,0.528,0.043
7,0.055,0.008,0.010,0.002,0.551,0.041,0.535,0.040,0.551,0.041,0.551,0.041,0.554,0.043,0.551,0.041,0.539,0.041
8,0.052,0.007,0.010,0.002,0.568,0.047,0.554,0.046,0.568,0.047,0.568,0.047,0.570,0.050,0.568,0.047,0.556,0.046
9,0.053,0.007,0.010,0.002,0.587,0.044,0.576,0.045,0.587,0.044,0.587,0.044,0.589,0.047,0.587,0.044,0.577,0.044
10,0.058,0.009,0.010,0.002,0.597,0.045,0.584,0.046,0.597,0.045,0.597,0.045,0.598,0.049,0.597,0.045,0.586,0.045
11,0.059,0.009,0.011,0.002,0.599,0.046,0.586,0.046,0.599,0.046,0.599,0.046,0.599,0.048,0.599,0.046,0.587,0.046
12,0.056,0.009,0.010,0.002,0.596,0.046,0.583,0.046,0.596,0.046,0.596,0.046,0.596,0.048,0.596,0.046,0.585,0.045
13,0.058,0.008,0.010,0.002,0.608,0.047,0.596,0.047,0.608,0.047,0.608,0.047,0.608,0.048,0.608,0.047,0.596,0.047
14,0.062,0.008,0.011,0.002,0.609,0.047,0.597,0.047,0.609,0.047,0.609,0.047,0.610,0.049,0.609,0.047,0.597,0.047
15,0.062,0.008,0.011,0.002,0.606,0.047,0.596,0.046,0.606,0.047,0.606,0.047,0.610,0.048,0.606,0.047,0.595,0.046
16,0.051,0.009,0.010,0.002,0.603,0.046,0.592,0.045,0.603,0.046,0.603,0.046,0.606,0.048,0.603,0.046,0.592,0.045
17,0.056,0.009,0.010,0.002,0.614,0.048,0.604,0.048,0.614,0.048,0.614,0.048,0.618,0.050,0.614,0.048,0.603,0.048
18,0.058,0.009,0.010,0.002,0.614,0.045,0.604,0.044,0.614,0.045,0.614,0.045,0.617,0.045,0.614,0.045,0.603,0.045
19,0.056,0.010,0.010,0.002,0.620,0.044,0.610,0.043,0.620,0.044,0.620,0.044,0.622,0.045,0.620,0.044,0.610,0.043
