numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.066,0.009,0.011,0.002,0.373,0.037,0.277,0.042,0.373,0.037,0.373,0.037,0.249,0.058,0.373,0.037,0.354,0.035
2,0.060,0.009,0.010,0.002,0.414,0.043,0.346,0.036,0.414,0.043,0.414,0.043,0.312,0.033,0.414,0.043,0.391,0.041
3,0.055,0.008,0.010,0.002,0.482,0.038,0.387,0.035,0.482,0.038,0.482,0.038,0.381,0.067,0.482,0.038,0.457,0.036
4,0.054,0.007,0.010,0.002,0.515,0.040,0.483,0.043,0.515,0.040,0.515,0.040,0.506,0.053,0.515,0.040,0.504,0.041
5,0.058,0.006,0.011,0.002,0.515,0.038,0.484,0.040,0.515,0.038,0.515,0.038,0.504,0.049,0.515,0.038,0.504,0.038
6,0.057,0.008,0.010,0.002,0.515,0.039,0.487,0.040,0.515,0.039,0.515,0.039,0.503,0.046,0.515,0.039,0.506,0.039
7,0.058,0.008,0.010,0.002,0.534,0.041,0.518,0.042,0.534,0.041,0.534,0.041,0.522,0.045,0.534,0.041,0.532,0.041
8,0.063,0.008,0.012,0.003,0.542,0.043,0.530,0.043,0.542,0.043,0.542,0.043,0.535,0.044,0.542,0.043,0.537,0.043
9,0.061,0.007,0.010,0.002,0.533,0.047,0.523,0.046,0.533,0.047,0.533,0.047,0.528,0.048,0.533,0.047,0.529,0.047
10,0.059,0.008,0.010,0.002,0.539,0.044,0.530,0.044,0.539,0.044,0.539,0.044,0.534,0.047,0.539,0.044,0.537,0.043
11,0.063,0.007,0.011,0.002,0.537,0.041,0.531,0.040,0.537,0.041,0.537,0.041,0.536,0.041,0.537,0.041,0.536,0.041
12,0.061,0.008,0.011,0.002,0.550,0.037,0.543,0.037,0.550,0.037,0.550,0.037,0.548,0.038,0.550,0.037,0.548,0.037
13,0.060,0.007,0.011,0.002,0.549,0.042,0.542,0.041,0.549,0.042,0.549,0.042,0.547,0.042,0.549,0.042,0.547,0.041
14,0.061,0.008,0.011,0.002,0.561,0.044,0.556,0.043,0.561,0.044,0.561,0.044,0.560,0.044,0.561,0.044,0.560,0.043
15,0.065,0.009,0.011,0.002,0.565,0.042,0.559,0.041,0.565,0.042,0.565,0.042,0.564,0.042,0.565,0.042,0.564,0.041
16,0.054,0.011,0.010,0.002,0.567,0.045,0.562,0.044,0.567,0.045,0.567,0.045,0.569,0.045,0.567,0.045,0.566,0.044
17,0.054,0.010,0.010,0.002,0.564,0.046,0.559,0.045,0.564,0.046,0.564,0.046,0.566,0.046,0.564,0.046,0.562,0.046
18,0.058,0.011,0.010,0.002,0.569,0.045,0.565,0.044,0.569,0.045,0.569,0.045,0.571,0.045,0.569,0.045,0.568,0.045
19,0.062,0.011,0.010,0.002,0.583,0.047,0.575,0.047,0.583,0.047,0.583,0.047,0.585,0.049,0.583,0.047,0.575,0.047
20,0.062,0.010,0.011,0.002,0.584,0.046,0.576,0.046,0.584,0.046,0.584,0.046,0.586,0.048,0.584,0.046,0.575,0.046
21,0.066,0.012,0.011,0.002,0.580,0.046,0.572,0.047,0.580,0.046,0.580,0.046,0.582,0.049,0.580,0.046,0.571,0.047
22,0.070,0.011,0.011,0.002,0.584,0.047,0.576,0.048,0.584,0.047,0.584,0.047,0.586,0.050,0.584,0.047,0.575,0.047
23,0.069,0.012,0.011,0.002,0.583,0.046,0.575,0.047,0.583,0.046,0.583,0.046,0.586,0.049,0.583,0.046,0.575,0.046
24,0.070,0.011,0.012,0.002,0.598,0.051,0.590,0.051,0.598,0.051,0.598,0.051,0.602,0.053,0.598,0.051,0.589,0.051
25,0.070,0.013,0.012,0.002,0.601,0.050,0.593,0.051,0.601,0.050,0.601,0.050,0.605,0.052,0.601,0.050,0.592,0.050
26,0.068,0.012,0.011,0.003,0.601,0.049,0.593,0.050,0.601,0.049,0.601,0.049,0.605,0.051,0.601,0.049,0.591,0.049
27,0.073,0.011,0.011,0.002,0.603,0.050,0.596,0.051,0.603,0.050,0.603,0.050,0.608,0.051,0.603,0.050,0.595,0.050
28,0.073,0.011,0.012,0.002,0.609,0.049,0.601,0.049,0.609,0.049,0.609,0.049,0.613,0.051,0.609,0.049,0.599,0.049
29,0.074,0.011,0.012,0.002,0.611,0.046,0.603,0.047,0.611,0.046,0.611,0.046,0.615,0.048,0.611,0.046,0.602,0.046
30,0.075,0.012,0.012,0.003,0.613,0.047,0.606,0.047,0.613,0.047,0.613,0.047,0.618,0.048,0.613,0.047,0.604,0.047
31,0.077,0.012,0.012,0.003,0.612,0.046,0.605,0.047,0.612,0.046,0.612,0.046,0.618,0.047,0.612,0.046,0.604,0.047
32,0.056,0.011,0.010,0.002,0.613,0.047,0.605,0.048,0.613,0.047,0.613,0.047,0.618,0.049,0.613,0.047,0.604,0.047
33,0.063,0.012,0.011,0.002,0.614,0.048,0.610,0.048,0.614,0.048,0.614,0.048,0.620,0.049,0.614,0.048,0.609,0.048
34,0.063,0.012,0.011,0.002,0.620,0.048,0.614,0.049,0.620,0.048,0.620,0.048,0.624,0.049,0.620,0.048,0.613,0.049
35,0.063,0.012,0.011,0.002,0.628,0.048,0.623,0.048,0.628,0.048,0.628,0.048,0.635,0.049,0.628,0.048,0.621,0.048
36,0.061,0.013,0.011,0.002,0.629,0.048,0.624,0.048,0.629,0.048,0.629,0.048,0.636,0.049,0.629,0.048,0.622,0.047
37,0.066,0.013,0.012,0.003,0.628,0.048,0.624,0.048,0.628,0.048,0.628,0.048,0.636,0.049,0.628,0.048,0.622,0.048
38,0.065,0.013,0.011,0.002,0.627,0.049,0.622,0.048,0.627,0.049,0.627,0.049,0.635,0.049,0.627,0.049,0.620,0.048
39,0.066,0.013,0.011,0.003,0.630,0.049,0.625,0.049,0.630,0.049,0.630,0.049,0.637,0.050,0.630,0.049,0.623,0.049
40,0.069,0.011,0.011,0.003,0.634,0.049,0.629,0.049,0.634,0.049,0.634,0.049,0.640,0.050,0.634,0.049,0.627,0.049
41,0.066,0.012,0.011,0.003,0.631,0.047,0.627,0.047,0.631,0.047,0.631,0.047,0.638,0.048,0.631,0.047,0.625,0.047
42,0.065,0.013,0.011,0.003,0.632,0.046,0.627,0.045,0.632,0.046,0.632,0.046,0.638,0.047,0.632,0.046,0.626,0.046
43,0.069,0.012,0.012,0.003,0.634,0.046,0.629,0.046,0.634,0.046,0.634,0.046,0.640,0.047,0.634,0.046,0.628,0.046
44,0.069,0.012,0.011,0.003,0.636,0.047,0.632,0.046,0.636,0.047,0.636,0.047,0.643,0.047,0.636,0.047,0.630,0.046
45,0.071,0.012,0.012,0.002,0.640,0.047,0.636,0.047,0.640,0.047,0.640,0.047,0.648,0.048,0.640,0.047,0.634,0.047
46,0.074,0.011,0.012,0.003,0.638,0.046,0.634,0.045,0.638,0.046,0.638,0.046,0.646,0.046,0.638,0.046,0.632,0.045
47,0.075,0.014,0.012,0.003,0.640,0.048,0.636,0.047,0.640,0.048,0.640,0.048,0.647,0.048,0.640,0.048,0.634,0.048
48,0.056,0.011,0.010,0.002,0.638,0.047,0.634,0.046,0.638,0.047,0.638,0.047,0.646,0.047,0.638,0.047,0.632,0.046
49,0.061,0.012,0.010,0.002,0.639,0.048,0.635,0.047,0.639,0.048,0.639,0.048,0.646,0.048,0.639,0.048,0.633,0.047
50,0.066,0.012,0.011,0.003,0.642,0.048,0.638,0.047,0.642,0.048,0.642,0.048,0.649,0.049,0.642,0.048,0.636,0.047
51,0.065,0.012,0.011,0.003,0.643,0.045,0.639,0.044,0.643,0.045,0.643,0.045,0.651,0.047,0.643,0.045,0.637,0.044
52,0.068,0.013,0.011,0.003,0.639,0.046,0.636,0.045,0.639,0.046,0.639,0.046,0.647,0.047,0.639,0.046,0.633,0.045
53,0.070,0.012,0.012,0.003,0.640,0.046,0.636,0.045,0.640,0.046,0.640,0.046,0.648,0.047,0.640,0.046,0.634,0.045
54,0.065,0.011,0.011,0.003,0.640,0.044,0.636,0.044,0.640,0.044,0.640,0.044,0.647,0.046,0.640,0.044,0.634,0.043
55,0.073,0.012,0.012,0.003,0.642,0.044,0.638,0.043,0.642,0.044,0.642,0.044,0.650,0.045,0.642,0.044,0.636,0.043
56,0.070,0.012,0.012,0.003,0.640,0.046,0.637,0.045,0.640,0.046,0.640,0.046,0.649,0.046,0.640,0.046,0.635,0.045
57,0.072,0.013,0.012,0.003,0.641,0.044,0.637,0.044,0.641,0.044,0.641,0.044,0.649,0.045,0.641,0.044,0.635,0.043
58,0.072,0.012,0.012,0.003,0.642,0.045,0.639,0.045,0.642,0.045,0.642,0.045,0.651,0.047,0.642,0.045,0.637,0.045
59,0.068,0.012,0.011,0.002,0.640,0.045,0.636,0.044,0.640,0.045,0.640,0.045,0.648,0.046,0.640,0.045,0.634,0.044
60,0.073,0.013,0.013,0.003,0.639,0.044,0.637,0.044,0.639,0.044,0.639,0.044,0.648,0.046,0.639,0.044,0.635,0.044
61,0.073,0.013,0.012,0.002,0.640,0.045,0.637,0.044,0.640,0.045,0.640,0.045,0.649,0.046,0.640,0.045,0.635,0.044
62,0.074,0.012,0.012,0.003,0.638,0.043,0.635,0.043,0.638,0.043,0.638,0.043,0.647,0.044,0.638,0.043,0.633,0.043
