numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.059,0.008,0.013,0.002,0.462,0.047,0.458,0.046,0.462,0.047,0.462,0.047,0.461,0.048,0.462,0.047,0.462,0.047
2,0.044,0.007,0.012,0.003,0.539,0.053,0.543,0.052,0.539,0.053,0.539,0.053,0.567,0.050,0.539,0.053,0.539,0.053
3,0.044,0.007,0.011,0.003,0.558,0.053,0.561,0.053,0.558,0.053,0.558,0.053,0.580,0.048,0.558,0.053,0.558,0.054
4,0.044,0.007,0.011,0.003,0.569,0.049,0.570,0.049,0.569,0.049,0.569,0.049,0.590,0.046,0.569,0.049,0.569,0.049
5,0.045,0.008,0.011,0.003,0.585,0.050,0.587,0.049,0.585,0.050,0.585,0.050,0.605,0.044,0.585,0.050,0.585,0.050
6,0.043,0.008,0.010,0.003,0.593,0.051,0.595,0.050,0.593,0.051,0.593,0.051,0.617,0.045,0.593,0.051,0.593,0.051
7,0.044,0.007,0.011,0.003,0.590,0.048,0.591,0.048,0.590,0.048,0.590,0.048,0.615,0.043,0.590,0.048,0.590,0.048
8,0.047,0.008,0.012,0.003,0.591,0.047,0.591,0.047,0.591,0.047,0.591,0.047,0.612,0.044,0.591,0.047,0.591,0.047
9,0.042,0.008,0.011,0.003,0.614,0.046,0.611,0.047,0.614,0.046,0.614,0.046,0.631,0.048,0.614,0.046,0.614,0.046
10,0.044,0.008,0.010,0.003,0.620,0.046,0.617,0.047,0.620,0.046,0.620,0.046,0.637,0.048,0.620,0.046,0.620,0.046
11,0.044,0.008,0.010,0.003,0.612,0.047,0.610,0.048,0.612,0.047,0.612,0.047,0.630,0.046,0.612,0.047,0.612,0.047
12,0.049,0.008,0.011,0.003,0.607,0.047,0.606,0.047,0.607,0.047,0.607,0.047,0.623,0.047,0.607,0.047,0.607,0.047
13,0.046,0.007,0.011,0.003,0.604,0.049,0.602,0.050,0.604,0.049,0.604,0.049,0.619,0.049,0.604,0.049,0.604,0.049
14,0.050,0.008,0.011,0.003,0.611,0.052,0.608,0.053,0.611,0.052,0.611,0.052,0.626,0.052,0.611,0.052,0.612,0.052
15,0.053,0.009,0.012,0.003,0.612,0.050,0.608,0.051,0.612,0.050,0.612,0.050,0.625,0.051,0.612,0.050,0.612,0.050
