numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.052,0.009,0.013,0.003,0.478,0.038,0.424,0.033,0.478,0.038,0.478,0.038,0.427,0.032,0.478,0.038,0.482,0.038
2,0.043,0.008,0.011,0.003,0.539,0.053,0.543,0.052,0.539,0.053,0.539,0.053,0.567,0.050,0.539,0.053,0.539,0.053
3,0.046,0.008,0.011,0.003,0.558,0.052,0.561,0.052,0.558,0.052,0.558,0.052,0.590,0.050,0.558,0.052,0.558,0.052
4,0.047,0.009,0.011,0.003,0.549,0.052,0.551,0.053,0.549,0.052,0.549,0.052,0.582,0.051,0.549,0.052,0.549,0.052
5,0.051,0.008,0.012,0.003,0.549,0.051,0.551,0.051,0.549,0.051,0.549,0.051,0.582,0.049,0.549,0.051,0.549,0.050
6,0.045,0.008,0.010,0.003,0.566,0.050,0.566,0.050,0.566,0.050,0.566,0.050,0.586,0.048,0.566,0.050,0.566,0.050
7,0.048,0.009,0.011,0.003,0.553,0.052,0.553,0.051,0.553,0.052,0.553,0.052,0.566,0.049,0.553,0.052,0.553,0.052
8,0.052,0.008,0.012,0.003,0.548,0.054,0.548,0.054,0.548,0.054,0.548,0.054,0.562,0.051,0.548,0.054,0.548,0.054
9,0.050,0.009,0.011,0.003,0.544,0.055,0.545,0.054,0.544,0.055,0.544,0.055,0.557,0.053,0.544,0.055,0.544,0.055
10,0.049,0.008,0.011,0.003,0.540,0.052,0.538,0.052,0.540,0.052,0.540,0.052,0.549,0.050,0.540,0.052,0.540,0.052
11,0.050,0.009,0.011,0.002,0.553,0.051,0.552,0.051,0.553,0.051,0.553,0.051,0.563,0.048,0.553,0.051,0.553,0.051
12,0.054,0.010,0.011,0.003,0.555,0.052,0.553,0.052,0.555,0.052,0.555,0.052,0.563,0.050,0.555,0.052,0.555,0.052
13,0.058,0.009,0.012,0.003,0.547,0.054,0.547,0.053,0.547,0.054,0.547,0.054,0.559,0.051,0.547,0.054,0.547,0.054
14,0.057,0.010,0.011,0.003,0.553,0.054,0.552,0.053,0.553,0.054,0.553,0.054,0.564,0.050,0.553,0.054,0.552,0.054
15,0.063,0.009,0.012,0.003,0.550,0.052,0.551,0.052,0.550,0.052,0.550,0.052,0.563,0.050,0.550,0.052,0.550,0.052
16,0.058,0.010,0.012,0.003,0.550,0.056,0.550,0.056,0.550,0.056,0.550,0.056,0.561,0.054,0.550,0.056,0.550,0.056
17,0.063,0.011,0.012,0.003,0.545,0.057,0.545,0.057,0.545,0.057,0.545,0.057,0.556,0.056,0.545,0.057,0.545,0.057
18,0.067,0.011,0.013,0.003,0.553,0.054,0.553,0.054,0.553,0.054,0.553,0.054,0.564,0.053,0.553,0.054,0.553,0.054
19,0.062,0.010,0.012,0.003,0.545,0.052,0.544,0.052,0.545,0.052,0.545,0.052,0.555,0.049,0.545,0.052,0.545,0.052
20,0.069,0.013,0.013,0.003,0.567,0.054,0.566,0.053,0.567,0.054,0.567,0.054,0.576,0.051,0.567,0.054,0.567,0.054
21,0.075,0.012,0.013,0.003,0.567,0.055,0.566,0.055,0.567,0.055,0.567,0.055,0.575,0.054,0.567,0.055,0.567,0.055
22,0.073,0.014,0.012,0.003,0.572,0.054,0.572,0.053,0.572,0.054,0.572,0.054,0.581,0.052,0.572,0.054,0.572,0.054
23,0.072,0.014,0.012,0.003,0.570,0.055,0.569,0.054,0.570,0.055,0.570,0.055,0.579,0.052,0.570,0.055,0.570,0.055
24,0.076,0.016,0.012,0.003,0.564,0.055,0.564,0.055,0.564,0.055,0.564,0.055,0.573,0.053,0.564,0.055,0.564,0.056
25,0.081,0.014,0.013,0.003,0.565,0.056,0.565,0.055,0.565,0.056,0.565,0.056,0.575,0.053,0.565,0.056,0.565,0.056
26,0.081,0.013,0.013,0.003,0.571,0.056,0.570,0.056,0.571,0.056,0.571,0.056,0.580,0.053,0.571,0.056,0.570,0.057
27,0.087,0.014,0.014,0.003,0.565,0.056,0.564,0.055,0.565,0.056,0.565,0.056,0.574,0.054,0.565,0.056,0.565,0.056
28,0.086,0.013,0.014,0.003,0.557,0.059,0.556,0.059,0.557,0.059,0.557,0.059,0.563,0.058,0.557,0.059,0.557,0.060
29,0.098,0.014,0.015,0.003,0.563,0.056,0.562,0.055,0.563,0.056,0.563,0.056,0.569,0.054,0.563,0.056,0.563,0.056
30,0.088,0.017,0.013,0.003,0.557,0.059,0.556,0.059,0.557,0.059,0.557,0.059,0.562,0.059,0.557,0.059,0.557,0.059
31,0.095,0.016,0.014,0.003,0.560,0.056,0.557,0.056,0.560,0.056,0.560,0.056,0.564,0.057,0.560,0.056,0.560,0.056
32,0.083,0.015,0.012,0.003,0.567,0.056,0.565,0.056,0.567,0.056,0.567,0.056,0.571,0.057,0.567,0.056,0.567,0.057
33,0.084,0.016,0.013,0.003,0.565,0.057,0.562,0.057,0.565,0.057,0.565,0.057,0.569,0.057,0.565,0.057,0.565,0.057
34,0.095,0.013,0.013,0.003,0.565,0.055,0.562,0.055,0.565,0.055,0.565,0.055,0.569,0.055,0.565,0.055,0.565,0.055
35,0.090,0.015,0.013,0.003,0.566,0.056,0.563,0.056,0.566,0.056,0.566,0.056,0.570,0.056,0.566,0.056,0.566,0.056
36,0.093,0.017,0.013,0.003,0.562,0.056,0.559,0.056,0.562,0.056,0.562,0.056,0.566,0.056,0.562,0.056,0.562,0.056
37,0.098,0.015,0.014,0.003,0.560,0.056,0.557,0.056,0.560,0.056,0.560,0.056,0.564,0.056,0.560,0.056,0.560,0.056
38,0.096,0.017,0.014,0.003,0.558,0.055,0.555,0.055,0.558,0.055,0.558,0.055,0.563,0.054,0.558,0.055,0.558,0.055
39,0.096,0.016,0.014,0.003,0.558,0.054,0.555,0.054,0.558,0.054,0.558,0.054,0.563,0.053,0.558,0.054,0.558,0.054
40,0.103,0.014,0.015,0.003,0.555,0.055,0.552,0.055,0.555,0.055,0.555,0.055,0.560,0.055,0.555,0.055,0.555,0.055
41,0.095,0.018,0.014,0.003,0.552,0.055,0.549,0.054,0.552,0.055,0.552,0.055,0.557,0.054,0.552,0.055,0.552,0.055
42,0.107,0.015,0.015,0.003,0.548,0.050,0.546,0.050,0.548,0.050,0.548,0.050,0.554,0.050,0.548,0.050,0.548,0.050
43,0.108,0.015,0.015,0.003,0.548,0.051,0.546,0.051,0.548,0.051,0.548,0.051,0.554,0.052,0.548,0.051,0.548,0.051
44,0.113,0.017,0.015,0.003,0.544,0.048,0.541,0.048,0.544,0.048,0.544,0.048,0.549,0.049,0.544,0.048,0.544,0.048
45,0.114,0.016,0.015,0.003,0.549,0.049,0.546,0.049,0.549,0.049,0.549,0.049,0.552,0.050,0.549,0.049,0.549,0.049
46,0.110,0.017,0.015,0.003,0.549,0.051,0.546,0.052,0.549,0.051,0.549,0.051,0.552,0.052,0.549,0.051,0.549,0.052
47,0.111,0.018,0.015,0.003,0.552,0.048,0.549,0.048,0.552,0.048,0.552,0.048,0.557,0.049,0.552,0.048,0.552,0.048
48,0.103,0.020,0.015,0.004,0.555,0.050,0.552,0.050,0.555,0.050,0.555,0.050,0.560,0.051,0.555,0.050,0.555,0.050
49,0.100,0.021,0.014,0.003,0.557,0.050,0.554,0.051,0.557,0.050,0.557,0.050,0.561,0.052,0.557,0.050,0.557,0.051
50,0.101,0.020,0.014,0.003,0.560,0.049,0.557,0.049,0.560,0.049,0.560,0.049,0.564,0.050,0.560,0.049,0.560,0.050
51,0.104,0.018,0.014,0.003,0.556,0.054,0.554,0.055,0.556,0.054,0.556,0.054,0.562,0.054,0.556,0.054,0.556,0.055
52,0.108,0.016,0.014,0.003,0.555,0.056,0.553,0.057,0.555,0.056,0.555,0.056,0.561,0.057,0.555,0.056,0.556,0.057
53,0.113,0.016,0.015,0.003,0.555,0.055,0.553,0.056,0.555,0.055,0.555,0.055,0.561,0.056,0.555,0.055,0.555,0.055
54,0.106,0.020,0.014,0.003,0.554,0.056,0.552,0.056,0.554,0.056,0.554,0.056,0.559,0.056,0.554,0.056,0.554,0.056
55,0.110,0.021,0.015,0.003,0.552,0.058,0.550,0.058,0.552,0.058,0.552,0.058,0.558,0.059,0.552,0.058,0.552,0.058
56,0.111,0.022,0.015,0.004,0.551,0.059,0.549,0.059,0.551,0.059,0.551,0.059,0.557,0.059,0.551,0.059,0.551,0.059
