numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.135,0.180,0.009,0.002,0.288,0.022,0.184,0.030,0.288,0.022,0.288,0.022,0.312,0.120,0.288,0.022,0.293,0.021
2,0.096,0.032,0.010,0.002,0.303,0.036,0.240,0.046,0.303,0.036,0.303,0.036,0.372,0.113,0.303,0.036,0.304,0.036
3,0.049,0.009,0.008,0.002,0.344,0.040,0.279,0.046,0.344,0.040,0.344,0.040,0.404,0.105,0.344,0.040,0.345,0.041
4,0.054,0.009,0.009,0.002,0.346,0.038,0.284,0.043,0.346,0.038,0.346,0.038,0.395,0.095,0.346,0.038,0.346,0.037
5,0.050,0.009,0.009,0.002,0.355,0.039,0.301,0.046,0.355,0.039,0.355,0.039,0.452,0.098,0.355,0.039,0.355,0.038
6,0.040,0.008,0.009,0.002,0.417,0.044,0.384,0.047,0.417,0.044,0.417,0.044,0.457,0.080,0.417,0.044,0.418,0.044
7,0.041,0.008,0.009,0.002,0.397,0.046,0.371,0.051,0.397,0.046,0.397,0.046,0.428,0.075,0.397,0.046,0.398,0.046
8,0.039,0.008,0.008,0.002,0.430,0.047,0.415,0.048,0.430,0.047,0.430,0.047,0.445,0.050,0.430,0.047,0.430,0.047
9,0.039,0.008,0.008,0.002,0.461,0.053,0.451,0.056,0.461,0.053,0.461,0.053,0.486,0.061,0.461,0.053,0.461,0.053
10,0.039,0.008,0.008,0.002,0.460,0.053,0.450,0.056,0.460,0.053,0.460,0.053,0.478,0.060,0.460,0.053,0.460,0.053
11,0.040,0.009,0.008,0.002,0.497,0.047,0.488,0.047,0.497,0.047,0.497,0.047,0.510,0.051,0.497,0.047,0.497,0.047
12,0.043,0.009,0.009,0.002,0.489,0.046,0.483,0.047,0.489,0.046,0.489,0.046,0.503,0.049,0.489,0.046,0.489,0.046
13,0.041,0.009,0.008,0.002,0.499,0.047,0.494,0.047,0.499,0.047,0.499,0.047,0.516,0.049,0.499,0.047,0.499,0.047
14,0.043,0.008,0.008,0.002,0.501,0.047,0.493,0.047,0.501,0.047,0.501,0.047,0.514,0.050,0.501,0.047,0.501,0.047
15,0.047,0.009,0.009,0.002,0.505,0.048,0.498,0.048,0.505,0.048,0.505,0.048,0.524,0.050,0.505,0.048,0.505,0.048
16,0.036,0.007,0.007,0.001,0.504,0.050,0.496,0.050,0.504,0.050,0.504,0.050,0.523,0.053,0.504,0.050,0.504,0.050
17,0.037,0.007,0.008,0.002,0.502,0.048,0.493,0.048,0.502,0.048,0.502,0.048,0.521,0.050,0.502,0.048,0.502,0.048
18,0.036,0.006,0.007,0.001,0.499,0.044,0.486,0.047,0.499,0.044,0.499,0.044,0.518,0.052,0.499,0.044,0.499,0.045
19,0.045,0.009,0.009,0.002,0.491,0.044,0.476,0.045,0.491,0.044,0.491,0.044,0.507,0.048,0.491,0.044,0.491,0.044
20,0.043,0.010,0.009,0.002,0.510,0.046,0.499,0.047,0.510,0.046,0.510,0.046,0.525,0.051,0.510,0.046,0.510,0.046
21,0.046,0.008,0.009,0.002,0.512,0.047,0.502,0.048,0.512,0.047,0.512,0.047,0.526,0.050,0.512,0.047,0.512,0.048
22,0.051,0.007,0.010,0.002,0.509,0.048,0.499,0.049,0.509,0.048,0.509,0.048,0.523,0.050,0.509,0.048,0.509,0.048
23,0.044,0.008,0.009,0.002,0.509,0.047,0.499,0.048,0.509,0.047,0.509,0.047,0.525,0.050,0.509,0.047,0.509,0.047
24,0.044,0.009,0.009,0.002,0.514,0.048,0.510,0.049,0.514,0.048,0.514,0.048,0.526,0.051,0.514,0.048,0.515,0.049
25,0.049,0.010,0.009,0.002,0.535,0.046,0.533,0.046,0.535,0.046,0.535,0.046,0.551,0.048,0.535,0.046,0.535,0.046
26,0.047,0.010,0.009,0.002,0.536,0.045,0.534,0.045,0.536,0.045,0.536,0.045,0.553,0.047,0.536,0.045,0.536,0.045
27,0.046,0.009,0.009,0.002,0.538,0.047,0.535,0.047,0.538,0.047,0.538,0.047,0.553,0.048,0.538,0.047,0.538,0.047
28,0.054,0.009,0.011,0.003,0.535,0.047,0.532,0.048,0.535,0.047,0.535,0.047,0.550,0.049,0.535,0.047,0.535,0.048
29,0.051,0.009,0.010,0.002,0.537,0.048,0.534,0.049,0.537,0.048,0.537,0.048,0.551,0.050,0.537,0.048,0.537,0.049
30,0.051,0.009,0.010,0.002,0.537,0.050,0.535,0.050,0.537,0.050,0.537,0.050,0.550,0.052,0.537,0.050,0.538,0.050
31,0.057,0.008,0.011,0.003,0.535,0.048,0.532,0.049,0.535,0.048,0.535,0.048,0.548,0.050,0.535,0.048,0.535,0.048
32,0.040,0.009,0.008,0.002,0.541,0.047,0.539,0.048,0.541,0.047,0.541,0.047,0.556,0.050,0.541,0.047,0.541,0.047
33,0.041,0.009,0.009,0.002,0.540,0.045,0.537,0.046,0.540,0.045,0.540,0.045,0.552,0.049,0.540,0.045,0.540,0.046
34,0.040,0.008,0.008,0.002,0.541,0.047,0.539,0.048,0.541,0.047,0.541,0.047,0.554,0.050,0.541,0.047,0.541,0.047
35,0.039,0.008,0.008,0.002,0.538,0.045,0.535,0.046,0.538,0.045,0.538,0.045,0.551,0.048,0.538,0.045,0.538,0.045
36,0.045,0.010,0.009,0.002,0.542,0.048,0.540,0.048,0.542,0.048,0.542,0.048,0.555,0.050,0.542,0.048,0.542,0.048
37,0.047,0.010,0.009,0.002,0.553,0.049,0.550,0.048,0.553,0.049,0.553,0.049,0.567,0.050,0.553,0.049,0.553,0.049
38,0.043,0.009,0.009,0.002,0.557,0.047,0.555,0.046,0.557,0.047,0.557,0.047,0.572,0.050,0.557,0.047,0.557,0.047
39,0.047,0.011,0.009,0.002,0.554,0.047,0.552,0.047,0.554,0.047,0.554,0.047,0.568,0.050,0.554,0.047,0.554,0.047
40,0.051,0.011,0.010,0.002,0.555,0.051,0.552,0.051,0.555,0.051,0.555,0.051,0.568,0.054,0.555,0.051,0.555,0.051
41,0.047,0.010,0.009,0.002,0.563,0.050,0.563,0.050,0.563,0.050,0.563,0.050,0.578,0.052,0.563,0.050,0.563,0.051
