numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.043,0.007,0.010,0.002,0.256,0.013,0.124,0.021,0.256,0.013,0.256,0.013,0.154,0.078,0.256,0.013,0.262,0.014
2,0.041,0.007,0.008,0.002,0.271,0.015,0.148,0.023,0.271,0.015,0.271,0.015,0.202,0.079,0.271,0.015,0.278,0.015
3,0.042,0.008,0.008,0.002,0.284,0.022,0.165,0.028,0.284,0.022,0.284,0.022,0.194,0.069,0.284,0.022,0.290,0.022
4,0.045,0.009,0.009,0.002,0.278,0.018,0.156,0.026,0.278,0.018,0.278,0.018,0.189,0.064,0.278,0.018,0.284,0.018
5,0.046,0.008,0.009,0.002,0.280,0.022,0.162,0.029,0.280,0.022,0.280,0.022,0.206,0.078,0.280,0.022,0.287,0.022
6,0.047,0.008,0.009,0.002,0.290,0.022,0.175,0.027,0.290,0.022,0.290,0.022,0.196,0.059,0.290,0.022,0.297,0.023
7,0.042,0.009,0.008,0.002,0.285,0.022,0.167,0.028,0.285,0.022,0.285,0.022,0.198,0.067,0.285,0.022,0.292,0.023
8,0.040,0.008,0.008,0.001,0.288,0.023,0.172,0.029,0.288,0.023,0.288,0.023,0.197,0.075,0.288,0.023,0.294,0.023
9,0.041,0.007,0.008,0.002,0.321,0.030,0.225,0.038,0.321,0.030,0.321,0.030,0.334,0.088,0.321,0.030,0.327,0.030
10,0.045,0.009,0.009,0.002,0.369,0.035,0.299,0.042,0.369,0.035,0.369,0.035,0.381,0.063,0.369,0.035,0.374,0.035
11,0.047,0.011,0.009,0.002,0.414,0.050,0.378,0.068,0.414,0.050,0.414,0.050,0.449,0.086,0.414,0.050,0.416,0.049
12,0.046,0.010,0.008,0.002,0.433,0.047,0.393,0.060,0.433,0.047,0.433,0.047,0.463,0.103,0.433,0.047,0.434,0.045
13,0.045,0.009,0.008,0.002,0.451,0.045,0.410,0.054,0.451,0.045,0.451,0.045,0.483,0.091,0.451,0.045,0.452,0.044
14,0.049,0.010,0.009,0.002,0.453,0.046,0.409,0.053,0.453,0.046,0.453,0.046,0.494,0.097,0.453,0.046,0.453,0.046
15,0.053,0.009,0.010,0.002,0.481,0.051,0.463,0.054,0.481,0.051,0.481,0.051,0.522,0.067,0.481,0.051,0.481,0.051
16,0.038,0.007,0.008,0.002,0.473,0.050,0.454,0.052,0.473,0.050,0.473,0.050,0.509,0.062,0.473,0.050,0.473,0.050
