feature,index,weight,rank
tonal.thpcp[3].accompaniment,376,0.052109802522121766,1
rhythm.beats_loudness_band_ratio.max[3].accompaniment,298,0.04868068953649417,2
lowlevel.erbbands.median[26].accompaniment,97,0.03835242815420569,3
lowlevel.spectral_rolloff.kurt.accompaniment,55,0.0370472594443129,4
lowlevel.spectral_contrast_valleys.dmean[5].accompaniment,285,0.03594779600944083,5
tonal.tuning_equal_tempered_deviation.accompaniment,74,0.03454268312240465,6
rhythm.beats_loudness_band_ratio.max[6].accompaniment,301,0.03395407224912959,7
tonal.thpcp[18].accompaniment,383,0.03340821381930258,8
tonal.hpcp.dvar2[5].accompaniment,332,0.03330898135665524,9
lowlevel.dissonance.var.accompaniment,10,0.032961945611578,10
tonal.hpcp.dvar2[9].accompaniment,333,0.0321452606481318,11
tonal.thpcp[2].accompaniment,375,0.03152477991003199,12
rhythm.onset_rate.accompaniment,63,0.0308144893242878,13
tonal.thpcp[33].accompaniment,390,0.030737803336744543,14
tonal.hpcp.dmean2[19].accompaniment,329,0.029970181551254072,15
lowlevel.silence_rate_60dB.dvar.accompaniment,41,0.029578110545285696,16
tonal.hpcp.dmean2[35].accompaniment,331,0.02921892714818086,17
tonal.hpcp.dmean2[28].accompaniment,330,0.027834004743980675,18
tonal.hpcp.dmean2[13].accompaniment,328,0.027337849248086937,19
lowlevel.pitch_salience.dvar2.accompaniment,37,0.02650412627884583,20
lowlevel.gfcc.max[11].accompaniment,121,0.02413582893603421,21
lowlevel.spectral_contrast_coeffs.dvar2[1].accompaniment,260,0.023979399152357795,22
lowlevel.loudness_ebu128.momentary.dmean.accompaniment,25,0.023930987558122303,23
lowlevel.melbands128.dmean2[7].accompaniment,159,0.023062697079471707,24
lowlevel.loudness_ebu128.integrated.accompaniment,23,0.02158853424579164,25
tonal.key_temperley.strength.accompaniment,72,0.021121837563315,26
rhythm.beats_loudness_band_ratio.mean[2].accompaniment,302,0.02108838001945556,27
lowlevel.gfcc.var[13].accompaniment,151,0.020933638859982562,28
tonal.thpcp[26].accompaniment,386,0.02051144212418532,29
tonal.thpcp[9].accompaniment,379,0.02006021192297458,30
lowlevel.melbands128.skew[60].accompaniment,196,0.019813451989386038,31
lowlevel.melbands128.skew[53].accompaniment,191,0.019425132967469685,32
lowlevel.spectral_contrast_coeffs.mean[6].accompaniment,271,0.019344253342081282,33
rhythm.beats_loudness_band_ratio.skew[6].accompaniment,308,0.0183819515458574,34
lowlevel.mfcc.min[11].accompaniment,243,0.017664444022877167,35
lowlevel.spectral_contrast_coeffs.dmean2[2].accompaniment,258,0.017661907593833473,36
lowlevel.barkbands_crest.min.accompaniment,1,0.017496169221908366,37
lowlevel.melbands128.skew[82].accompaniment,206,0.017264226936061538,38
lowlevel.melbands128.skew[80].accompaniment,205,0.017057151773032908,39
tonal.thpcp[12].accompaniment,380,0.017010177308829134,40
lowlevel.mfcc.min[8].accompaniment,240,0.016794059678588293,41
lowlevel.melbands128.skew[67].accompaniment,199,0.01665814547424848,42
lowlevel.melbands128.skew[54].accompaniment,192,0.016524085650092248,43
lowlevel.mfcc.min[6].accompaniment,238,0.016476923586566203,44
lowlevel.melbands128.skew[69].accompaniment,201,0.01643911102298372,45
lowlevel.melbands128.skew[57].accompaniment,195,0.016388122578796863,46
lowlevel.melbands128.skew[65].accompaniment,198,0.016289520485280862,47
lowlevel.melbands128.skew[85].accompaniment,207,0.016079610549123498,48
lowlevel.melbands128.skew[72].accompaniment,203,0.015863844352946396,49
lowlevel.melbands128.skew[75].accompaniment,204,0.01570308271890027,50
lowlevel.melbands128.skew[55].accompaniment,193,0.015667328890575715,51
lowlevel.melbands128.skew[68].accompaniment,200,0.015350094458740667,52
lowlevel.mfcc.min[9].accompaniment,241,0.015163572053099322,53
