feature,index,rank
tonal.thpcp[3].accompaniment,304,1
lowlevel.dissonance.var.accompaniment,9,2
lowlevel.spectral_energyband_middle_high.dmean2.vocal,694,3
tonal.hpcp.dmean2[13].accompaniment,271,4
lowlevel.spectral_contrast_coeffs.var[5].original,576,5
tonal.thpcp[33].accompaniment,318,6
tonal.thpcp[18].accompaniment,311,7
lowlevel.erbbands.median[26].accompaniment,72,8
rhythm.beats_loudness_band_ratio.var[2].original,599,9
lowlevel.gfcc.dvar[8].vocal,779,10
tonal.hpcp.dmean2[19].accompaniment,272,11
lowlevel.erbbands_crest.kurt.original,327,12
lowlevel.loudness_ebu128.short_term.median.original,344,13
tonal.hpcp.dmean2[35].accompaniment,274,14
tonal.hpcp.dvar2[9].accompaniment,276,15
rhythm.beats_loudness_band_ratio.max[3].accompaniment,246,16
tonal.hpcp.dmean2[28].accompaniment,273,17
lowlevel.spectral_contrast_coeffs.max[3].original,565,18
lowlevel.melbands128.skew[60].accompaniment,158,19
lowlevel.gfcc.var[13].original,455,20
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,891,21
lowlevel.melbands128.skew[66].original,508,22
lowlevel.melbands.skew[31].original,462,23
lowlevel.spectral_energyband_middle_high.skew.original,361,24
lowlevel.melbands128.skew[74].original,510,25
lowlevel.melbands128.skew[54].accompaniment,154,26
tonal.tuning_equal_tempered_deviation.accompaniment,51,27
rhythm.onset_rate.accompaniment,44,28
lowlevel.melbands128.skew[65].accompaniment,160,29
lowlevel.spectral_rolloff.kurt.accompaniment,40,30
lowlevel.melbands128.skew[69].accompaniment,163,31
lowlevel.spectral_contrast_valleys.dmean[5].accompaniment,237,32
lowlevel.barkbands.skew[18].original,402,33
lowlevel.spectral_energyband_middle_high.skew.accompaniment,31,34
lowlevel.mfcc.min[4].vocal,878,35
tonal.hpcp.median[14].original,629,36
lowlevel.spectral_contrast_coeffs.kurt[5].original,563,37
lowlevel.mfcc.min[12].original,544,38
lowlevel.melbands128.skew[63].accompaniment,159,39
tonal.hpcp.dvar2[5].accompaniment,275,40
tonal.hpcp.median[18].original,631,41
lowlevel.melbands128.skew[82].accompaniment,168,42
lowlevel.melbands128.skew[72].accompaniment,165,43
tonal.thpcp[2].accompaniment,303,44
