numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,6.212,0.794,0.009,0.002,0.433,0.044,0.373,0.039,0.433,0.044,0.433,0.044,0.347,0.043,0.433,0.044,0.433,0.044
2,5.801,0.783,0.008,0.002,0.488,0.043,0.441,0.041,0.488,0.043,0.488,0.043,0.470,0.084,0.488,0.043,0.488,0.043
3,5.767,0.765,0.008,0.002,0.529,0.051,0.509,0.049,0.529,0.051,0.529,0.051,0.521,0.056,0.529,0.051,0.529,0.051
4,5.803,0.764,0.008,0.002,0.528,0.047,0.510,0.047,0.528,0.047,0.528,0.047,0.522,0.054,0.528,0.047,0.528,0.047
5,5.845,0.744,0.009,0.002,0.560,0.045,0.555,0.046,0.560,0.045,0.560,0.045,0.560,0.048,0.560,0.045,0.560,0.046
6,5.870,0.777,0.009,0.002,0.568,0.048,0.566,0.048,0.568,0.048,0.568,0.048,0.586,0.046,0.568,0.048,0.568,0.048
7,6.039,0.831,0.009,0.002,0.565,0.046,0.563,0.047,0.565,0.046,0.565,0.046,0.581,0.046,0.565,0.046,0.565,0.047
8,6.195,0.798,0.009,0.002,0.561,0.048,0.558,0.048,0.561,0.048,0.561,0.048,0.577,0.048,0.561,0.048,0.562,0.048
9,6.333,0.821,0.009,0.002,0.572,0.051,0.570,0.052,0.572,0.051,0.572,0.051,0.587,0.051,0.572,0.051,0.572,0.051
10,6.554,0.877,0.009,0.002,0.571,0.052,0.569,0.053,0.571,0.052,0.571,0.052,0.585,0.051,0.571,0.052,0.572,0.052
11,6.708,0.901,0.009,0.002,0.564,0.051,0.560,0.052,0.564,0.051,0.564,0.051,0.577,0.050,0.564,0.051,0.564,0.051
12,6.913,0.871,0.009,0.002,0.558,0.054,0.554,0.056,0.558,0.054,0.558,0.054,0.572,0.054,0.558,0.054,0.559,0.054
13,7.017,0.899,0.009,0.002,0.553,0.053,0.549,0.054,0.553,0.053,0.553,0.053,0.566,0.054,0.553,0.053,0.553,0.053
14,7.253,0.901,0.009,0.002,0.557,0.052,0.553,0.053,0.557,0.052,0.557,0.052,0.573,0.052,0.557,0.052,0.558,0.052
15,7.383,0.940,0.009,0.002,0.555,0.049,0.550,0.051,0.555,0.049,0.555,0.049,0.571,0.050,0.555,0.049,0.555,0.049
16,6.456,0.850,0.009,0.002,0.554,0.052,0.549,0.054,0.554,0.052,0.554,0.052,0.568,0.052,0.554,0.052,0.555,0.053
17,6.689,0.850,0.009,0.002,0.560,0.054,0.556,0.055,0.560,0.054,0.560,0.054,0.574,0.053,0.560,0.054,0.560,0.054
18,6.894,0.881,0.009,0.002,0.557,0.053,0.553,0.054,0.557,0.053,0.557,0.053,0.563,0.054,0.557,0.053,0.557,0.053
19,7.135,0.941,0.009,0.002,0.566,0.050,0.563,0.050,0.566,0.050,0.566,0.050,0.575,0.050,0.566,0.050,0.566,0.050
20,7.271,0.909,0.009,0.002,0.564,0.049,0.561,0.050,0.564,0.049,0.564,0.049,0.574,0.050,0.564,0.049,0.564,0.049
21,7.579,0.980,0.009,0.002,0.568,0.052,0.565,0.053,0.568,0.052,0.568,0.052,0.579,0.054,0.568,0.052,0.568,0.052
22,7.875,1.016,0.009,0.002,0.566,0.047,0.560,0.047,0.566,0.047,0.566,0.047,0.579,0.051,0.566,0.047,0.566,0.047
23,8.199,1.074,0.009,0.002,0.567,0.050,0.561,0.051,0.567,0.050,0.567,0.050,0.580,0.056,0.567,0.050,0.567,0.050
24,8.422,1.048,0.009,0.002,0.570,0.050,0.564,0.051,0.570,0.050,0.570,0.050,0.583,0.054,0.570,0.050,0.571,0.050
25,8.556,1.120,0.009,0.002,0.584,0.053,0.578,0.054,0.584,0.053,0.584,0.053,0.591,0.055,0.584,0.053,0.584,0.053
26,8.692,1.140,0.009,0.002,0.586,0.050,0.580,0.051,0.586,0.050,0.586,0.050,0.593,0.053,0.586,0.050,0.586,0.051
27,8.955,1.205,0.010,0.002,0.583,0.050,0.577,0.051,0.583,0.050,0.583,0.050,0.590,0.054,0.583,0.050,0.583,0.051
28,8.914,1.175,0.009,0.002,0.588,0.050,0.583,0.051,0.588,0.050,0.588,0.050,0.595,0.052,0.588,0.050,0.588,0.050
29,9.286,1.183,0.010,0.002,0.580,0.050,0.575,0.051,0.580,0.050,0.580,0.050,0.586,0.052,0.580,0.050,0.580,0.050
30,9.419,1.191,0.010,0.002,0.576,0.048,0.571,0.048,0.576,0.048,0.576,0.048,0.580,0.048,0.576,0.048,0.576,0.048
31,9.674,1.235,0.010,0.002,0.580,0.047,0.575,0.047,0.580,0.047,0.580,0.047,0.586,0.046,0.580,0.047,0.580,0.047
32,8.135,1.067,0.009,0.002,0.592,0.052,0.589,0.053,0.592,0.052,0.592,0.052,0.599,0.052,0.592,0.052,0.592,0.052
33,8.375,1.129,0.009,0.002,0.590,0.051,0.587,0.052,0.590,0.051,0.590,0.051,0.597,0.052,0.590,0.051,0.590,0.052
34,8.551,1.140,0.009,0.002,0.589,0.051,0.586,0.052,0.589,0.051,0.589,0.051,0.595,0.052,0.589,0.051,0.589,0.052
35,8.755,1.130,0.009,0.002,0.592,0.052,0.588,0.053,0.592,0.052,0.592,0.052,0.599,0.053,0.592,0.052,0.592,0.052
36,8.960,1.210,0.009,0.002,0.590,0.051,0.587,0.052,0.590,0.051,0.590,0.051,0.597,0.052,0.590,0.051,0.590,0.051
37,9.234,1.193,0.009,0.002,0.599,0.050,0.596,0.050,0.599,0.050,0.599,0.050,0.606,0.050,0.599,0.050,0.599,0.050
38,9.300,1.238,0.009,0.002,0.609,0.051,0.606,0.052,0.609,0.051,0.609,0.051,0.614,0.052,0.609,0.051,0.609,0.051
39,9.577,1.270,0.009,0.002,0.605,0.051,0.602,0.052,0.605,0.051,0.605,0.051,0.609,0.051,0.605,0.051,0.605,0.051
40,9.820,1.276,0.010,0.002,0.609,0.053,0.605,0.054,0.609,0.053,0.609,0.053,0.613,0.054,0.609,0.053,0.609,0.053
41,10.109,1.289,0.010,0.002,0.624,0.051,0.621,0.051,0.624,0.051,0.624,0.051,0.630,0.050,0.624,0.051,0.624,0.051
42,10.372,1.288,0.010,0.002,0.625,0.051,0.622,0.051,0.625,0.051,0.625,0.051,0.631,0.051,0.625,0.051,0.625,0.051
43,10.686,1.406,0.010,0.002,0.622,0.051,0.619,0.051,0.622,0.051,0.622,0.051,0.627,0.051,0.622,0.051,0.622,0.051
44,10.901,1.384,0.010,0.002,0.623,0.051,0.620,0.051,0.623,0.051,0.623,0.051,0.628,0.051,0.623,0.051,0.623,0.051
45,11.196,1.376,0.010,0.002,0.620,0.052,0.617,0.052,0.620,0.052,0.620,0.052,0.625,0.052,0.620,0.052,0.620,0.052
46,11.428,1.441,0.010,0.002,0.618,0.052,0.615,0.052,0.618,0.052,0.618,0.052,0.623,0.052,0.618,0.052,0.618,0.052
47,11.668,1.437,0.010,0.002,0.617,0.051,0.614,0.051,0.617,0.051,0.617,0.051,0.622,0.052,0.617,0.051,0.617,0.052
48,9.846,1.281,0.009,0.002,0.615,0.053,0.612,0.053,0.615,0.053,0.615,0.053,0.620,0.053,0.615,0.053,0.615,0.053
49,10.082,1.393,0.009,0.002,0.612,0.052,0.609,0.052,0.612,0.052,0.612,0.052,0.617,0.052,0.612,0.052,0.612,0.052
50,10.377,1.383,0.009,0.002,0.621,0.051,0.618,0.052,0.621,0.051,0.621,0.051,0.627,0.053,0.621,0.051,0.621,0.051
51,10.693,1.444,0.009,0.002,0.624,0.048,0.621,0.049,0.624,0.048,0.624,0.048,0.629,0.049,0.624,0.048,0.624,0.048
52,10.793,1.412,0.009,0.002,0.625,0.046,0.621,0.047,0.625,0.046,0.625,0.046,0.629,0.047,0.625,0.046,0.625,0.046
53,11.192,1.461,0.009,0.002,0.624,0.049,0.621,0.050,0.624,0.049,0.624,0.049,0.629,0.052,0.624,0.049,0.624,0.050
54,11.324,1.471,0.009,0.002,0.627,0.048,0.623,0.050,0.627,0.048,0.627,0.048,0.631,0.050,0.627,0.048,0.627,0.048
55,11.637,1.403,0.010,0.002,0.625,0.046,0.622,0.048,0.625,0.046,0.625,0.046,0.629,0.047,0.625,0.046,0.625,0.047
56,11.707,1.453,0.010,0.002,0.630,0.050,0.626,0.051,0.630,0.050,0.630,0.050,0.634,0.051,0.630,0.050,0.630,0.050
57,11.935,1.451,0.010,0.002,0.629,0.049,0.626,0.050,0.629,0.049,0.629,0.049,0.633,0.051,0.629,0.049,0.629,0.050
58,12.140,1.513,0.010,0.002,0.629,0.051,0.625,0.052,0.629,0.051,0.629,0.051,0.632,0.053,0.629,0.051,0.629,0.051
59,12.352,1.538,0.010,0.002,0.628,0.048,0.624,0.049,0.628,0.048,0.628,0.048,0.631,0.049,0.628,0.048,0.628,0.048
60,12.633,1.545,0.010,0.002,0.624,0.046,0.622,0.047,0.624,0.046,0.624,0.046,0.629,0.047,0.624,0.046,0.624,0.046
61,12.741,1.562,0.010,0.002,0.622,0.051,0.619,0.052,0.622,0.051,0.622,0.051,0.626,0.053,0.622,0.051,0.622,0.051
62,12.671,1.573,0.010,0.002,0.643,0.048,0.640,0.048,0.643,0.048,0.643,0.048,0.647,0.050,0.643,0.048,0.643,0.048
63,12.982,1.604,0.010,0.002,0.641,0.048,0.639,0.049,0.641,0.048,0.641,0.048,0.645,0.051,0.641,0.048,0.641,0.049
64,11.203,1.422,0.009,0.002,0.642,0.048,0.639,0.049,0.642,0.048,0.642,0.048,0.646,0.050,0.642,0.048,0.642,0.048
65,11.500,1.449,0.009,0.002,0.640,0.048,0.637,0.049,0.640,0.048,0.640,0.048,0.644,0.051,0.640,0.048,0.640,0.048
66,11.595,1.446,0.009,0.002,0.638,0.049,0.635,0.050,0.638,0.049,0.638,0.049,0.643,0.051,0.638,0.049,0.638,0.049
67,11.818,1.509,0.009,0.002,0.640,0.048,0.637,0.048,0.640,0.048,0.640,0.048,0.644,0.050,0.640,0.048,0.640,0.048
68,11.861,1.462,0.009,0.002,0.640,0.047,0.638,0.047,0.640,0.047,0.640,0.047,0.645,0.048,0.640,0.047,0.640,0.047
69,12.085,1.529,0.010,0.002,0.640,0.047,0.637,0.047,0.640,0.047,0.640,0.047,0.644,0.048,0.640,0.047,0.640,0.047
70,12.269,1.547,0.010,0.002,0.640,0.044,0.637,0.045,0.640,0.044,0.640,0.044,0.644,0.046,0.640,0.044,0.640,0.045
71,12.475,1.564,0.010,0.002,0.638,0.044,0.636,0.045,0.638,0.044,0.638,0.044,0.643,0.045,0.638,0.044,0.638,0.044
72,12.668,1.620,0.010,0.002,0.638,0.044,0.636,0.044,0.638,0.044,0.638,0.044,0.643,0.046,0.638,0.044,0.638,0.044
73,12.927,1.579,0.010,0.002,0.638,0.041,0.636,0.042,0.638,0.041,0.638,0.041,0.642,0.043,0.638,0.041,0.638,0.041
74,13.017,1.626,0.010,0.002,0.639,0.046,0.636,0.046,0.639,0.046,0.639,0.046,0.642,0.047,0.639,0.046,0.639,0.046
75,13.371,1.688,0.010,0.002,0.636,0.048,0.633,0.049,0.636,0.048,0.636,0.048,0.639,0.049,0.636,0.048,0.636,0.048
76,13.582,1.647,0.010,0.002,0.633,0.048,0.630,0.049,0.633,0.048,0.633,0.048,0.636,0.049,0.633,0.048,0.633,0.048
77,13.871,1.768,0.010,0.002,0.632,0.046,0.629,0.047,0.632,0.046,0.632,0.046,0.634,0.048,0.632,0.046,0.632,0.046
78,14.028,1.742,0.010,0.002,0.630,0.049,0.627,0.049,0.630,0.049,0.630,0.049,0.633,0.050,0.630,0.049,0.630,0.049
79,14.392,1.732,0.011,0.002,0.628,0.047,0.625,0.047,0.628,0.047,0.628,0.047,0.631,0.048,0.628,0.047,0.628,0.047
80,12.629,1.576,0.009,0.002,0.628,0.047,0.625,0.048,0.628,0.047,0.628,0.047,0.631,0.049,0.628,0.047,0.628,0.048
81,12.882,1.592,0.010,0.002,0.628,0.048,0.625,0.049,0.628,0.048,0.628,0.048,0.630,0.050,0.628,0.048,0.628,0.048
82,12.990,1.648,0.010,0.002,0.625,0.048,0.622,0.048,0.625,0.048,0.625,0.048,0.628,0.049,0.625,0.048,0.625,0.048
83,13.288,1.671,0.010,0.002,0.624,0.048,0.622,0.049,0.624,0.048,0.624,0.048,0.628,0.050,0.624,0.048,0.624,0.048
84,13.441,1.710,0.010,0.002,0.624,0.048,0.621,0.048,0.624,0.048,0.624,0.048,0.627,0.049,0.624,0.048,0.624,0.048
85,13.698,1.715,0.010,0.002,0.623,0.048,0.620,0.049,0.623,0.048,0.623,0.048,0.626,0.049,0.623,0.048,0.623,0.048
86,13.750,1.783,0.010,0.002,0.624,0.047,0.621,0.048,0.624,0.047,0.624,0.047,0.627,0.048,0.624,0.047,0.624,0.047
87,14.006,1.715,0.010,0.002,0.624,0.047,0.622,0.048,0.624,0.047,0.624,0.047,0.627,0.048,0.624,0.047,0.624,0.048
88,14.079,1.751,0.010,0.002,0.627,0.048,0.624,0.048,0.627,0.048,0.627,0.048,0.630,0.048,0.627,0.048,0.627,0.048
