feature,weight
lowlevel.barkbands_crest.min.accompaniment,0.049958542703989924
lowlevel.barkbands_flatness_db.kurt.accompaniment,0.025231649091632766
lowlevel.barkbands_flatness_db.min.accompaniment,0.025231649091632766
lowlevel.barkbands_flatness_db.skew.accompaniment,0.04940181288493925
lowlevel.barkbands_kurtosis.min.accompaniment,0.026251862458751496
lowlevel.barkbands_kurtosis.skew.accompaniment,0.025231649091632766
lowlevel.barkbands_kurtosis.var.accompaniment,0.025231649091632766
lowlevel.barkbands_spread.kurt.accompaniment,0.026251862458751496
lowlevel.dissonance.kurt.accompaniment,0.025231649091632766
lowlevel.dissonance.var.accompaniment,0.1179810617997199
lowlevel.erbbands_crest.kurt.accompaniment,0.04982752497507032
lowlevel.erbbands_crest.min.accompaniment,0.03658700880323825
lowlevel.erbbands_flatness_db.kurt.accompaniment,0.025231649091632766
lowlevel.erbbands_flatness_db.min.accompaniment,0.025231649091632766
lowlevel.erbbands_flatness_db.skew.accompaniment,0.027968601148337886
lowlevel.erbbands_kurtosis.median.accompaniment,0.03649538919483749
lowlevel.erbbands_kurtosis.skew.accompaniment,0.031006663491686407
lowlevel.erbbands_skewness.kurt.accompaniment,0.025231649091632766
lowlevel.erbbands_skewness.skew.accompaniment,0.025231649091632766
lowlevel.hfc.skew.accompaniment,0.06565653498424345
lowlevel.loudness_ebu128.short_term.dvar2.accompaniment,0.025231649091632766
lowlevel.loudness_ebu128.short_term.kurt.accompaniment,0.026251862458751496
lowlevel.loudness_ebu128.short_term.var.accompaniment,0.025231649091632766
lowlevel.melbands_flatness_db.min.accompaniment,0.025231649091632766
lowlevel.melbands_kurtosis.min.accompaniment,0.025231649091632766
lowlevel.melbands_skewness.min.accompaniment,0.025231649091632766
lowlevel.pitch_salience.kurt.accompaniment,0.026251862458751496
lowlevel.pitch_salience.max.accompaniment,0.025231649091632766
lowlevel.silence_rate_30dB.kurt.accompaniment,0.025231649091632766
lowlevel.spectral_energy.max.accompaniment,0.025231649091632766
lowlevel.spectral_energyband_middle_high.max.accompaniment,0.025231649091632766
lowlevel.spectral_energyband_middle_high.skew.accompaniment,0.07604076193349689
lowlevel.spectral_energyband_middle_low.kurt.accompaniment,0.025231649091632766
lowlevel.spectral_energyband_middle_low.max.accompaniment,0.038405826405695065
