numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,34.318,6.736,0.137,0.137,0.447,0.048,0.440,0.048,0.447,0.048,0.447,0.048,0.462,0.051,0.447,0.048,0.447,0.048
2,32.702,6.624,0.155,0.143,0.502,0.049,0.501,0.048,0.502,0.049,0.502,0.049,0.519,0.050,0.502,0.049,0.502,0.049
3,32.184,6.159,0.198,0.165,0.543,0.048,0.534,0.047,0.543,0.048,0.543,0.048,0.549,0.052,0.543,0.048,0.543,0.048
4,32.368,6.121,0.179,0.166,0.563,0.053,0.558,0.053,0.563,0.053,0.563,0.053,0.570,0.056,0.563,0.053,0.563,0.053
5,32.242,6.892,0.116,0.128,0.572,0.051,0.566,0.052,0.572,0.051,0.572,0.051,0.586,0.056,0.572,0.051,0.572,0.051
6,31.840,6.250,0.178,0.138,0.576,0.050,0.573,0.051,0.576,0.050,0.576,0.050,0.603,0.052,0.576,0.050,0.576,0.049
7,32.976,7.205,0.094,0.112,0.578,0.049,0.574,0.049,0.578,0.049,0.578,0.049,0.603,0.051,0.578,0.049,0.578,0.048
8,33.937,7.354,0.088,0.107,0.583,0.049,0.580,0.050,0.583,0.049,0.583,0.049,0.603,0.049,0.583,0.049,0.583,0.049
9,34.538,7.203,0.163,0.154,0.585,0.047,0.583,0.048,0.585,0.047,0.585,0.047,0.607,0.048,0.585,0.047,0.586,0.047
10,35.668,7.779,0.137,0.130,0.586,0.050,0.582,0.052,0.586,0.050,0.586,0.050,0.607,0.053,0.586,0.050,0.586,0.050
11,36.846,8.114,0.118,0.124,0.584,0.050,0.580,0.052,0.584,0.050,0.584,0.050,0.608,0.053,0.584,0.050,0.584,0.050
12,37.865,7.627,0.178,0.137,0.584,0.051,0.580,0.053,0.584,0.051,0.584,0.051,0.610,0.052,0.584,0.051,0.584,0.051
13,38.355,8.023,0.185,0.159,0.572,0.052,0.567,0.054,0.572,0.052,0.572,0.052,0.594,0.054,0.572,0.052,0.572,0.052
14,39.398,8.054,0.181,0.148,0.571,0.052,0.567,0.053,0.571,0.052,0.571,0.052,0.589,0.053,0.571,0.052,0.571,0.052
15,40.253,9.185,0.078,0.081,0.568,0.054,0.564,0.055,0.568,0.054,0.568,0.054,0.586,0.053,0.568,0.054,0.568,0.054
16,39.123,8.907,0.067,0.076,0.572,0.054,0.568,0.054,0.572,0.054,0.572,0.054,0.584,0.054,0.572,0.054,0.572,0.054
17,39.145,8.712,0.109,0.114,0.580,0.047,0.575,0.046,0.580,0.047,0.580,0.047,0.593,0.048,0.580,0.047,0.580,0.047
18,39.274,8.759,0.112,0.126,0.586,0.050,0.580,0.050,0.586,0.050,0.586,0.050,0.600,0.050,0.586,0.050,0.586,0.050
19,39.084,8.646,0.086,0.087,0.603,0.051,0.597,0.051,0.603,0.051,0.603,0.051,0.618,0.051,0.603,0.051,0.603,0.051
20,39.175,8.740,0.107,0.102,0.603,0.050,0.597,0.050,0.603,0.050,0.603,0.050,0.615,0.050,0.603,0.050,0.603,0.049
21,39.714,8.876,0.100,0.100,0.605,0.056,0.600,0.056,0.605,0.056,0.605,0.056,0.617,0.056,0.605,0.056,0.605,0.056
22,40.031,9.051,0.098,0.109,0.617,0.053,0.613,0.053,0.617,0.053,0.617,0.053,0.627,0.054,0.617,0.053,0.617,0.053
23,40.695,9.246,0.116,0.128,0.613,0.050,0.608,0.050,0.613,0.050,0.613,0.050,0.622,0.051,0.613,0.050,0.613,0.050
24,41.018,9.285,0.105,0.106,0.611,0.052,0.606,0.052,0.611,0.052,0.611,0.052,0.620,0.052,0.611,0.052,0.611,0.052
