feature,index,weight,rank
lowlevel.gfcc.dvar[8].vocal,128,0.04204683505556905,1
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,240,0.036120290321427266,2
lowlevel.mfcc.min[4].vocal,227,0.03196672879917737,3
rhythm.beats_loudness_band_ratio.kurt[1].vocal,262,0.029062977693204664,4
tonal.thpcp[4].vocal,312,0.028714032976126597,5
lowlevel.spectral_contrast_coeffs.var[1].vocal,249,0.02691274313443993,6
lowlevel.spectral_complexity.dvar.vocal,40,0.026546855130123212,7
tonal.hpcp.dmean[27].vocal,299,0.02622971711856808,8
tonal.hpcp.dmean[23].vocal,298,0.026085835798023198,9
lowlevel.loudness_ebu128.momentary.min.vocal,24,0.025219846870122627,10
tonal.thpcp[34].vocal,317,0.02485336236039076,11
lowlevel.gfcc.max[9].vocal,145,0.024316609506968505,12
lowlevel.erbbands_flatness_db.mean.vocal,15,0.024218990047312816,13
rhythm.beats_loudness_band_ratio.var[1].vocal,271,0.02340560435560321,14
lowlevel.mfcc.var[1].vocal,229,0.022058317626182846,15
lowlevel.spectral_contrast_coeffs.min[3].vocal,247,0.021205171678907564,16
tonal.key_temperley.strength.vocal,73,0.02104235643814412,17
lowlevel.gfcc.median[6].vocal,150,0.020870633461670743,18
rhythm.beats_loudness_band_ratio.dmean[5].vocal,259,0.020855565459239486,19
lowlevel.dissonance.mean.vocal,12,0.020445403484862873,20
lowlevel.melbands_spread.dmean.vocal,31,0.019692296893171337,21
lowlevel.spectral_contrast_coeffs.median[6].vocal,245,0.019268299878921084,22
rhythm.beats_loudness_band_ratio.kurt[2].vocal,263,0.01913695101109142,23
lowlevel.melbands128.kurt[10].vocal,173,0.018892700741769627,24
lowlevel.spectral_contrast_valleys.max[1].vocal,256,0.01778055258268515,25
lowlevel.gfcc.min[3].vocal,152,0.017736742327949313,26
tonal.hpcp.dmean[5].vocal,297,0.01714830258392063,27
lowlevel.mfcc.max[12].vocal,224,0.01707990357351329,28
tonal.thpcp[19].vocal,314,0.016993086681897075,29
tonal.chords_changes_rate.vocal,63,0.016954445462130346,30
tonal.tuning_equal_tempered_deviation.vocal,74,0.01656544170892355,31
rhythm.beats_loudness_band_ratio.dvar2[4].vocal,261,0.016281532139271804,32
lowlevel.mfcc.var[8].vocal,235,0.0162691257299794,33
lowlevel.erbbands_flatness_db.max.vocal,14,0.015814081734995433,34
lowlevel.erbbands_spread.median.vocal,21,0.015603477081916315,35
lowlevel.spectral_energyband_middle_high.dmean2.vocal,43,0.015535189330588806,36
lowlevel.mfcc.var[4].vocal,231,0.01517870330623252,37
lowlevel.gfcc.var[7].vocal,161,0.014713212093211053,38
lowlevel.zerocrossingrate.min.vocal,61,0.013773584122603252,39
lowlevel.barkbands_crest.min.vocal,0,0.013318319116645268,40
lowlevel.mfcc.max[8].vocal,220,0.013316200750196835,41
lowlevel.spectral_skewness.min.vocal,55,0.013006001399527173,42
lowlevel.mfcc.max[9].vocal,221,0.012667466838909293,43
lowlevel.mfcc.var[3].vocal,230,0.012528390153855967,44
tonal.hpcp_crest.var.vocal,70,0.012403602589373626,45
lowlevel.mfcc.min[7].vocal,228,0.012332832938764575,46
lowlevel.gfcc.max[12].vocal,148,0.011729598016259767,47
tonal.hpcp.median[21].vocal,310,0.011673785906891145,48
rhythm.beats_loudness_band_ratio.median[2].vocal,268,0.011184006007582747,49
lowlevel.gfcc.min[2].vocal,151,0.011155121437179226,50
lowlevel.mfcc.max[6].vocal,218,0.011049723537913276,51
lowlevel.gfcc.min[7].vocal,154,0.010647737757280673,52
lowlevel.spectral_energy.dmean2.vocal,41,0.010496978481419101,53
lowlevel.mfcc.max[11].vocal,223,0.010471993490404643,54
lowlevel.melbands128.skew[19].vocal,197,0.010433734929649134,55
lowlevel.gfcc.var[9].vocal,163,0.010327384797475183,56
lowlevel.erbbands.dmean2[16].vocal,87,0.010172020725121978,57
lowlevel.spectral_strongpeak.dmean2.vocal,58,0.010097367447583234,58
lowlevel.mfcc.max[10].vocal,222,0.009986576528391201,59
lowlevel.melbands128.skew[20].vocal,198,0.009881007284738858,60
lowlevel.gfcc.min[5].vocal,153,0.009872229581303143,61
lowlevel.gfcc.max[7].vocal,143,0.009867215092067847,62
lowlevel.spectral_contrast_coeffs.max[4].vocal,244,0.009519820805389913,63
lowlevel.mfcc.var[7].vocal,234,0.009383570882859332,64
lowlevel.barkbands.mean[5].vocal,81,0.008767123737698333,65
tonal.hpcp_crest.kurt.vocal,69,0.008515706272591942,66
lowlevel.gfcc.var[8].vocal,162,0.008040151448928303,67
lowlevel.erbbands.dmean[19].vocal,82,0.007702120070371819,68
lowlevel.barkbands.dmean2[9].vocal,76,0.0066890336463223685,69
lowlevel.erbbands.dmean2[13].vocal,86,0.0060713734090105005,70
lowlevel.erbbands.dmean[23].vocal,83,0.0049951907672102095,71
lowlevel.spectral_energyband_middle_low.mean.vocal,44,0.004937989251564262,72
lowlevel.spectral_centroid.min.vocal,39,0.004402547448786359,73
lowlevel.barkbands.dmean2[13].vocal,78,0.004234080889648091,74
lowlevel.mfcc.var[12].vocal,239,0.004179162295917941,75
lowlevel.barkbands.dmean2[11].vocal,77,0.004111572216206269,76
lowlevel.erbbands.dmean2[20].vocal,88,0.0036975952859444683,77
lowlevel.melbands128.kurt[63].vocal,183,0.0016070693593924108,78
lowlevel.mfcc.max[5].vocal,217,0.0016070693593924108,79
lowlevel.gfcc.var[5].vocal,159,0.0016070693593924108,80
lowlevel.mfcc.kurt[4].vocal,214,0.0016070693593924108,81
lowlevel.mfcc.max[4].vocal,216,0.0016070693593924108,82
lowlevel.gfcc.var[3].vocal,158,0.0016070693593924108,83
lowlevel.gfcc.skew[13].vocal,157,0.0016070693593924108,84
lowlevel.mfcc.kurt[1].vocal,211,0.0016070693593924108,85
lowlevel.gfcc.skew[11].vocal,156,0.0016070693593924108,86
lowlevel.gfcc.skew[9].vocal,155,0.0016070693593924108,87
lowlevel.mfcc.max[7].vocal,219,0.0016070693593924108,88
lowlevel.melbands_kurtosis.skew.vocal,29,0.0016070693593924108,89
lowlevel.melbands_skewness.skew.vocal,30,0.0016070693593924108,90
lowlevel.mfcc.kurt[2].vocal,212,0.0016070693593924108,91
lowlevel.melbands128.skew[55].vocal,208,0.0016070693593924108,92
lowlevel.gfcc.var[6].vocal,160,0.0016070693593924108,93
lowlevel.melbands128.skew[4].vocal,195,0.0016070693593924108,94
lowlevel.barkbands_flatness_db.min.vocal,1,0.0016070693593924108,95
lowlevel.gfcc.var[10].vocal,164,0.0016070693593924108,96
lowlevel.melbands128.skew[42].vocal,204,0.0016070693593924108,97
lowlevel.melbands128.skew[22].vocal,199,0.0016070693593924108,98
lowlevel.gfcc.var[11].vocal,165,0.0016070693593924108,99
lowlevel.gfcc.var[12].vocal,166,0.0016070693593924108,100
lowlevel.gfcc.var[13].vocal,167,0.0016070693593924108,101
lowlevel.melbands.kurt[27].vocal,169,0.0016070693593924108,102
lowlevel.melbands.kurt[29].vocal,170,0.0016070693593924108,103
lowlevel.melbands_kurtosis.min.vocal,28,0.0016070693593924108,104
lowlevel.melbands128.skew[18].vocal,196,0.0016070693593924108,105
lowlevel.melbands128.kurt[75].vocal,184,0.0016070693593924108,106
lowlevel.mfcc.var[11].vocal,238,0.0016070693593924108,107
lowlevel.mfcc.max[13].vocal,225,0.0016070693593924108,108
rhythm.beats_loudness_band_ratio.dvar2[3].vocal,260,0.0016070693593924108,109
rhythm.beats_loudness_band_ratio.kurt[4].vocal,265,0.0016070693593924108,110
rhythm.beats_loudness_band_ratio.median[4].vocal,269,0.0016070693593924108,111
rhythm.beats_loudness_band_ratio.median[6].vocal,270,0.0016070693593924108,112
lowlevel.barkbands_spread.max.vocal,8,0.0016070693593924108,113
rhythm.beats_loudness_band_ratio.var[6].vocal,272,0.0016070693593924108,114
tonal.chords_histogram[2].vocal,274,0.0016070693593924108,115
tonal.chords_histogram[13].vocal,285,0.0016070693593924108,116
lowlevel.barkbands_skewness.dmean.vocal,6,0.0016070693593924108,*
lowlevel.barkbands_kurtosis.skew.vocal,5,0.0016070693593924108,*
tonal.hpcp.kurt[23].vocal,304,0.0016070693593924108,*
tonal.hpcp.kurt[24].vocal,305,0.0016070693593924108,*
tonal.hpcp.kurt[26].vocal,307,0.0016070693593924108,*
tonal.hpcp.kurt[33].vocal,309,0.0016070693593924108,*
tonal.hpcp.skew[21].vocal,311,0.0016070693593924108,*
tonal.thpcp[12].vocal,313,0.0016070693593924108,*
tonal.thpcp[26].vocal,315,0.0016070693593924108,*
tonal.thpcp[29].vocal,316,0.0016070693593924108,*
lowlevel.barkbands_spread.skew.vocal,9,0.0016070693593924108,*
lowlevel.dissonance.min.vocal,13,0.0016070693593924108,*
lowlevel.mfcc.median[13].vocal,226,0.0016070693593924108,*
lowlevel.spectral_contrast_valleys.var[1].vocal,258,0.0016070693593924108,*
lowlevel.mfcc.var[5].vocal,232,0.0016070693593924108,*
lowlevel.mfcc.var[6].vocal,233,0.0016070693593924108,*
lowlevel.mfcc.var[9].vocal,236,0.0016070693593924108,*
lowlevel.mfcc.var[10].vocal,237,0.0016070693593924108,*
lowlevel.erbbands_skewness.skew.vocal,20,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.dvar2[6].vocal,241,0.0016070693593924108,*
lowlevel.erbbands_skewness.kurt.vocal,19,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.min[1].vocal,246,0.0016070693593924108,*
lowlevel.erbbands_kurtosis.skew.vocal,18,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.skew[6].vocal,248,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.var[2].vocal,250,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.var[4].vocal,251,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.var[5].vocal,252,0.0016070693593924108,*
lowlevel.spectral_contrast_coeffs.var[6].vocal,253,0.0016070693593924108,*
lowlevel.spectral_contrast_valleys.dmean2[1].vocal,254,0.0016070693593924108,*
lowlevel.erbbands_flatness_db.min.vocal,16,0.0016070693593924108,*
lowlevel.spectral_contrast_valleys.max[6].vocal,257,0.0016070693593924108,*
lowlevel.gfcc.max[13].vocal,149,0.0016070693593924108,*
tonal.key_edma.scale.vocal,321,0.0016070693593924108,*
lowlevel.gfcc.max[11].vocal,147,0.0016070693593924108,*
lowlevel.erbbands.mean[4].vocal,106,0.0016070693593924108,*
lowlevel.spectral_kurtosis.min.vocal,50,0.0016070693593924108,*
lowlevel.erbbands.skew[37].vocal,123,0.0016070693593924108,*
lowlevel.erbbands.skew[1].vocal,122,0.0016070693593924108,*
lowlevel.spectral_rolloff.min.vocal,53,0.0016070693593924108,*
lowlevel.erbbands.dmean2[11].vocal,85,0.0016070693593924108,*
lowlevel.erbbands.median[26].vocal,117,0.0016070693593924108,*
lowlevel.spectral_skewness.kurt.vocal,54,0.0016070693593924108,*
lowlevel.erbbands.median[20].vocal,116,0.0016070693593924108,*
lowlevel.erbbands.mean[9].vocal,108,0.0016070693593924108,*
lowlevel.zerocrossingrate.median.vocal,60,0.0016070693593924108,*
rhythm.beats_count.vocal,62,0.0016070693593924108,*
lowlevel.spectral_entropy.min.vocal,47,0.0016070693593924108,*
lowlevel.silence_rate_30dB.var.vocal,36,0.0016070693593924108,*
tonal.chords_number_rate.vocal,64,0.0016070693593924108,*
tonal.chords_strength.max.vocal,67,0.0016070693593924108,*
tonal.chords_strength.min.vocal,68,0.0016070693593924108,*
lowlevel.gfcc.max[10].vocal,146,0.0016070693593924108,*
tonal.hpcp_entropy.var.vocal,72,0.0016070693593924108,*
lowlevel.silence_rate_30dB.min.vocal,35,0.0016070693593924108,*
lowlevel.silence_rate_30dB.kurt.vocal,34,0.0016070693593924108,*
tonal.tuning_frequency.vocal,75,0.0016070693593924108,*
lowlevel.barkbands.dmean2[14].vocal,79,0.0016070693593924108,*
lowlevel.spectral_entropy.skew.vocal,48,0.0016070693593924108,*
lowlevel.erbbands.dmean2[5].vocal,84,0.0016070693593924108,*
lowlevel.spectral_entropy.kurt.vocal,46,0.0016070693593924108,*
lowlevel.gfcc.kurt[5].vocal,132,0.0016070693593924108,*
lowlevel.gfcc.kurt[9].vocal,136,0.0016070693593924108,*
lowlevel.gfcc.kurt[7].vocal,134,0.0016070693593924108,*
lowlevel.gfcc.kurt[1].vocal,129,0.0016070693593924108,*
lowlevel.gfcc.kurt[2].vocal,130,0.0016070693593924108,*
lowlevel.gfcc.kurt[10].vocal,137,0.0016070693593924108,*
lowlevel.spectral_energyband_high.skew.vocal,42,0.0016070693593924108,*
lowlevel.gfcc.kurt[12].vocal,139,0.0016070693593924108,*
lowlevel.pitch_salience.max.vocal,33,0.0016070693593924108,*
lowlevel.gfcc.kurt[6].vocal,133,0.0016070693593924108,*
lowlevel.gfcc.kurt[4].vocal,131,0.0016070693593924108,*
lowlevel.silence_rate_60dB.median.vocal,38,0.0016070693593924108,*
lowlevel.gfcc.max[3].vocal,141,0.0016070693593924108,*
lowlevel.gfcc.max[8].vocal,144,0.0016070693593924108,*
lowlevel.spectral_energyband_middle_low.median.vocal,45,0.0016070693593924108,*
lowlevel.pitch_salience.kurt.vocal,32,0.0016070693593924108,*
lowlevel.gfcc.kurt[8].vocal,135,0.0016070693593924108,*
lowlevel.spectral_strongpeak.kurt.vocal,59,0.0012066756396282858,*
lowlevel.silence_rate_60dB.kurt.vocal,37,0.0012066756396282858,*
lowlevel.spectral_spread.skew.vocal,57,0.0012066756396282858,*
rhythm.beats_loudness_band_ratio.kurt[6].vocal,267,0.0012066756396282858,*
tonal.chords_histogram[1].vocal,273,0.0012066756396282858,*
rhythm.beats_loudness_band_ratio.kurt[5].vocal,266,0.0012066756396282858,*
lowlevel.dissonance.kurt.vocal,11,0.0012066756396282858,*
rhythm.beats_loudness_band_ratio.kurt[3].vocal,264,0.0012066756396282858,*
lowlevel.barkbands_spread.var.vocal,10,0.0012066756396282858,*
tonal.chords_histogram[3].vocal,275,0.0012066756396282858,*
tonal.chords_strength.dvar2.vocal,65,0.0012066756396282858,*
tonal.chords_strength.kurt.vocal,66,0.0012066756396282858,*
tonal.chords_key.vocal,318,0.0012066756396282858,*
tonal.hpcp_entropy.kurt.vocal,71,0.0012066756396282858,*
lowlevel.spectral_contrast_valleys.kurt[6].vocal,255,0.0012066756396282858,*
tonal.chords_scale.vocal,319,0.0012066756396282858,*
tonal.key_edma.key.vocal,320,0.0012066756396282858,*
lowlevel.erbbands_kurtosis.min.vocal,17,0.0012066756396282858,*
lowlevel.barkbands.max[18].vocal,80,0.0012066756396282858,*
lowlevel.spectral_spread.min.vocal,56,0.0012066756396282858,*
tonal.chords_histogram[7].vocal,279,0.0012066756396282858,*
tonal.chords_histogram[4].vocal,276,0.0012066756396282858,*
tonal.chords_histogram[5].vocal,277,0.0012066756396282858,*
tonal.hpcp.kurt[31].vocal,308,0.0012066756396282858,*
lowlevel.spectral_flux.kurt.vocal,49,0.0012066756396282858,*
tonal.hpcp.kurt[25].vocal,306,0.0012066756396282858,*
lowlevel.spectral_kurtosis.var.vocal,51,0.0012066756396282858,*
tonal.hpcp.kurt[13].vocal,303,0.0012066756396282858,*
lowlevel.barkbands_kurtosis.median.vocal,3,0.0012066756396282858,*
tonal.hpcp.kurt[11].vocal,302,0.0012066756396282858,*
tonal.hpcp.kurt[7].vocal,301,0.0012066756396282858,*
tonal.hpcp.kurt[5].vocal,300,0.0012066756396282858,*
lowlevel.spectral_rolloff.kurt.vocal,52,0.0012066756396282858,*
lowlevel.barkbands_skewness.kurt.vocal,7,0.0012066756396282858,*
tonal.chords_histogram[24].vocal,296,0.0012066756396282858,*
tonal.chords_histogram[23].vocal,295,0.0012066756396282858,*
tonal.chords_histogram[22].vocal,294,0.0012066756396282858,*
tonal.chords_histogram[21].vocal,293,0.0012066756396282858,*
tonal.chords_histogram[20].vocal,292,0.0012066756396282858,*
tonal.chords_histogram[19].vocal,291,0.0012066756396282858,*
lowlevel.barkbands_kurtosis.dvar.vocal,2,0.0012066756396282858,*
tonal.chords_histogram[17].vocal,289,0.0012066756396282858,*
tonal.chords_histogram[16].vocal,288,0.0012066756396282858,*
tonal.chords_histogram[15].vocal,287,0.0012066756396282858,*
tonal.chords_histogram[14].vocal,286,0.0012066756396282858,*
tonal.chords_histogram[12].vocal,284,0.0012066756396282858,*
tonal.chords_histogram[11].vocal,283,0.0012066756396282858,*
tonal.chords_histogram[10].vocal,282,0.0012066756396282858,*
tonal.chords_histogram[9].vocal,281,0.0012066756396282858,*
tonal.chords_histogram[8].vocal,280,0.0012066756396282858,*
lowlevel.barkbands_kurtosis.min.vocal,4,0.0012066756396282858,*
tonal.chords_histogram[6].vocal,278,0.0012066756396282858,*
tonal.chords_histogram[18].vocal,290,0.0012066756396282858,*
lowlevel.erbbands_spread.min.vocal,22,0.0012066756396282858,*
lowlevel.erbbands.dvar[16].vocal,89,0.0012066756396282858,*
lowlevel.melbands128.kurt[61].vocal,182,0.0012066756396282858,*
lowlevel.melbands128.kurt[82].vocal,186,0.0012066756396282858,*
