Features,Scores
lowlevel.erbbands.median[22].original,107.07525936762771
tonal.thpcp[3].original,36.65045924563276
tonal.thpcp[19].original,26.364397542340868
tonal.thpcp[33].original,26.309661779174185
lowlevel.mfcc.kurt[1].original,25.720288165447375
tonal.key_temperley.scale.original,24.25045045045045
lowlevel.silence_rate_30dB.min.original,24.219354838709677
tonal.hpcp.dmean2[13].original,21.5747761738508
tonal.hpcp.dmean2[19].original,21.560297928153012
lowlevel.melbands.skew[31].original,21.061785654900905
lowlevel.spectral_contrast_coeffs.var[5].original,21.040059299139248
lowlevel.melbands128.skew[74].original,20.852329745360976
tonal.hpcp.dmean2[28].original,20.686341568885627
lowlevel.spectral_entropy.kurt.original,19.86963228081402
tonal.hpcp.dmean2[25].original,19.82613049773134
rhythm.beats_loudness_band_ratio.kurt[6].original,19.71123666481348
tonal.hpcp.dmean2[23].original,18.220494960486327
tonal.hpcp.dmean2[35].original,17.659286546294396
rhythm.beats_loudness_band_ratio.var[2].original,17.609281466960528
lowlevel.silence_rate_60dB.var.original,17.576665708723464
tonal.hpcp.dmean2[9].original,17.49868401182099
tonal.hpcp.dmean2[5].original,17.435106228407307
tonal.hpcp.median[14].original,16.354864841449015
lowlevel.melbands128.skew[64].original,16.323010683987057
tonal.hpcp.median[12].original,16.318355351010254
lowlevel.melbands128.skew[67].original,15.950097715210967
rhythm.beats_loudness_band_ratio.var[3].original,15.677817700322725
lowlevel.spectral_contrast_coeffs.max[3].original,15.606729985669443
tonal.hpcp.dmean2[1].original,15.148886485624939
tonal.tuning_nontempered_energy_ratio.original,15.14064784664937
lowlevel.melbands128.skew[66].original,15.046182498642253
lowlevel.loudness_ebu128.loudness_range.original,14.794464764801933
lowlevel.melbands128.skew[62].original,14.475183008037908
lowlevel.barkbands.skew[18].original,14.29557476915768
lowlevel.spectral_contrast_coeffs.kurt[5].original,14.06549200327025
tonal.thpcp[26].original,14.048189901002381
lowlevel.melbands128.skew[65].original,13.820152495471532
tonal.hpcp.median[24].original,13.549251177984061
tonal.hpcp.median[29].original,13.541592929398377
lowlevel.gfcc.var[13].original,13.375558565462798
lowlevel.erbbands_crest.kurt.original,12.774240553537302
tonal.thpcp[2].original,12.473406588159563
tonal.hpcp.median[18].original,12.36944814140521
lowlevel.erbbands_kurtosis.max.original,12.222213220159029
lowlevel.spectral_energyband_low.median.original,12.131724468812584
lowlevel.spectral_flux.kurt.original,12.009287733916533
lowlevel.barkbands.mean[6].original,11.935418847837624
lowlevel.spectral_contrast_coeffs.kurt[6].original,11.88744901044113
tonal.thpcp[12].original,11.736500558792365
lowlevel.melbands128.median[7].original,11.370684731269794
lowlevel.melbands128.skew[91].original,11.183443201168277
lowlevel.erbbands.var[8].original,11.1661691740774
