num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5965018459911898,0.04813428415675792
010,100_linear,"{'C': 100, 'kernel': 'linear'}",8,0.5807244348616846,0.05301344503293538
010,10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",17,0.5778338190780182,0.04637098780181188
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",15,0.578030967843193,0.05235495950543162
025,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6163681374570023,0.05336773732710524
025,1_linear,"{'C': 1, 'kernel': 'linear'}",37,0.5924505980368049,0.05142241780473469
025,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6115855868731054,0.04536785435653942
025,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",33,0.5930437996854153,0.05181003283793095
050,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",5,0.6185665128694797,0.04624077211999005
050,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",27,0.6025986707072731,0.05003024944579696
050,10_4_0.1_poly,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",1,0.6211123478508874,0.04818772287936665
050,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",19,0.6065426910910054,0.050154224174353314
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",8,0.6186734499846875,0.05110085375528845
100,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",31,0.6032195501306274,0.049731676629703056
100,1_4_0.1_poly,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",1,0.6326981266080323,0.05250818990155752
100,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",30,0.6033202280635074,0.04949008891237003
200,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",6,0.6312756321371576,0.05076094582069072
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6275673719118083,0.05117009143575443
200,1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6408440236720019,0.05396863164698063
200,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",19,0.6275673719118083,0.05117009143575443
300,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6518714252506386,0.050022223387742336
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6358066975284584,0.04951549426533682
300,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",2,0.6515492222808416,0.05005491163903957
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",7,0.6465500611126451,0.051710535945079336
396,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6442116865089815,0.052822793368352015
396,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",6,0.6377923520286717,0.04978703368073011
396,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6428788833889765,0.0534377290249218
396,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",5,0.6382040606280739,0.049414590519855715
