kernel,params,rank_test_score,mean_test_score,std_test_score
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6163681374570023,0.05336773732710524
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6150885957172849,0.05179499792343626
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",3,0.6146921783463455,0.04366797389905776
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6118712746155884,0.04758059148100577
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6115855868731054,0.04536785435653942
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",6,0.6078639491194363,0.04653594225044381
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6077249477260636,0.04969916807518656
100_3_0.1_poly,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",8,0.6060292448351423,0.044227713947848066
0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",8,0.6060292448351423,0.044227713947848066
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",10,0.6055126121400662,0.044791614340453305
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",11,0.6052232144629236,0.04899899892161673
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",12,0.6049418349789415,0.049070323276927924
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",13,0.604542360042139,0.04834841264895512
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",13,0.604542360042139,0.04834841264895512
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",15,0.6023991529729108,0.045992320365469685
