num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5899220272178236,0.05181915008100419
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",19,0.5713881296394514,0.053690748311541414
010,1000_2_0.1_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",12,0.5752873839074792,0.05011929336935295
010,10_linear,"{'C': 10, 'kernel': 'linear'}",18,0.5715431964088408,0.05352472983923553
025,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6225460907941205,0.05247279079292416
025,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",34,0.586142727789255,0.0505034221998148
025,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",35,0.5860389108744625,0.05046583893695255
025,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6207163594367404,0.04948681019901125
050,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",30,0.6182165959328006,0.049366008664574836
050,0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",2,0.6379862335747529,0.0453825014068233
050,1_linear,"{'C': 1, 'kernel': 'linear'}",35,0.617808552222719,0.05203641310725377
050,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6384652120362674,0.050007491890720825
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6573218529602997,0.05429743674491507
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",32,0.6378797955117745,0.04722536653853207
100,1_linear,"{'C': 1, 'kernel': 'linear'}",32,0.6378797955117745,0.04722536653853207
100,1000_3_0.01_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",3,0.6532635258542175,0.05505594161432233
200,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",3,0.6746600968541311,0.044732555587575454
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6771179150902004,0.04603086245021135
200,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",17,0.6641251610456981,0.04569227082735223
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6640106918860161,0.045569517987286916
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",10,0.6793821733276642,0.04696212829592055
300,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",10,0.6793821733276642,0.04696212829592055
300,0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",2,0.6841732428309558,0.04571308861931677
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6894607471934785,0.042481497922709166
400,1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",3,0.6894334362335076,0.046814724079502365
400,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",20,0.6823202262149753,0.04368141099691871
400,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6954799642959835,0.045606711298265344
400,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",22,0.6816435787801924,0.043777444935449286
500,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",16,0.6784865136089955,0.051442298837245284
500,10_4_0.01_poly,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6936493797754651,0.04676845820995495"
500,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",17,0.6774913928579115,0.04859224256793515
500,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",2,0.6932532571180801,0.052349646553838405
600,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",21,0.6718841704219541,0.0498541876019453
600,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",18,0.6731568987833381,0.05090503124019651
600,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6882066153189235,0.05120570954209381
600,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6890519874014503,0.05215960769735169
700,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",14,0.6754457711087598,0.045989848912531814
700,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6872455095854267,0.05063581995227937
700,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6891358078229206,0.053932886975873416
700,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",14,0.6754457711087598,0.045989848912531814
800,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",56,0.6678684669808187,0.045288700687490906
800,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",31,0.6734683916502345,0.05049596622503035
800,1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.687110543225288,0.05007684552281015
800,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6853584437905714,0.047969716290459936
900,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",44,0.6658332879946982,0.047872178448825874
900,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6850935544750919,0.047090248331434464
900,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",34,0.6712119543779775,0.0503714297062419
900,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6834412259078928,0.0497865663844795
