kernel,params,rank_test_score,mean_test_score,std_test_score
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6954799642959835,0.045606711298265344
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6921835876001567,0.046129972431205236
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",3,0.6894334362335076,0.04681472407950236
10_3_0.01_poly,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6891996422013351,0.04471474947623529
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6889318444317648,0.047261555918664135
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",6,0.6881554537706692,0.0460035900379913
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.687491749546492,0.04841909379362581
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.687491749546492,0.04841909379362581
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.687491749546492,0.04841909379362581
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",10,0.6869037794979523,0.045213667757247514
1000_2_0.001_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",11,0.68628872986338,0.045692404830906135
0.1_2_0.1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",11,0.68628872986338,0.045692404830906135
10_2_0.01_poly,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",11,0.68628872986338,0.045692404830906135
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",14,0.6860809834186672,0.04573834305413819
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",15,0.6835555722795692,0.04787755427990766
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",16,0.683051521830433,0.045524033206512625
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",17,0.6826746867672457,0.048723768479657856
100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",18,0.6825667636498903,0.045451687436085526
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",19,0.6823808006505757,0.04760984698064557
10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",20,0.6823202262149753,0.04368141099691871
100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",21,0.6817377369804828,0.043698362927515964
0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",22,0.6816435787801924,0.043777444935449286
1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",22,0.6816435787801924,0.043777444935449286
10_4_0.01_poly,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",24,0.6787314448642862,0.048036963982472196
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",25,0.6785537134044294,0.04754800392136775
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.673232606414938,0.047283594569226255
1000_scale_rbf,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.673232606414938,0.047283594569226255
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",28,0.6722730796995902,0.04755365118923023
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",29,0.6698367882844652,0.04862297347054203
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",29,0.6698367882844652,0.04862297347054203
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",31,0.6697952104848238,0.04739924498493606
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",32,0.6692716043387736,0.04788897312202859
0.1_4_0.1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",33,0.6645029238033783,0.04798710903594975
1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",33,0.6645029238033783,0.04798710903594975
10_4_scale_poly,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
10_4_1_poly,"{'C': 10, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
10_4_0.1_poly,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
0.1_4_1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
100_4_0.1_poly,"{'C': 100, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
100_4_1_poly,"{'C': 100, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1_4_0.1_poly,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
100_4_scale_poly,"{'C': 100, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1000_4_scale_poly,"{'C': 1000, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1000_4_1_poly,"{'C': 1000, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1_4_1_poly,"{'C': 1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1000_4_0.1_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.6642278085333467,0.04754538739954984
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",47,0.6611716098259512,0.04812512645597817
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",48,0.659841170025306,0.047329284958173456
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",49,0.6585891396675376,0.04915998000420039
100_3_scale_poly,"{'C': 100, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",50,0.6572683665877354,0.05007972095552829
1000_3_scale_poly,"{'C': 1000, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",50,0.6572683665877354,0.05007972095552829
1000_3_0.01_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",50,0.6572683665877354,0.05007972095552829
10_3_scale_poly,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",50,0.6572683665877354,0.05007972095552829
100_3_1_poly,"{'C': 100, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",54,0.6571579706851882,0.05012171331040109
1000_3_1_poly,"{'C': 1000, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",54,0.6571579706851882,0.05012171331040109
1_3_1_poly,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",54,0.6571579706851882,0.05012171331040109
0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",54,0.6571579706851882,0.05012171331040109
