num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.5954353950620436,0.04155837317343817
010,1000_linear,"{'C': 1000, 'kernel': 'linear'}",1,0.5999366666769951,0.03988638169277013
010,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",10,0.5866580264019813,0.04233216067423913
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",2,0.5993585491611788,0.041962474058189925
025,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.6337052294075752,0.04516907518964077
025,1_linear,"{'C': 1, 'kernel': 'linear'}",6,0.6268256684111939,0.04428420371887913
025,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6273406338949157,0.04674021765660751
025,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",3,0.6312001200034818,0.04399000297318454
050,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6420893726539433,0.042727297978179916
050,10_linear,"{'C': 10, 'kernel': 'linear'}",4,0.64066376307072,0.04613155805404085
050,1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",2,0.6412537275502944,0.042215720333033294
050,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",5,0.6405789237079926,0.04629278651894899
100,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.6470617627370651,0.042108204481075294
100,1_linear,"{'C': 1, 'kernel': 'linear'}",5,0.6449221001025381,0.0364255559255782
100,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6457431100195876,0.04015335899824615
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",6,0.644662082331549,0.036687108594757836
122,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",5,0.6565464734647374,0.04140442009549957
122,1_linear,"{'C': 1, 'kernel': 'linear'}",2,0.6612321737450239,0.04132557185333945
122,1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",8,0.652180413309521,0.039609202361557
122,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",1,0.6614289306985759,0.04113242530865846
