kernel,params,rank_test_score,mean_test_score,std_test_score
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6420893726539433,0.042727297978179916
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",2,0.6412537275502944,0.042215720333033294
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",3,0.6407483902281688,0.04304877662259929
10_linear,"{'C': 10, 'kernel': 'linear'}",4,0.64066376307072,0.04613155805404085
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",5,0.6405789237079926,0.04629278651894899
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",6,0.6399485262914097,0.043551636683175694
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.6398229283841863,0.04378136211434218
1_linear,"{'C': 1, 'kernel': 'linear'}",8,0.6397283569922607,0.04389235815170621
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",9,0.6394047018843434,0.04265348899412047
1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",10,0.6391368603639266,0.044244160070518436
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",11,0.6389869766086339,0.04709271084613234
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6382459354521408,0.045131792333999936
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",13,0.6323446846917159,0.04296325617901756
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",14,0.6323290033355614,0.042768268236501726
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",15,0.6323240921167622,0.04284119832142855
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",16,0.6322281387979961,0.04285386118093181
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",17,0.6313783061194648,0.04683675481564462
10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",18,0.6312937956451617,0.04659639406862433
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",19,0.6303605645371055,0.043960248412157295
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",20,0.6293476449129075,0.04733669262800042
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",21,0.6293320923150567,0.04734291975571659
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",22,0.6270460790158134,0.05029381692669094
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",23,0.6260619653873396,0.04857656453135491
100_linear,"{'C': 100, 'kernel': 'linear'}",24,0.6247188817940603,0.04406139690266176
1000_auto_sigmoid,"{'C': 1000, 'gamma': 'auto', 'kernel': 'sigmoid'}",25,0.6229691415181159,0.0441015261140652
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.6208883134372819,0.04834281287290191
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",27,0.6195522788986035,0.045063867864515376
0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",28,0.614105871421748,0.045192866404672176
100_3_0.1_poly,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",28,0.614105871421748,0.045192866404672176
1000_linear,"{'C': 1000, 'kernel': 'linear'}",30,0.6133197442124265,0.04471883500989457
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",31,0.6125240328735938,0.04601999024798493
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",32,0.6101432493567905,0.0453952108981525
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",33,0.6100008322146026,0.04551254239393923
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",34,0.6093004499423864,0.04539743208777374
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",35,0.6092122882248507,0.044769222414686324
10_3_scale_poly,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",36,0.6065174071902724,0.0484963669834845
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",37,0.605467418730796,0.04668518690722327
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",38,0.6050202336287227,0.04988202318413585
10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",39,0.6020442252824862,0.04745293341746782
10_3_0.1_poly,"{'C': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",40,0.6011539655708807,0.04789329902594332
100_4_0.1_poly,"{'C': 100, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",41,0.5961851305825442,0.0475865661909958
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",42,0.5948016879683528,0.04614579518691981
10_4_scale_poly,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",43,0.5945537235376457,0.047909841696777804
1000_4_0.1_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",44,0.5936899429295454,0.04819938838418136
0.1_4_1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",44,0.5936899429295454,0.04819938838418136
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",46,0.5931883147577721,0.04902922665884482
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",47,0.587886871906328,0.05049684968811782
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",48,0.5844975922800265,0.05123797604692486
