kernel,params,rank_test_score,mean_test_score,std_test_score
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",1,0.6819869868724099,0.04619770281255301
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",2,0.6805555233904503,0.04634573356160426
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",2,0.6805555233904503,0.04634573356160426
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6781627059466758,0.04734050834994548
1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",5,0.6766268044822594,0.04468114757594814
0.1_4_0.1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",5,0.6766268044822594,0.04468114757594814
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6764084441154045,0.0519870507960545
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",8,0.6749725844557433,0.046115984090633964
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",9,0.6747251251297509,0.05182740959723251
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",10,0.6735738676411934,0.04751814592879759
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",11,0.6732880974091137,0.04709527032907336
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",12,0.6721008193615644,0.050576689489460834
1000_3_0.01_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",13,0.6718145432737996,0.049099221201754646
100_2_0.01_poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",14,0.6717545205857449,0.04588375570191561
1_2_0.1_poly,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",14,0.6717545205857449,0.04588375570191561
1_3_0.1_poly,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",16,0.671708482667739,0.04898032804447913
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",17,0.6716983533054918,0.04621058056107291
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",18,0.6716469333552786,0.048186566331370036
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",19,0.6714837341600705,0.04882935763587617
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",19,0.6714837341600705,0.04882935763587617
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",21,0.6711744788865244,0.049108494151204544
1000_scale_rbf,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",21,0.6711744788865244,0.049108494151204544
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",23,0.6702626414818572,0.045539967704328686
