kernel,params,rank_test_score,mean_test_score,std_test_score
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6111110898255133,0.050633151883551206
100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",2,0.608512696603212,0.05148109319253895
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",3,0.6083377317287464,0.047525927908735194
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6064928827298837,0.04894176751690937
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",5,0.6061961850975888,0.04663906292523954
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",6,0.605994086604059,0.04777647361228636
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",7,0.6052849147306945,0.05041599448548242
0.1_2_0.1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",8,0.6047660937360275,0.04782917636235797
1000_2_0.001_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",8,0.6047660937360275,0.04782917636235797
10_2_0.01_poly,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",8,0.6047660937360275,0.04782917636235797
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",11,0.6035656555902512,0.052564041460068614
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",11,0.6035656555902512,0.052564041460068614
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",13,0.6017938901557346,0.04653983635465589
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",14,0.5999015284227063,0.051675366595345905
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",15,0.5998332890910237,0.05059953046716533
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",15,0.5998332890910237,0.05059953046716533
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",15,0.5998332890910237,0.05059953046716533
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",18,0.5986163715959767,0.05041894830050793
0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.5976426766862601,0.04806719275398415
100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",20,0.5975251391850017,0.04798816015518598
1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",21,0.5974162956475868,0.048070811091186466
10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",22,0.5974150449921857,0.049745628276811754
1_2_0.1_poly,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",23,0.5957404766093252,0.052120733916050134
100_2_0.01_poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",24,0.5956478771452971,0.052157128230451814
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",25,0.594520511248492,0.048645450415975046
1000_scale_rbf,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.5945110040152202,0.049357559488214936
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.5945110040152202,0.049357559488214936
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",28,0.5942350076351748,0.05154675581766795
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",29,0.593421639333904,0.05193154878363561
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",30,0.5930989478720735,0.051837715425734496
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",31,0.5917919584764393,0.052466691488999795
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",32,0.5894023335223043,0.05131800682960083
0.1_4_0.1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",33,0.5892205476736198,0.04965027468922521
1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",33,0.5892205476736198,0.04965027468922521
10_4_0.1_poly,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.5891610207338496,0.04974614869996282
1_4_0.1_poly,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.5891610207338496,0.04974614869996282
100_4_0.1_poly,"{'C': 100, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.5891610207338496,0.04974614869996282
1000_4_0.1_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",35,0.5891610207338496,0.04974614869996282
100_4_1_poly,"{'C': 100, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",39,0.5891590077971499,0.04993789295234426
10_4_1_poly,"{'C': 10, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",39,0.5891590077971499,0.04993789295234426
0.1_4_1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",39,0.5891590077971499,0.04993789295234426
1000_4_1_poly,"{'C': 1000, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",39,0.5891590077971499,0.04993789295234426
1_4_1_poly,"{'C': 1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",39,0.5891590077971499,0.04993789295234426
10_4_scale_poly,"{'C': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",44,0.5890506859022426,0.049758022496851156
1000_4_scale_poly,"{'C': 1000, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",44,0.5890506859022426,0.049758022496851156
100_4_scale_poly,"{'C': 100, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",44,0.5890506859022426,0.049758022496851156
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",47,0.5873076040729062,0.04924215773694071
10_3_0.01_poly,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",48,0.5846585740179758,0.050745755653822555
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",49,0.5842442783191114,0.05346559053186932
1000_3_0.01_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",50,0.5835297563452072,0.04874127628408084
1_3_0.1_poly,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",50,0.5835297563452072,0.04874127628408084
100_3_0.1_poly,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",52,0.58271640405321,0.04928756091685856
