numFeatures,meanScore,stdScore
0.479,1,0.038
0.479,2,0.046
0.526,3,0.043
0.527,4,0.044
0.533,5,0.046
0.525,6,0.044
0.534,7,0.046
0.529,8,0.047
0.530,9,0.049
0.530,10,0.049
0.523,11,0.051
0.530,12,0.049
0.532,13,0.048
0.532,14,0.050
0.542,15,0.051
0.555,16,0.046
0.552,17,0.051
0.550,18,0.051
0.549,19,0.052
0.550,20,0.052
0.558,21,0.050
0.578,22,0.046
0.579,23,0.044
0.584,24,0.046
0.583,25,0.048
0.593,26,0.048
0.590,27,0.046
0.586,28,0.048
0.586,29,0.047
0.585,30,0.044
0.584,31,0.044
0.585,32,0.044
0.583,33,0.047
0.578,34,0.046
0.584,35,0.044
0.579,36,0.044
0.580,37,0.043
0.578,38,0.046
0.583,39,0.045
0.587,40,0.050
0.584,41,0.051
0.584,42,0.051
0.581,43,0.052
0.585,44,0.051
0.581,45,0.049
0.586,46,0.050
0.586,47,0.050
0.585,48,0.048
0.588,49,0.049
0.585,50,0.051
0.587,51,0.052
0.590,52,0.053
0.589,53,0.056
0.591,54,0.053
0.587,55,0.051
0.587,56,0.052
0.581,57,0.050
0.581,58,0.050
0.578,59,0.050
0.574,60,0.051
0.575,61,0.047
0.573,62,0.049
0.571,63,0.047
0.571,64,0.047
0.578,65,0.048
0.574,66,0.047
0.573,67,0.045
0.573,68,0.047
0.573,69,0.046
0.569,70,0.046
0.567,71,0.047
0.571,72,0.046
0.571,73,0.045
0.565,74,0.047
0.567,75,0.045
0.572,76,0.047
0.568,77,0.044
0.567,78,0.041
0.570,79,0.043
0.566,80,0.045
0.568,81,0.045
0.571,82,0.041
0.569,83,0.041
0.575,84,0.039
0.567,85,0.042
0.565,86,0.044
0.567,87,0.042
0.563,88,0.045
0.565,89,0.047
0.573,90,0.048
0.569,91,0.045
0.567,92,0.043
0.564,93,0.043
0.564,94,0.043
0.559,95,0.043
0.560,96,0.047
0.562,97,0.043
0.564,98,0.048
0.563,99,0.043
0.566,100,0.044
0.564,110,0.041
0.586,120,0.042
0.580,130,0.042
0.599,140,0.039
0.593,150,0.047
0.593,160,0.042
0.590,170,0.044
0.588,180,0.045
0.590,190,0.044
0.597,200,0.041
0.598,210,0.042
0.593,220,0.045
0.600,230,0.040
0.601,240,0.042
0.604,250,0.031
0.607,260,0.038
0.607,270,0.041
0.608,280,0.036
0.606,290,0.037
0.615,300,0.037
0.614,310,0.040
0.616,320,0.043
0.624,330,0.039
0.625,340,0.043
0.634,350,0.041
0.631,360,0.039
0.634,370,0.041
0.638,380,0.038
0.636,390,0.038
0.643,400,0.039
0.642,410,0.041
0.639,420,0.040
0.646,430,0.038
0.643,440,0.041
0.642,450,0.041
0.643,460,0.041
0.641,470,0.040
0.654,480,0.044
0.651,490,0.045
0.652,500,0.043
0.651,510,0.044
0.649,520,0.042
0.647,530,0.042
0.644,540,0.042
0.651,550,0.041
0.655,560,0.042
0.651,570,0.045
0.657,580,0.044
0.658,590,0.045
0.655,600,0.043
0.660,610,0.039
0.658,620,0.043
0.659,630,0.043
0.663,640,0.040
0.664,650,0.042
0.665,660,0.041
0.667,670,0.041
0.663,680,0.041
0.659,690,0.039
0.658,700,0.041
0.657,710,0.041
0.666,720,0.040
0.665,730,0.039
0.664,740,0.041
0.669,750,0.042
0.663,760,0.041
0.664,770,0.043
0.664,780,0.043
0.669,790,0.043
0.670,800,0.045
0.669,810,0.044
0.670,820,0.043
0.675,830,0.040
0.673,840,0.043
0.671,850,0.042
0.667,860,0.041
0.670,870,0.045
0.670,880,0.042
0.667,890,0.044
0.668,900,0.045
0.670,910,0.043
0.668,920,0.043
0.668,930,0.041
0.668,940,0.043
0.665,950,0.047
0.665,960,0.046
0.659,970,0.045
