numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,177.379,39.387,0.240,0.177,0.442,0.047,0.433,0.047,0.442,0.047,0.442,0.047,0.454,0.051,0.442,0.047,0.442,0.047
2,179.052,41.426,0.164,0.154,0.506,0.051,0.503,0.051,0.506,0.051,0.506,0.051,0.528,0.051,0.506,0.051,0.506,0.051
3,183.500,41.633,0.203,0.177,0.538,0.049,0.527,0.048,0.538,0.049,0.538,0.049,0.542,0.055,0.538,0.049,0.538,0.049
4,188.084,43.000,0.190,0.183,0.557,0.051,0.551,0.051,0.557,0.051,0.557,0.051,0.564,0.055,0.557,0.051,0.557,0.052
5,199.378,45.277,0.239,0.174,0.571,0.049,0.566,0.049,0.571,0.049,0.571,0.049,0.585,0.052,0.571,0.049,0.571,0.049
6,201.522,46.610,0.187,0.163,0.574,0.050,0.571,0.051,0.574,0.050,0.574,0.050,0.600,0.053,0.574,0.050,0.574,0.050
7,210.857,47.932,0.223,0.167,0.578,0.052,0.574,0.052,0.578,0.052,0.578,0.052,0.602,0.054,0.578,0.052,0.578,0.051
8,220.282,50.266,0.215,0.177,0.584,0.053,0.581,0.053,0.584,0.053,0.584,0.053,0.605,0.053,0.584,0.053,0.584,0.053
9,230.115,52.288,0.210,0.205,0.582,0.049,0.579,0.050,0.582,0.049,0.582,0.049,0.602,0.050,0.582,0.049,0.582,0.049
10,241.066,54.313,0.258,0.204,0.587,0.051,0.583,0.052,0.587,0.051,0.587,0.051,0.608,0.053,0.587,0.051,0.587,0.051
11,251.669,55.809,0.302,0.193,0.584,0.050,0.579,0.052,0.584,0.050,0.584,0.050,0.608,0.053,0.584,0.050,0.584,0.050
12,262.703,59.366,0.301,0.210,0.582,0.050,0.578,0.051,0.582,0.050,0.582,0.050,0.609,0.051,0.582,0.050,0.582,0.050
13,267.684,59.440,0.247,0.199,0.572,0.053,0.568,0.054,0.572,0.053,0.572,0.053,0.593,0.053,0.572,0.053,0.572,0.053
14,278.070,61.798,0.298,0.203,0.569,0.052,0.565,0.053,0.569,0.052,0.569,0.052,0.588,0.054,0.569,0.052,0.570,0.052
15,281.635,63.850,0.293,0.208,0.569,0.053,0.565,0.054,0.569,0.053,0.569,0.053,0.587,0.052,0.569,0.053,0.569,0.053
16,283.375,63.695,0.324,0.212,0.571,0.053,0.567,0.053,0.571,0.053,0.571,0.053,0.583,0.054,0.571,0.053,0.572,0.053
17,297.856,64.865,0.367,0.208,0.580,0.048,0.575,0.047,0.580,0.048,0.580,0.048,0.593,0.049,0.580,0.048,0.580,0.048
18,307.016,68.357,0.349,0.220,0.587,0.049,0.581,0.050,0.587,0.049,0.587,0.049,0.601,0.049,0.587,0.049,0.587,0.049
