feature,weight
lowlevel.barkbands_crest.kurt.accompaniment,0.0021717873405535026
lowlevel.barkbands_crest.min.accompaniment,0.017496169221908366
lowlevel.barkbands_flatness_db.kurt.accompaniment,0.0021717873405535026
lowlevel.barkbands_flatness_db.min.accompaniment,0.0021717873405535026
lowlevel.barkbands_flatness_db.skew.accompaniment,0.006310521667176638
lowlevel.barkbands_kurtosis.min.accompaniment,0.002661375724686525
lowlevel.barkbands_kurtosis.skew.accompaniment,0.0021717873405535026
lowlevel.barkbands_kurtosis.var.accompaniment,0.0021717873405535026
lowlevel.barkbands_spread.kurt.accompaniment,0.0021717873405535026
lowlevel.dissonance.kurt.accompaniment,0.0021717873405535026
lowlevel.dissonance.var.accompaniment,0.032961945611578
lowlevel.erbbands_crest.kurt.accompaniment,0.003150964108819547
lowlevel.erbbands_crest.min.accompaniment,0.002661375724686525
lowlevel.erbbands_flatness_db.kurt.accompaniment,0.0021717873405535026
lowlevel.erbbands_flatness_db.min.accompaniment,0.0021717873405535026
lowlevel.erbbands_flatness_db.skew.accompaniment,0.002661375724686525
lowlevel.erbbands_kurtosis.median.accompaniment,0.007756334492540815
lowlevel.erbbands_kurtosis.min.accompaniment,0.0021717873405535026
lowlevel.erbbands_kurtosis.skew.accompaniment,0.002661375724686525
lowlevel.erbbands_skewness.kurt.accompaniment,0.0021717873405535026
lowlevel.erbbands_skewness.skew.accompaniment,0.0021717873405535026
lowlevel.erbbands_spread.kurt.accompaniment,0.0021717873405535026
lowlevel.hfc.skew.accompaniment,0.009332842288068185
lowlevel.loudness_ebu128.integrated.accompaniment,0.02158853424579164
lowlevel.loudness_ebu128.loudness_range.accompaniment,0.002661375724686525
lowlevel.loudness_ebu128.momentary.dmean.accompaniment,0.023930987558122303
lowlevel.loudness_ebu128.momentary.dvar2.accompaniment,0.0021717873405535026
lowlevel.loudness_ebu128.momentary.kurt.accompaniment,0.0038989714016950346
lowlevel.loudness_ebu128.short_term.dvar2.accompaniment,0.0021717873405535026
lowlevel.loudness_ebu128.short_term.kurt.accompaniment,0.002661375724686525
lowlevel.loudness_ebu128.short_term.var.accompaniment,0.0021717873405535026
lowlevel.melbands_crest.kurt.accompaniment,0.0021717873405535026
lowlevel.melbands_flatness_db.min.accompaniment,0.0021717873405535026
lowlevel.melbands_kurtosis.dvar2.accompaniment,0.0021717873405535026
lowlevel.melbands_kurtosis.min.accompaniment,0.0021717873405535026
lowlevel.melbands_skewness.kurt.accompaniment,0.0021717873405535026
lowlevel.melbands_skewness.min.accompaniment,0.0021717873405535026
