feature,index,rank
tonal.thpcp[3].accompaniment,376,1
lowlevel.loudness_ebu128.integrated.accompaniment,23,2
lowlevel.dissonance.var.accompaniment,10,3
tonal.thpcp[33].accompaniment,390,4
lowlevel.erbbands.median[26].accompaniment,97,5
lowlevel.spectral_contrast_coeffs.dmean2[2].accompaniment,258,6
tonal.hpcp.dmean2[13].accompaniment,328,7
tonal.thpcp[18].accompaniment,383,8
lowlevel.spectral_contrast_coeffs.dvar2[1].accompaniment,260,9
tonal.hpcp.dvar2[9].accompaniment,333,10
tonal.hpcp.dmean2[19].accompaniment,329,11
lowlevel.gfcc.var[13].accompaniment,151,12
tonal.hpcp.dmean2[35].accompaniment,331,13
rhythm.beats_loudness_band_ratio.max[3].accompaniment,298,14
tonal.hpcp.dmean2[28].accompaniment,330,15
lowlevel.pitch_salience.dvar2.accompaniment,37,16
lowlevel.loudness_ebu128.momentary.dmean.accompaniment,25,17
lowlevel.melbands128.skew[54].accompaniment,192,18
lowlevel.spectral_energyband_middle_high.skew.accompaniment,46,19
rhythm.onset_rate.accompaniment,63,20
tonal.tuning_equal_tempered_deviation.accompaniment,74,21
lowlevel.spectral_contrast_valleys.dmean[5].accompaniment,285,22
lowlevel.melbands128.skew[60].accompaniment,196,23
lowlevel.melbands128.skew[65].accompaniment,198,24
lowlevel.melbands128.skew[69].accompaniment,201,25
lowlevel.melbands128.skew[57].accompaniment,195,26
tonal.thpcp[2].accompaniment,375,27
lowlevel.hfc.skew.accompaniment,22,28
lowlevel.melbands128.skew[63].accompaniment,197,29
lowlevel.spectral_rolloff.kurt.accompaniment,55,30
tonal.hpcp.dvar2[5].accompaniment,332,31
lowlevel.melbands128.skew[53].accompaniment,191,32
lowlevel.melbands128.skew[82].accompaniment,206,33
lowlevel.melbands128.skew[55].accompaniment,193,34
lowlevel.melbands128.skew[75].accompaniment,204,35
lowlevel.melbands128.skew[72].accompaniment,203,36
lowlevel.melbands128.skew[56].accompaniment,194,37
lowlevel.gfcc.max[11].accompaniment,121,38
lowlevel.melbands128.skew[68].accompaniment,200,39
lowlevel.melbands128.skew[67].accompaniment,199,40
rhythm.beats_loudness_band_ratio.max[6].accompaniment,301,41
lowlevel.melbands128.skew[85].accompaniment,207,42
rhythm.beats_loudness_band_ratio.skew[6].accompaniment,308,43
lowlevel.melbands128.skew[80].accompaniment,205,44
tonal.hpcp.median[14].accompaniment,361,45
lowlevel.spectral_contrast_coeffs.mean[1].accompaniment,270,46
lowlevel.mfcc.min[8].accompaniment,240,47
lowlevel.melbands128.skew[71].accompaniment,202,48
lowlevel.spectral_strongpeak.mean.accompaniment,58,49
lowlevel.mfcc.min[6].accompaniment,238,50
lowlevel.spectral_contrast_coeffs.kurt[5].accompaniment,266,51
lowlevel.spectral_entropy.skew.accompaniment,51,52
tonal.hpcp.median[18].accompaniment,364,53
tonal.thpcp[12].accompaniment,380,54
tonal.hpcp.median[29].accompaniment,370,55
tonal.thpcp[9].accompaniment,379,56
tonal.hpcp_entropy.skew.accompaniment,71,57
lowlevel.spectral_flux.kurt.accompaniment,52,58
lowlevel.barkbands_crest.min.accompaniment,1,59
rhythm.beats_loudness_band_ratio.mean[2].accompaniment,302,60
lowlevel.erbbands_crest.kurt.accompaniment,11,61
lowlevel.spectral_contrast_coeffs.mean[6].accompaniment,271,62
lowlevel.mfcc.min[11].accompaniment,243,63
lowlevel.mfcc.max[12].accompaniment,228,64
tonal.hpcp.median[27].accompaniment,369,65
lowlevel.gfcc.kurt[3].accompaniment,106,66
tonal.thpcp[26].accompaniment,386,67
lowlevel.barkbands_flatness_db.skew.accompaniment,4,68
lowlevel.gfcc.kurt[4].accompaniment,107,69
lowlevel.melbands128.dmean2[7].accompaniment,159,70
lowlevel.silence_rate_60dB.dvar.accompaniment,41,71
lowlevel.mfcc.mean[8].accompaniment,230,72
lowlevel.erbbands.mean[8].accompaniment,94,73
lowlevel.barkbands.skew[12].accompaniment,84,74
lowlevel.spectral_energyband_middle_low.mean.accompaniment,49,75
tonal.key_temperley.strength.accompaniment,72,76
lowlevel.spectral_contrast_coeffs.max[1].accompaniment,268,77
lowlevel.loudness_ebu128.momentary.kurt.accompaniment,27,78
lowlevel.erbbands.mean[9].accompaniment,95,79
lowlevel.mfcc.min[9].accompaniment,241,80
tonal.thpcp[14].accompaniment,381,81
lowlevel.gfcc.min[8].accompaniment,135,82
tonal.hpcp.median[12].accompaniment,360,83
lowlevel.spectral_contrast_coeffs.skew[5].accompaniment,282,84
lowlevel.melbands128.skew[48].accompaniment,190,85
lowlevel.gfcc.median[8].accompaniment,131,86
lowlevel.barkbands.max[6].accompaniment,76,87
lowlevel.gfcc.max[13].accompaniment,123,88
lowlevel.spectral_contrast_coeffs.dmean2[3].accompaniment,259,89
lowlevel.spectral_energyband_middle_low.max.accompaniment,48,90
lowlevel.melbands.skew[17].accompaniment,158,91
lowlevel.spectral_entropy.kurt.accompaniment,50,92
lowlevel.melbands128.skew[47].accompaniment,189,93
lowlevel.erbbands.max[27].accompaniment,92,94
rhythm.beats_loudness.skew.accompaniment,60,95
tonal.thpcp[8].accompaniment,378,96
lowlevel.erbbands_kurtosis.median.accompaniment,16,97
lowlevel.mfcc.min[10].accompaniment,242,98
lowlevel.barkbands.skew[9].accompaniment,82,99
