feature,index,weight,rank
tonal.thpcp[3].accompaniment,304,0.12929341253774304,1
lowlevel.dissonance.var.accompaniment,9,0.1179810617997199,2
lowlevel.spectral_contrast_coeffs.var[5].original,576,0.11342012569590199,3
lowlevel.spectral_energyband_middle_high.dmean2.vocal,694,0.10741989121889167,4
lowlevel.gfcc.dvar[8].vocal,779,0.10631575816630545,5
lowlevel.erbbands.median[26].accompaniment,72,0.10442415382719415,6
tonal.hpcp.dmean2[13].accompaniment,271,0.10282169978393432,7
tonal.thpcp[33].accompaniment,318,0.1020178683488324,8
rhythm.beats_loudness_band_ratio.var[2].original,599,0.09862523483259047,9
tonal.thpcp[18].accompaniment,311,0.09590862488017372,10
tonal.hpcp.dmean2[19].accompaniment,272,0.0944113618537176,11
tonal.hpcp.dmean2[28].accompaniment,273,0.0939139800674154,12
lowlevel.loudness_ebu128.short_term.median.original,344,0.0932738747229593,13
tonal.hpcp.dmean2[35].accompaniment,274,0.09141519306522387,14
lowlevel.erbbands_crest.kurt.original,327,0.09093637110043179,15
rhythm.beats_loudness_band_ratio.max[3].accompaniment,246,0.09074328389125234,16
tonal.hpcp.dvar2[9].accompaniment,276,0.08904524784993233,17
lowlevel.spectral_contrast_coeffs.max[3].original,565,0.08655353060134968,18
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,891,0.08499774830069795,19
lowlevel.melbands128.skew[54].accompaniment,154,0.07996617637245651,20
lowlevel.melbands128.skew[60].accompaniment,158,0.07849788459139775,21
lowlevel.mfcc.min[4].vocal,878,0.07831842160168537,22
lowlevel.gfcc.var[13].original,455,0.07815062084748975,23
lowlevel.melbands128.skew[66].original,508,0.07767432413765943,24
rhythm.onset_rate.accompaniment,44,0.0767111670752523,25
lowlevel.spectral_energyband_middle_high.skew.original,361,0.07670046563952172,26
lowlevel.melbands128.skew[69].accompaniment,163,0.07617903040306082,27
lowlevel.spectral_energyband_middle_high.skew.accompaniment,31,0.07604076193349689,28
lowlevel.mfcc.min[12].original,544,0.07563333327188845,29
lowlevel.melbands128.skew[65].accompaniment,160,0.07503793372724658,30
lowlevel.barkbands.skew[18].original,402,0.07463960372528329,31
tonal.tuning_equal_tempered_deviation.accompaniment,51,0.07424900367378853,32
tonal.hpcp.median[14].original,629,0.07391661110340009,33
tonal.hpcp.median[18].original,631,0.07360616621008993,34
lowlevel.spectral_contrast_coeffs.kurt[5].original,563,0.0730088739501015,35
lowlevel.melbands128.skew[63].accompaniment,159,0.0728028875216475,36
lowlevel.erbbands_flatness_db.mean.vocal,667,0.07263661546438469,37
lowlevel.spectral_complexity.dvar.vocal,691,0.07254834955878157,38
lowlevel.melbands128.skew[57].accompaniment,157,0.07229348659158391,39
tonal.thpcp[2].accompaniment,303,0.07217836083900077,40
lowlevel.spectral_contrast_valleys.dmean[5].accompaniment,237,0.07208984382621354,41
lowlevel.melbands128.skew[53].accompaniment,153,0.07187974417528695,42
lowlevel.melbands.skew[31].original,462,0.07123931651005022,43
lowlevel.melbands128.skew[74].original,510,0.0709644090518181,44
lowlevel.melbands128.skew[75].accompaniment,166,0.07084616701780709,45
lowlevel.melbands128.skew[67].original,509,0.07076131674635429,46
lowlevel.melbands128.skew[55].accompaniment,155,0.07025292750804353,47
lowlevel.melbands128.skew[82].accompaniment,168,0.07011313826438657,48
lowlevel.melbands128.skew[72].accompaniment,165,0.06976259380523456,49
lowlevel.spectral_rolloff.kurt.accompaniment,40,0.06933808503085323,50
lowlevel.gfcc.max[9].vocal,796,0.06907699694460466,51
lowlevel.barkbands_kurtosis.median.original,323,0.06905618963697616,52
tonal.hpcp.dvar2[5].accompaniment,275,0.06895301006405996,53
lowlevel.gfcc.max[11].accompaniment,96,0.06813945268123907,54
lowlevel.melbands128.skew[65].original,507,0.06783172667066073,55
lowlevel.zerocrossingrate.min.vocal,712,0.0678044111344628,56
tonal.hpcp.median[29].original,637,0.06746475402027392,57
lowlevel.melbands128.skew[56].accompaniment,156,0.06727107770178758,58
lowlevel.mfcc.min[8].accompaniment,200,0.06723760599310845,59
tonal.thpcp[2].original,643,0.06629027406909431,60
lowlevel.gfcc.skew[4].original,443,0.06626933040509277,61
lowlevel.spectral_contrast_coeffs.var[1].vocal,900,0.0660973053340702,62
lowlevel.melbands128.skew[67].accompaniment,161,0.06591307538120263,63
lowlevel.hfc.skew.accompaniment,19,0.06565653498424345,64
lowlevel.melbands128.skew[68].accompaniment,162,0.06546759869030833,65
tonal.hpcp.median[27].original,636,0.06510411777396347,66
lowlevel.erbbands.dmean[19].vocal,733,0.06501706969738014,67
lowlevel.hfc.skew.original,338,0.06499307394207067,68
lowlevel.spectral_centroid.min.vocal,690,0.06495483887069751,69
lowlevel.mfcc.min[6].accompaniment,198,0.06335156822120545,70
lowlevel.spectral_energy.dmean2.vocal,692,0.06313024478317832,71
lowlevel.melbands128.skew[80].accompaniment,167,0.06292703624808073,72
lowlevel.spectral_contrast_coeffs.mean[1].accompaniment,224,0.0626416896117549,73
lowlevel.gfcc.min[3].vocal,803,0.06233059251109645,74
rhythm.beats_loudness_band_ratio.skew[6].accompaniment,252,0.06231351579175165,75
lowlevel.melbands128.skew[85].accompaniment,169,0.06221017705260783,76
lowlevel.mfcc.min[6].original,538,0.06162752459353379,77
rhythm.beats_loudness_band_ratio.dmean[5].vocal,909,0.06112558996811635,78
rhythm.beats_loudness_band_ratio.kurt[2].vocal,913,0.06102158655172066,79
lowlevel.spectral_contrast_coeffs.kurt[5].accompaniment,222,0.060981407140687546,80
lowlevel.spectral_strongpeak.dmean2.vocal,709,0.060883010115928976,81
lowlevel.melbands128.skew[71].accompaniment,164,0.06083172988670816,82
lowlevel.melbands128.skew[53].original,499,0.06077055130201803,83
lowlevel.melbands128.skew[64].original,506,0.060075172392963096,84
lowlevel.mfcc.var[8].vocal,886,0.05991042171019925,85
tonal.hpcp.median[24].original,634,0.05915785780323911,86
lowlevel.loudness_ebu128.loudness_range.original,340,0.05907555561013666,87
lowlevel.spectral_flux.kurt.original,365,0.05896357608236059,88
