feature,index,weight
lowlevel.barkbands_crest.min.original,0,0.027801692974787285
lowlevel.barkbands_flatness_db.min.original,1,0.026795978542166483
lowlevel.barkbands_flatness_db.skew.original,2,0.08119210564406676
lowlevel.barkbands_kurtosis.median.original,3,0.07090985076347311
lowlevel.barkbands_kurtosis.min.original,4,0.026795978542166483
lowlevel.barkbands_kurtosis.skew.original,5,0.026795978542166483
lowlevel.dissonance.kurt.original,6,0.026795978542166483
lowlevel.erbbands_crest.dvar.original,7,0.0575043922279261
lowlevel.erbbands_crest.kurt.original,8,0.08937444464987347
lowlevel.erbbands_crest.min.original,9,0.05631635125371717
lowlevel.erbbands_flatness_db.kurt.original,10,0.026795978542166483
lowlevel.erbbands_flatness_db.min.original,11,0.026795978542166483
lowlevel.erbbands_flatness_db.skew.original,12,0.04926256619493232
lowlevel.erbbands_kurtosis.max.original,13,0.027801692974787285
lowlevel.erbbands_kurtosis.min.original,14,0.027801692974787285
lowlevel.erbbands_kurtosis.skew.original,15,0.027801692974787285
lowlevel.erbbands_skewness.kurt.original,16,0.026795978542166483
lowlevel.erbbands_skewness.min.original,17,0.026795978542166483
lowlevel.erbbands_skewness.skew.original,18,0.026795978542166483
lowlevel.erbbands_spread.skew.original,19,0.049087321041486436
lowlevel.hfc.skew.original,20,0.06697930827648613
lowlevel.hfc.var.original,21,0.027801692974787285
lowlevel.loudness_ebu128.loudness_range.original,22,0.059787738715896536
lowlevel.loudness_ebu128.momentary.kurt.original,23,0.0577271116866406
lowlevel.loudness_ebu128.short_term.dvar.original,24,0.026795978542166483
lowlevel.loudness_ebu128.short_term.kurt.original,25,0.027801692974787285
lowlevel.loudness_ebu128.short_term.median.original,26,0.09163352001612228
lowlevel.melbands_crest.min.original,27,0.026795978542166483
lowlevel.melbands_flatness_db.kurt.original,28,0.026795978542166483
lowlevel.melbands_flatness_db.min.original,29,0.026795978542166483
lowlevel.melbands_kurtosis.dvar2.original,30,0.026795978542166483
lowlevel.melbands_kurtosis.min.original,31,0.026795978542166483
lowlevel.melbands_skewness.kurt.original,32,0.026795978542166483
lowlevel.melbands_skewness.min.original,33,0.027801692974787285
lowlevel.melbands_spread.max.original,34,0.027801692974787285
lowlevel.pitch_salience.kurt.original,35,0.026795978542166483
lowlevel.pitch_salience.max.original,36,0.026795978542166483
lowlevel.pitch_salience.skew.original,37,0.04623763860335612
lowlevel.silence_rate_30dB.min.original,38,0.027801692974787285
lowlevel.silence_rate_30dB.skew.original,39,0.026795978542166483
lowlevel.silence_rate_60dB.var.original,40,0.057937242151031514
lowlevel.spectral_centroid.max.original,41,0.026795978542166483
lowlevel.spectral_complexity.kurt.original,42,0.027801692974787285
lowlevel.spectral_energyband_low.median.original,43,0.04081164401856365
lowlevel.spectral_energyband_middle_high.max.original,44,0.027801692974787285
lowlevel.spectral_energyband_middle_high.skew.original,45,0.07723027580237275
lowlevel.spectral_energyband_middle_low.kurt.original,46,0.026795978542166483
lowlevel.spectral_energyband_middle_low.max.original,47,0.027801692974787285
lowlevel.spectral_energyband_middle_low.mean.original,48,0.027801692974787285
lowlevel.spectral_entropy.dmean.original,49,0.10902603567716597
lowlevel.spectral_entropy.kurt.original,50,0.027801692974787285
lowlevel.spectral_entropy.max.original,51,0.026795978542166483
lowlevel.spectral_flux.kurt.original,52,0.059038166571441425
lowlevel.spectral_kurtosis.min.original,53,0.026795978542166483
lowlevel.spectral_rolloff.max.original,54,0.026795978542166483
lowlevel.spectral_rolloff.min.original,55,0.026795978542166483
lowlevel.spectral_skewness.kurt.original,56,0.027801692974787285
lowlevel.spectral_skewness.min.original,57,0.026795978542166483
lowlevel.spectral_spread.dvar.original,58,0.026795978542166483
lowlevel.spectral_spread.kurt.original,59,0.027801692974787285
lowlevel.spectral_spread.max.original,60,0.026795978542166483
lowlevel.spectral_strongpeak.kurt.original,61,0.027801692974787285
lowlevel.spectral_strongpeak.var.original,62,0.027801692974787285
lowlevel.zerocrossingrate.max.original,63,0.026795978542166483
rhythm.beats_loudness.max.original,64,0.027801692974787285
rhythm.beats_loudness.min.original,65,0.026795978542166483
rhythm.beats_loudness.skew.original,66,0.03936302983373154
rhythm.bpm.original,67,0.026795978542166483
rhythm.danceability.original,68,0.0572191306206608
rhythm.onset_rate.original,69,0.09547924311498908
tonal.chords_number_rate.original,70,0.026795978542166483
tonal.chords_strength.kurt.original,71,0.026795978542166483
tonal.chords_strength.median.original,72,0.026795978542166483
tonal.chords_strength.min.original,73,0.026795978542166483
tonal.chords_strength.skew.original,74,0.026795978542166483
tonal.chords_strength.var.original,75,0.026795978542166483
tonal.hpcp_crest.max.original,76,0.026795978542166483
tonal.hpcp_entropy.dvar2.original,77,0.10981396404994836
tonal.hpcp_entropy.kurt.original,78,0.026795978542166483
tonal.hpcp_entropy.skew.original,79,0.027801692974787285
tonal.key_temperley.strength.original,80,0.04788720699733028
tonal.tuning_frequency.original,81,0.027801692974787285
tonal.tuning_nontempered_energy_ratio.original,82,0.08882420707991182
lowlevel.barkbands.dmean2[10].original,83,0.027801692974787285
lowlevel.barkbands.kurt[8].original,84,0.026795978542166483
lowlevel.barkbands.max[6].original,85,0.027801692974787285
lowlevel.barkbands.max[10].original,86,0.026795978542166483
lowlevel.barkbands.max[11].original,87,0.026795978542166483
lowlevel.barkbands.max[20].original,88,0.027801692974787285
lowlevel.barkbands.mean[6].original,89,0.04704065320741385
lowlevel.barkbands.mean[7].original,90,0.04416525002642989
lowlevel.barkbands.skew[9].original,91,0.026795978542166483
lowlevel.barkbands.skew[10].original,92,0.026795978542166483
lowlevel.barkbands.skew[11].original,93,0.026795978542166483
lowlevel.barkbands.skew[12].original,94,0.026795978542166483
lowlevel.barkbands.skew[13].original,95,0.027801692974787285
lowlevel.barkbands.skew[15].original,96,0.027801692974787285
lowlevel.barkbands.skew[18].original,97,0.0728509333566666
lowlevel.erbbands.dmean2[12].original,98,0.027801692974787285
lowlevel.erbbands.dvar[27].original,99,0.027801692974787285
lowlevel.erbbands.dvar2[5].original,100,0.026795978542166483
lowlevel.erbbands.dvar2[19].original,101,0.026795978542166483
lowlevel.erbbands.dvar2[22].original,102,0.026795978542166483
lowlevel.erbbands.dvar2[23].original,103,0.027801692974787285
lowlevel.erbbands.dvar2[24].original,104,0.027801692974787285
lowlevel.erbbands.median[9].original,105,0.027801692974787285
lowlevel.erbbands.median[22].original,106,0.12777514362743556
lowlevel.erbbands.skew[6].original,107,0.026795978542166483
lowlevel.erbbands.var[6].original,108,0.026795978542166483
lowlevel.erbbands.var[8].original,109,0.027801692974787285
lowlevel.erbbands.var[9].original,110,0.027801692974787285
lowlevel.erbbands.var[13].original,111,0.026795978542166483
lowlevel.erbbands.var[14].original,112,0.026795978542166483
lowlevel.erbbands.var[16].original,113,0.026795978542166483
lowlevel.erbbands.var[17].original,114,0.026795978542166483
lowlevel.erbbands.var[25].original,115,0.027801692974787285
lowlevel.erbbands.var[27].original,116,0.026795978542166483
lowlevel.gfcc.kurt[2].original,117,0.026795978542166483
lowlevel.gfcc.kurt[3].original,118,0.040145897079947326
lowlevel.gfcc.kurt[4].original,119,0.027801692974787285
lowlevel.gfcc.kurt[5].original,120,0.026795978542166483
lowlevel.gfcc.kurt[6].original,121,0.026795978542166483
lowlevel.gfcc.kurt[7].original,122,0.026795978542166483
lowlevel.gfcc.kurt[8].original,123,0.026795978542166483
lowlevel.gfcc.kurt[9].original,124,0.026795978542166483
lowlevel.gfcc.kurt[10].original,125,0.026795978542166483
lowlevel.gfcc.kurt[11].original,126,0.026795978542166483
lowlevel.gfcc.kurt[12].original,127,0.026795978542166483
lowlevel.gfcc.kurt[13].original,128,0.026795978542166483
lowlevel.gfcc.max[5].original,129,0.026795978542166483
lowlevel.gfcc.max[10].original,130,0.027801692974787285
lowlevel.gfcc.max[11].original,131,0.044790058848918526
lowlevel.gfcc.max[12].original,132,0.027801692974787285
lowlevel.gfcc.max[13].original,133,0.026795978542166483
lowlevel.gfcc.min[2].original,134,0.026795978542166483
lowlevel.gfcc.min[5].original,135,0.048108675992553085
lowlevel.gfcc.min[7].original,136,0.026795978542166483
lowlevel.gfcc.min[8].original,137,0.027801692974787285
lowlevel.gfcc.min[9].original,138,0.026795978542166483
lowlevel.gfcc.min[10].original,139,0.027801692974787285
lowlevel.gfcc.min[11].original,140,0.026795978542166483
lowlevel.gfcc.min[12].original,141,0.026795978542166483
lowlevel.gfcc.min[13].original,142,0.027801692974787285
lowlevel.gfcc.skew[4].original,143,0.06639202015187655
lowlevel.gfcc.skew[5].original,144,0.026795978542166483
lowlevel.gfcc.skew[6].original,145,0.026795978542166483
lowlevel.gfcc.skew[7].original,146,0.026795978542166483
lowlevel.gfcc.skew[8].original,147,0.027801692974787285
lowlevel.gfcc.skew[9].original,148,0.026795978542166483
lowlevel.gfcc.skew[10].original,149,0.026795978542166483
lowlevel.gfcc.skew[11].original,150,0.026795978542166483
lowlevel.gfcc.skew[12].original,151,0.026795978542166483
lowlevel.gfcc.skew[13].original,152,0.026795978542166483
lowlevel.gfcc.var[3].original,153,0.05591514048633977
lowlevel.gfcc.var[5].original,154,0.03902610041788292
lowlevel.gfcc.var[8].original,155,0.04391765838229018
lowlevel.gfcc.var[13].original,156,0.08062228267266719
lowlevel.melbands.kurt[1].original,157,0.026795978542166483
lowlevel.melbands.kurt[2].original,158,0.027801692974787285
lowlevel.melbands.kurt[12].original,159,0.026795978542166483
lowlevel.melbands.max[14].original,160,0.026795978542166483
lowlevel.melbands.max[15].original,161,0.026795978542166483
lowlevel.melbands.skew[9].original,162,0.026795978542166483
lowlevel.melbands.skew[17].original,163,0.027801692974787285
lowlevel.melbands.skew[31].original,164,0.07243346850217668
lowlevel.melbands128.kurt[1].original,165,0.026795978542166483
lowlevel.melbands128.kurt[2].original,166,0.026795978542166483
