feature,index,rank
tonal.thpcp[3].original,392,1
lowlevel.erbbands.median[22].original,106,2
tonal.hpcp_entropy.dvar2.original,77,3
lowlevel.spectral_contrast_coeffs.var[5].original,286,4
tonal.hpcp.dmean2[13].original,338,5
rhythm.beats_loudness_band_ratio.var[2].original,311,6
lowlevel.spectral_entropy.dmean.original,49,7
rhythm.onset_rate.original,69,8
lowlevel.erbbands_crest.kurt.original,8,9
tonal.thpcp[19].original,399,10
tonal.thpcp[33].original,406,11
lowlevel.loudness_ebu128.short_term.median.original,26,12
tonal.hpcp.dmean2[19].original,339,13
lowlevel.spectral_contrast_coeffs.max[3].original,272,14
tonal.tuning_nontempered_energy_ratio.original,82,15
tonal.hpcp.dmean2[35].original,343,16
rhythm.beats_loudness_band_ratio.var[3].original,312,17
lowlevel.barkbands_flatness_db.skew.original,2,18
tonal.hpcp.dmean2[28].original,342,19
lowlevel.gfcc.var[13].original,156,20
lowlevel.spectral_energyband_middle_high.skew.original,45,21
lowlevel.melbands128.skew[66].original,212,22
lowlevel.melbands128.skew[74].original,214,23
lowlevel.melbands.skew[31].original,164,24
lowlevel.mfcc.min[12].original,249,25
tonal.hpcp.dmean2[1].original,335,26
tonal.hpcp.dmean2[9].original,337,27
tonal.hpcp.median[14].original,373,28
lowlevel.spectral_contrast_coeffs.kurt[5].original,269,29
lowlevel.spectral_contrast_coeffs.median[1].original,274,30
lowlevel.melbands128.skew[67].original,213,31
tonal.hpcp.median[18].original,375,32
lowlevel.barkbands.skew[18].original,97,33
tonal.hpcp.median[27].original,381,34
tonal.hpcp.dmean2[25].original,341,35
tonal.hpcp.dmean2[23].original,340,36
lowlevel.hfc.skew.original,20,37
lowlevel.barkbands_kurtosis.median.original,3,38
lowlevel.melbands128.skew[65].original,211,39
tonal.hpcp.median[29].original,382,40
lowlevel.mfcc.min[6].original,243,41
tonal.thpcp[2].original,391,42
lowlevel.melbands128.skew[64].original,210,43
lowlevel.loudness_ebu128.loudness_range.original,22,44
lowlevel.gfcc.skew[4].original,143,45
lowlevel.melbands128.skew[53].original,203,46
tonal.hpcp.dmean2[5].original,336,47
lowlevel.spectral_flux.kurt.original,52,48
tonal.hpcp.median[12].original,372,49
lowlevel.loudness_ebu128.momentary.kurt.original,23,50
lowlevel.spectral_contrast_coeffs.var[2].original,285,51
rhythm.danceability.original,68,52
lowlevel.erbbands_crest.min.original,9,53
tonal.hpcp.median[33].original,385,54
lowlevel.mfcc.var[6].original,262,55
lowlevel.silence_rate_60dB.var.original,40,56
lowlevel.melbands128.skew[62].original,209,57
tonal.hpcp.median[24].original,379,58
lowlevel.mfcc.min[4].original,241,59
lowlevel.mfcc.var[9].original,264,60
lowlevel.erbbands_crest.dvar.original,7,61
lowlevel.erbbands_flatness_db.skew.original,12,62
lowlevel.melbands128.skew[55].original,205,63
lowlevel.mfcc.min[8].original,245,64
lowlevel.mfcc.var[7].original,263,65
tonal.thpcp[12].original,395,66
lowlevel.erbbands_spread.skew.original,19,67
lowlevel.mfcc.kurt[1].original,217,68
tonal.hpcp.median[20].original,376,69
lowlevel.melbands128.skew[56].original,206,70
lowlevel.gfcc.var[3].original,153,71
tonal.hpcp.median[35].original,386,72
tonal.thpcp[26].original,402,73
tonal.key_temperley.strength.original,80,74
lowlevel.melbands128.skew[57].original,207,75
tonal.key_temperley.scale.original,411,76
lowlevel.mfcc.min[10].original,247,77
lowlevel.spectral_energyband_low.median.original,43,78
lowlevel.gfcc.min[5].original,135,79
lowlevel.melbands128.skew[58].original,208,80
lowlevel.mfcc.min[9].original,246,81
tonal.thpcp[9].original,394,82
lowlevel.mfcc.max[13].original,235,83
lowlevel.melbands128.median[7].original,192,84
lowlevel.barkbands.mean[6].original,89,85
lowlevel.melbands128.skew[54].original,204,86
lowlevel.barkbands.mean[7].original,90,87
lowlevel.gfcc.var[8].original,155,88
tonal.hpcp.median[36].original,387,89
lowlevel.mfcc.max[3].original,229,90
lowlevel.gfcc.max[11].original,131,91
lowlevel.spectral_contrast_coeffs.mean[6].original,273,92
lowlevel.pitch_salience.skew.original,37,93
rhythm.beats_loudness.skew.original,66,94
lowlevel.melbands128.skew[91].original,215,95
lowlevel.spectral_contrast_coeffs.skew[5].original,284,96
tonal.hpcp.median[21].original,377,97
lowlevel.gfcc.var[5].original,154,98
tonal.hpcp.median[26].original,380,99
lowlevel.mfcc.mean[12].original,238,100
tonal.hpcp.median[17].original,374,101
lowlevel.mfcc.min[11].original,248,102
lowlevel.gfcc.kurt[3].original,118,103
