feature,index,rank
lowlevel.spectral_energyband_middle_high.dmean2.vocal,43,1
lowlevel.gfcc.dvar[8].vocal,128,2
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,240,3
lowlevel.mfcc.min[4].vocal,227,4
lowlevel.gfcc.max[9].vocal,145,5
lowlevel.zerocrossingrate.min.vocal,61,6
lowlevel.spectral_contrast_coeffs.var[1].vocal,249,7
lowlevel.erbbands_flatness_db.mean.vocal,15,8
lowlevel.spectral_energy.dmean2.vocal,41,9
lowlevel.spectral_strongpeak.dmean2.vocal,58,10
lowlevel.erbbands.dmean[19].vocal,82,11
rhythm.beats_loudness_band_ratio.kurt[1].vocal,262,12
lowlevel.spectral_centroid.min.vocal,39,13
lowlevel.barkbands.dmean2[13].vocal,78,14
lowlevel.erbbands.dmean2[16].vocal,87,15
lowlevel.mfcc.var[8].vocal,235,16
tonal.hpcp.dmean[27].vocal,299,17
lowlevel.spectral_complexity.dvar.vocal,40,18
tonal.hpcp.dmean[23].vocal,298,19
rhythm.beats_loudness_band_ratio.dmean[5].vocal,259,20
lowlevel.mfcc.min[7].vocal,228,21
rhythm.beats_loudness_band_ratio.kurt[2].vocal,263,22
lowlevel.gfcc.min[3].vocal,152,23
rhythm.beats_loudness_band_ratio.var[1].vocal,271,24
tonal.thpcp[34].vocal,317,25
tonal.key_temperley.strength.vocal,73,26
lowlevel.mfcc.max[12].vocal,224,27
rhythm.beats_loudness_band_ratio.dvar2[4].vocal,261,28
lowlevel.melbands_spread.dmean.vocal,31,29
lowlevel.erbbands.dmean2[20].vocal,88,30
lowlevel.mfcc.max[9].vocal,221,31
lowlevel.melbands128.kurt[10].vocal,173,32
lowlevel.mfcc.var[4].vocal,231,33
tonal.thpcp[4].vocal,312,34
lowlevel.gfcc.median[6].vocal,150,35
lowlevel.dissonance.mean.vocal,12,36
lowlevel.gfcc.var[7].vocal,161,37
tonal.hpcp_crest.kurt.vocal,69,38
tonal.tuning_equal_tempered_deviation.vocal,74,39
lowlevel.spectral_contrast_valleys.max[1].vocal,256,40
lowlevel.erbbands_spread.median.vocal,21,41
lowlevel.mfcc.max[8].vocal,220,42
lowlevel.spectral_energyband_middle_low.mean.vocal,44,43
lowlevel.spectral_contrast_coeffs.median[6].vocal,245,44
lowlevel.erbbands.dmean2[13].vocal,86,45
lowlevel.mfcc.var[1].vocal,229,46
tonal.thpcp[19].vocal,314,47
lowlevel.barkbands.dmean2[9].vocal,76,48
lowlevel.spectral_contrast_coeffs.min[3].vocal,247,49
lowlevel.gfcc.min[2].vocal,151,50
lowlevel.barkbands_crest.min.vocal,0,51
lowlevel.spectral_skewness.min.vocal,55,52
lowlevel.mfcc.var[7].vocal,234,53
lowlevel.gfcc.min[7].vocal,154,54
tonal.chords_changes_rate.vocal,63,55
lowlevel.loudness_ebu128.momentary.min.vocal,24,56
lowlevel.melbands128.skew[19].vocal,197,57
lowlevel.mfcc.var[3].vocal,230,58
lowlevel.erbbands_flatness_db.max.vocal,14,59
lowlevel.mfcc.max[10].vocal,222,60
lowlevel.gfcc.min[5].vocal,153,61
lowlevel.barkbands.dmean2[11].vocal,77,62
lowlevel.gfcc.max[7].vocal,143,63
lowlevel.gfcc.var[9].vocal,163,64
lowlevel.erbbands.dmean[23].vocal,83,65
rhythm.beats_loudness_band_ratio.median[2].vocal,268,66
lowlevel.barkbands.mean[5].vocal,81,67
tonal.hpcp.dmean[5].vocal,297,68
tonal.hpcp.median[21].vocal,310,69
lowlevel.gfcc.max[12].vocal,148,70
lowlevel.mfcc.max[11].vocal,223,71
lowlevel.spectral_contrast_coeffs.max[4].vocal,244,72
tonal.hpcp_crest.var.vocal,70,73
lowlevel.melbands128.skew[20].vocal,198,74
lowlevel.mfcc.var[12].vocal,239,75
lowlevel.gfcc.var[8].vocal,162,76
lowlevel.mfcc.max[6].vocal,218,77
lowlevel.erbbands.dmean2[11].vocal,85,78
