Features,Scores
lowlevel.barkbands_crest.kurt.accompaniment,1.6992825980107074
lowlevel.barkbands_crest.min.accompaniment,11.790545797347272
lowlevel.barkbands_flatness_db.kurt.accompaniment,1.5011055847033905
lowlevel.barkbands_flatness_db.min.accompaniment,0.12455781588066146
lowlevel.barkbands_flatness_db.skew.accompaniment,2.012079462576832
lowlevel.barkbands_kurtosis.min.accompaniment,4.199281363980527
lowlevel.barkbands_kurtosis.skew.accompaniment,0.11392478444378196
lowlevel.barkbands_kurtosis.var.accompaniment,2.3038648856780743
lowlevel.barkbands_spread.kurt.accompaniment,19.34640703469313
lowlevel.dissonance.kurt.accompaniment,20.615717693233705
lowlevel.dissonance.var.accompaniment,39.683342716936195
lowlevel.erbbands_crest.kurt.accompaniment,8.212174165835822
lowlevel.erbbands_crest.min.accompaniment,5.746432470827285
lowlevel.erbbands_flatness_db.kurt.accompaniment,3.335804323224794
lowlevel.erbbands_flatness_db.min.accompaniment,0.11139673544100702
lowlevel.erbbands_flatness_db.skew.accompaniment,4.076956410360829
lowlevel.erbbands_kurtosis.median.accompaniment,12.75096617602929
lowlevel.erbbands_kurtosis.min.accompaniment,1.4121279882143023
lowlevel.erbbands_kurtosis.skew.accompaniment,2.4284130057401163
lowlevel.erbbands_skewness.kurt.accompaniment,1.344857427100418
lowlevel.erbbands_skewness.skew.accompaniment,0.059865184194583206
lowlevel.erbbands_spread.kurt.accompaniment,2.517137121279366
lowlevel.hfc.skew.accompaniment,4.9710238840092416
lowlevel.loudness_ebu128.integrated.accompaniment,3.9959503938856384
lowlevel.loudness_ebu128.loudness_range.accompaniment,8.179309780722097
lowlevel.loudness_ebu128.momentary.dmean.accompaniment,7.5948237658775435
lowlevel.loudness_ebu128.momentary.dvar2.accompaniment,1.0789757817783145
lowlevel.loudness_ebu128.momentary.kurt.accompaniment,6.907955286659553
lowlevel.loudness_ebu128.short_term.dvar2.accompaniment,0.2263119080510652
lowlevel.loudness_ebu128.short_term.kurt.accompaniment,5.095141725648033
lowlevel.loudness_ebu128.short_term.var.accompaniment,2.5988338066505174
lowlevel.melbands_crest.kurt.accompaniment,0.30357973517005815
lowlevel.melbands_flatness_db.min.accompaniment,0.31646188891624283
lowlevel.melbands_kurtosis.dvar2.accompaniment,2.999999972328444
lowlevel.melbands_kurtosis.min.accompaniment,0.5326637484290585
lowlevel.melbands_skewness.kurt.accompaniment,0.6558870507110579
lowlevel.melbands_skewness.min.accompaniment,0.05454928519331161
lowlevel.pitch_salience.dvar2.accompaniment,15.432019993236802
lowlevel.pitch_salience.kurt.accompaniment,0.4163024901087118
lowlevel.pitch_salience.max.accompaniment,0.6374011808363744
lowlevel.silence_rate_30dB.kurt.accompaniment,2.439965284778192
lowlevel.silence_rate_60dB.dvar.accompaniment,10.089979158913547
lowlevel.silence_rate_60dB.kurt.accompaniment,9.196595649989126
lowlevel.spectral_energy.max.accompaniment,6.341733461842248
lowlevel.spectral_energyband_low.median.accompaniment,5.464512297967744
lowlevel.spectral_energyband_middle_high.max.accompaniment,1.9328581130085671
lowlevel.spectral_energyband_middle_high.skew.accompaniment,8.338172612647597
lowlevel.spectral_energyband_middle_low.kurt.accompaniment,2.920949238372905
lowlevel.spectral_energyband_middle_low.max.accompaniment,5.881796349970797
lowlevel.spectral_energyband_middle_low.mean.accompaniment,5.770584973014699
lowlevel.spectral_entropy.kurt.accompaniment,20.763062464063772
lowlevel.spectral_entropy.skew.accompaniment,1.6594788288023907
lowlevel.spectral_flux.kurt.accompaniment,10.44359481258453
lowlevel.spectral_kurtosis.kurt.accompaniment,3.6895117880284785
lowlevel.spectral_kurtosis.min.accompaniment,0.26838521801551884
lowlevel.spectral_rolloff.kurt.accompaniment,56.744629622086684
lowlevel.spectral_rolloff.min.accompaniment,0.3511244640677734
lowlevel.spectral_strongpeak.kurt.accompaniment,3.169813123904904
lowlevel.spectral_strongpeak.mean.accompaniment,4.768350050374273
rhythm.beats_loudness.min.accompaniment,1.660158052562346
rhythm.beats_loudness.skew.accompaniment,4.691954386606026
rhythm.bpm.accompaniment,2.8016369884557344
rhythm.danceability.accompaniment,3.5867888677943287
rhythm.onset_rate.accompaniment,9.975701789107163
tonal.chords_number_rate.accompaniment,0.39067445791724037
tonal.chords_strength.mean.accompaniment,1.2308761270512625
tonal.chords_strength.min.accompaniment,0.026754642931351998
tonal.chords_strength.skew.accompaniment,0.024561363263559035
tonal.chords_strength.var.accompaniment,0.36236515886937676
tonal.hpcp_crest.max.accompaniment,0.5466294643046202
tonal.hpcp_entropy.kurt.accompaniment,4.000615527714859
tonal.hpcp_entropy.skew.accompaniment,5.175145097664646
tonal.key_temperley.strength.accompaniment,5.701768259485855
tonal.tuning_diatonic_strength.accompaniment,2.3910127085388395
tonal.tuning_equal_tempered_deviation.accompaniment,26.165542460241547
tonal.tuning_frequency.accompaniment,0.7783962371919273
lowlevel.barkbands.max[6].accompaniment,14.94264950030288
lowlevel.barkbands.max[9].accompaniment,9.492277223701665
lowlevel.barkbands.max[11].accompaniment,6.172876548797494
lowlevel.barkbands.max[12].accompaniment,4.909123136028456
lowlevel.barkbands.max[21].accompaniment,1.6729267876110385
lowlevel.barkbands.mean[10].accompaniment,3.0023860920706205
lowlevel.barkbands.skew[9].accompaniment,6.448234903782488
lowlevel.barkbands.skew[10].accompaniment,4.336979173058804
lowlevel.barkbands.skew[12].accompaniment,8.213058115858693
lowlevel.erbbands.dvar2[4].accompaniment,0.512337331329599
lowlevel.erbbands.dvar2[19].accompaniment,1.9702031454287656
lowlevel.erbbands.dvar2[20].accompaniment,2.2512660127969983
lowlevel.erbbands.dvar2[23].accompaniment,1.833918282082988
