Features,Scores
lowlevel.erbbands.median[26].accompaniment,110.61492530112825
lowlevel.spectral_rolloff.kurt.accompaniment,56.74462962208667
tonal.thpcp[3].accompaniment,42.658137603321194
lowlevel.dissonance.var.accompaniment,39.68334271693617
tonal.thpcp[18].accompaniment,33.453811093257535
rhythm.beats_loudness_band_ratio.var[1].vocal,31.4042930167388
rhythm.beats_loudness_band_ratio.kurt[1].vocal,30.917294698813592
rhythm.beats_loudness_band_ratio.max[3].accompaniment,29.64499704212944
tonal.thpcp[33].accompaniment,28.707053875388937
lowlevel.melbands128.kurt[10].vocal,28.576903998419258
tonal.hpcp.dmean2[13].accompaniment,27.376801389954178
tonal.hpcp.dmean2[19].accompaniment,26.280965502070536
tonal.tuning_equal_tempered_deviation.accompaniment,26.165542460241547
tonal.hpcp.dvar2[5].accompaniment,25.475839917848777
rhythm.beats_loudness_band_ratio.kurt[2].vocal,24.701935733412586
tonal.key_temperley.scale.original,24.25045045045045
lowlevel.silence_rate_30dB.min.original,24.219354838709677
rhythm.beats_loudness_band_ratio.median[2].vocal,23.274459525731853
tonal.hpcp.dvar2[9].accompaniment,23.065943434239287
tonal.hpcp.dmean2[28].accompaniment,22.89517268141977
tonal.hpcp.dmean2[35].accompaniment,21.87064777821142
lowlevel.gfcc.dvar[8].vocal,21.243610279225734
lowlevel.melbands.skew[31].original,21.06178565490091
lowlevel.spectral_contrast_coeffs.var[5].original,21.040059299139248
lowlevel.melbands128.skew[74].original,20.852329745360976
lowlevel.spectral_entropy.kurt.accompaniment,20.763062464063776
lowlevel.melbands128.skew[82].accompaniment,20.63230815057749
lowlevel.melbands128.skew[80].accompaniment,20.621742048192406
lowlevel.dissonance.kurt.accompaniment,20.615717693233705
lowlevel.melbands128.skew[75].accompaniment,19.789449879159502
rhythm.beats_loudness_band_ratio.kurt[6].original,19.711236664813498
rhythm.beats_loudness_band_ratio.median[6].vocal,19.55629216365041
lowlevel.barkbands_spread.kurt.accompaniment,19.346407034693136
lowlevel.silence_rate_30dB.min.vocal,19.285714285714285
tonal.thpcp[26].accompaniment,18.902897603702076
lowlevel.melbands128.skew[72].accompaniment,18.647428472152107
lowlevel.melbands128.skew[85].accompaniment,18.004034611897847
lowlevel.melbands.kurt[37].accompaniment,17.806580015569025
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,17.76203606212761
rhythm.beats_loudness_band_ratio.var[2].original,17.609281466960525
lowlevel.silence_rate_60dB.var.original,17.576665708723464
lowlevel.gfcc.kurt[4].accompaniment,17.55118519709407
rhythm.beats_loudness_band_ratio.max[6].accompaniment,17.334848596471417
rhythm.beats_loudness_band_ratio.skew[6].accompaniment,17.331647440768098
lowlevel.melbands128.skew[53].accompaniment,17.064886946828267
rhythm.beats_loudness_band_ratio.dmean[5].vocal,17.00955616317914
tonal.thpcp[4].vocal,16.857995271289788
tonal.thpcp[34].vocal,16.616318606956945
lowlevel.melbands128.skew[69].accompaniment,16.582600531874718
rhythm.beats_loudness_band_ratio.kurt[5].accompaniment,16.46278183685111
lowlevel.erbbands.mean[8].accompaniment,16.447318759347105
tonal.hpcp.median[14].original,16.35486484144901
lowlevel.gfcc.kurt[3].accompaniment,16.349985356442907
lowlevel.melbands128.skew[64].original,16.323010683987057
tonal.hpcp.median[12].original,16.318355351010254
lowlevel.melbands128.skew[60].accompaniment,16.25450227375733
lowlevel.melbands128.skew[65].accompaniment,16.231049893973506
