numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,6.876,0.757,0.011,0.003,0.451,0.039,0.395,0.042,0.451,0.039,0.451,0.039,0.440,0.045,0.451,0.039,0.453,0.038
2,6.250,0.699,0.010,0.002,0.473,0.045,0.460,0.047,0.473,0.045,0.473,0.045,0.535,0.051,0.473,0.045,0.473,0.045
3,6.114,0.665,0.010,0.002,0.525,0.044,0.523,0.043,0.525,0.044,0.525,0.044,0.551,0.043,0.525,0.044,0.525,0.044
4,6.102,0.645,0.010,0.002,0.520,0.048,0.515,0.049,0.520,0.048,0.520,0.048,0.545,0.049,0.520,0.048,0.520,0.048
5,6.322,0.670,0.010,0.002,0.527,0.050,0.524,0.049,0.527,0.050,0.527,0.050,0.550,0.048,0.527,0.050,0.527,0.050
6,6.402,0.699,0.010,0.002,0.520,0.053,0.517,0.051,0.520,0.053,0.520,0.053,0.545,0.052,0.520,0.053,0.521,0.053
7,6.677,0.735,0.010,0.002,0.532,0.051,0.531,0.051,0.532,0.051,0.532,0.051,0.558,0.051,0.532,0.051,0.532,0.051
8,6.909,0.750,0.010,0.002,0.527,0.049,0.525,0.048,0.527,0.049,0.527,0.049,0.547,0.049,0.527,0.049,0.527,0.049
9,7.104,0.748,0.010,0.002,0.525,0.049,0.524,0.048,0.525,0.049,0.525,0.049,0.546,0.050,0.525,0.049,0.526,0.049
10,7.286,0.767,0.010,0.002,0.530,0.047,0.529,0.046,0.530,0.047,0.530,0.047,0.551,0.046,0.530,0.047,0.530,0.047
11,7.510,0.789,0.010,0.002,0.524,0.043,0.523,0.043,0.524,0.043,0.524,0.043,0.543,0.042,0.524,0.043,0.524,0.043
12,7.646,0.805,0.010,0.002,0.535,0.044,0.534,0.044,0.535,0.044,0.535,0.044,0.553,0.042,0.535,0.044,0.535,0.044
13,7.953,0.830,0.010,0.002,0.535,0.054,0.533,0.054,0.535,0.054,0.535,0.054,0.549,0.053,0.535,0.054,0.535,0.054
14,8.225,0.856,0.011,0.002,0.534,0.054,0.532,0.055,0.534,0.054,0.534,0.054,0.550,0.053,0.534,0.054,0.534,0.055
15,8.429,0.852,0.010,0.002,0.538,0.051,0.536,0.051,0.538,0.051,0.538,0.051,0.552,0.049,0.538,0.051,0.538,0.051
16,7.506,0.779,0.010,0.002,0.544,0.055,0.541,0.056,0.544,0.055,0.544,0.055,0.549,0.057,0.544,0.055,0.544,0.055
17,7.994,0.837,0.010,0.002,0.545,0.052,0.541,0.053,0.545,0.052,0.545,0.052,0.547,0.053,0.545,0.052,0.545,0.053
18,8.279,0.868,0.010,0.002,0.546,0.052,0.542,0.053,0.546,0.052,0.546,0.052,0.548,0.053,0.546,0.052,0.546,0.052
19,8.463,0.901,0.010,0.002,0.543,0.051,0.539,0.052,0.543,0.051,0.543,0.051,0.546,0.052,0.543,0.051,0.543,0.052
20,8.718,0.931,0.010,0.002,0.545,0.052,0.540,0.052,0.545,0.052,0.545,0.052,0.546,0.053,0.545,0.052,0.545,0.052
21,9.064,0.968,0.010,0.002,0.553,0.051,0.549,0.052,0.553,0.051,0.553,0.051,0.556,0.053,0.553,0.051,0.553,0.052
22,9.278,0.991,0.010,0.002,0.578,0.054,0.574,0.055,0.578,0.054,0.578,0.054,0.582,0.056,0.578,0.054,0.578,0.055
23,9.668,0.986,0.010,0.002,0.580,0.056,0.576,0.057,0.580,0.056,0.580,0.056,0.583,0.057,0.580,0.056,0.580,0.056
24,9.900,1.024,0.010,0.002,0.585,0.056,0.582,0.058,0.585,0.056,0.585,0.056,0.590,0.058,0.585,0.056,0.585,0.056
25,10.327,1.076,0.011,0.002,0.582,0.052,0.578,0.053,0.582,0.052,0.582,0.052,0.586,0.053,0.582,0.052,0.582,0.052
26,10.468,1.067,0.011,0.002,0.588,0.052,0.584,0.053,0.588,0.052,0.588,0.052,0.592,0.054,0.588,0.052,0.588,0.052
27,10.712,1.093,0.011,0.002,0.588,0.050,0.584,0.052,0.588,0.050,0.588,0.050,0.592,0.052,0.588,0.050,0.588,0.050
28,10.832,1.079,0.011,0.003,0.584,0.052,0.580,0.054,0.584,0.052,0.584,0.052,0.588,0.054,0.584,0.052,0.584,0.052
29,11.071,1.102,0.011,0.003,0.583,0.050,0.580,0.052,0.583,0.050,0.583,0.050,0.588,0.053,0.583,0.050,0.584,0.051
30,11.317,1.152,0.011,0.002,0.584,0.051,0.581,0.053,0.584,0.051,0.584,0.051,0.589,0.054,0.584,0.051,0.584,0.051
31,11.646,1.164,0.011,0.002,0.586,0.053,0.581,0.055,0.586,0.053,0.586,0.053,0.589,0.056,0.586,0.053,0.586,0.053
32,10.238,1.074,0.010,0.002,0.585,0.052,0.580,0.054,0.585,0.052,0.585,0.052,0.588,0.055,0.585,0.052,0.585,0.052
33,10.435,1.094,0.010,0.002,0.585,0.051,0.580,0.053,0.585,0.051,0.585,0.051,0.589,0.053,0.585,0.051,0.585,0.051
34,11.193,1.150,0.010,0.003,0.580,0.050,0.576,0.051,0.580,0.050,0.580,0.050,0.586,0.053,0.580,0.050,0.580,0.050
35,11.568,1.204,0.010,0.002,0.590,0.049,0.587,0.050,0.590,0.049,0.590,0.049,0.595,0.051,0.590,0.049,0.590,0.049
36,11.792,1.236,0.010,0.003,0.588,0.049,0.585,0.050,0.588,0.049,0.588,0.049,0.593,0.051,0.588,0.049,0.588,0.049
37,12.183,1.247,0.011,0.003,0.592,0.048,0.588,0.050,0.592,0.048,0.592,0.048,0.597,0.050,0.592,0.048,0.592,0.049
38,12.293,1.261,0.011,0.002,0.589,0.049,0.586,0.050,0.589,0.049,0.589,0.049,0.594,0.049,0.589,0.049,0.589,0.049
39,12.712,1.318,0.011,0.003,0.593,0.050,0.591,0.051,0.593,0.050,0.593,0.050,0.599,0.051,0.593,0.050,0.593,0.050
40,12.883,1.319,0.011,0.003,0.601,0.049,0.598,0.050,0.601,0.049,0.601,0.049,0.606,0.050,0.601,0.049,0.601,0.049
41,13.437,1.377,0.011,0.003,0.608,0.050,0.606,0.051,0.608,0.050,0.608,0.050,0.615,0.051,0.608,0.050,0.608,0.050
42,13.504,1.361,0.011,0.003,0.605,0.050,0.603,0.052,0.605,0.050,0.605,0.050,0.612,0.052,0.605,0.050,0.605,0.051
43,14.032,1.432,0.011,0.003,0.600,0.050,0.598,0.052,0.600,0.050,0.600,0.050,0.607,0.052,0.600,0.050,0.600,0.051
44,14.374,1.449,0.011,0.003,0.599,0.050,0.597,0.051,0.599,0.050,0.599,0.050,0.606,0.051,0.599,0.050,0.599,0.050
45,14.785,1.458,0.011,0.003,0.599,0.050,0.596,0.051,0.599,0.050,0.599,0.050,0.605,0.051,0.599,0.050,0.599,0.050
46,14.950,1.478,0.011,0.003,0.603,0.049,0.600,0.050,0.603,0.049,0.603,0.049,0.611,0.050,0.603,0.049,0.602,0.050
47,15.269,1.478,0.011,0.003,0.615,0.049,0.612,0.049,0.615,0.049,0.615,0.049,0.623,0.049,0.615,0.049,0.615,0.049
48,13.442,1.413,0.010,0.003,0.618,0.054,0.616,0.054,0.618,0.054,0.618,0.054,0.626,0.055,0.618,0.054,0.618,0.054
49,13.822,1.463,0.010,0.003,0.615,0.051,0.613,0.052,0.615,0.051,0.615,0.051,0.624,0.053,0.615,0.051,0.615,0.052
50,14.150,1.452,0.010,0.002,0.612,0.052,0.610,0.053,0.612,0.052,0.612,0.052,0.620,0.054,0.612,0.052,0.612,0.052
51,14.534,1.462,0.010,0.003,0.611,0.052,0.609,0.052,0.611,0.052,0.611,0.052,0.619,0.053,0.611,0.052,0.611,0.052
52,14.675,1.500,0.011,0.003,0.613,0.052,0.611,0.052,0.613,0.052,0.613,0.052,0.622,0.052,0.613,0.052,0.613,0.052
53,14.858,1.505,0.011,0.002,0.615,0.051,0.612,0.051,0.615,0.051,0.615,0.051,0.623,0.051,0.615,0.051,0.615,0.051
54,15.100,1.547,0.011,0.002,0.617,0.050,0.615,0.050,0.617,0.050,0.617,0.050,0.627,0.051,0.617,0.050,0.617,0.050
55,15.346,1.510,0.011,0.002,0.615,0.051,0.613,0.051,0.615,0.051,0.615,0.051,0.625,0.052,0.615,0.051,0.615,0.051
56,15.602,1.531,0.011,0.002,0.614,0.050,0.612,0.051,0.614,0.050,0.614,0.050,0.624,0.052,0.614,0.050,0.614,0.051
57,15.831,1.597,0.011,0.002,0.612,0.049,0.610,0.049,0.612,0.049,0.612,0.049,0.621,0.050,0.612,0.049,0.612,0.049
58,16.052,1.545,0.011,0.002,0.609,0.050,0.607,0.050,0.609,0.050,0.609,0.050,0.618,0.051,0.609,0.050,0.609,0.050
59,16.405,1.597,0.011,0.002,0.612,0.047,0.610,0.048,0.612,0.047,0.612,0.047,0.621,0.049,0.612,0.047,0.612,0.048
