num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",7,0.5849591576051151,0.046557706541864606
25,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6150885957172849,0.05179499792343626
50,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",5,0.6185665128694797,0.04624077211999005
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",8,0.6186734499846875,0.05110085375528845
200,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",25,0.6257984829056341,0.051122884598849436
300,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",24,0.6293239737747924,0.05038888305500313
396,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",18,0.6323058936308893,0.052767888041003234
10,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",3,0.5905784903693657,0.04745151560976021
25,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6163681374570023,0.05336773732710524
50,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",9,0.6100747455816292,0.05237918653966578
100,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",21,0.6105078760166179,0.05036994352828443
200,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",97,0.5324305606702938,0.04793900577228884
300,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",106,0.4932219158627422,0.05171091956988432
396,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",117,0.4198076223220433,0.05058246505860429
10,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",41,0.5509354813237363,0.0505775867108518
25,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",41,0.589673354407494,0.04771842851462242
50,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",12,0.6080060361609324,0.048824703718678836
100,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",22,0.6101315178383733,0.0508984330378938
200,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",6,0.6312756321371576,0.05076094582069072
300,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6518714252506386,0.050022223387742336
396,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6442116865089815,0.052822793368352015
10,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5965018459911898,0.04813428415675792
25,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",12,0.6049418349789415,0.04907032327692792
50,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",48,0.5920191124692765,0.05288330875701672
100,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",43,0.5967899381523509,0.04957389647567231
200,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",40,0.6125341179535535,0.05148315565305967
300,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",18,0.6358361340860516,0.0477623104639037
396,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",26,0.6291819531906221,0.049709903743127226
