kernel,params,rank_test_score,mean_test_score,std_test_score
1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6408440236720019,0.053968631646980625
0.1_4_0.1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",1,0.6408440236720019,0.053968631646980625
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",3,0.6398830435374427,0.052192141553664605
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",4,0.6336012485723599,0.0504608550739555
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6313856781539582,0.053929301280986545
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",6,0.6312756321371576,0.05076094582069072
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",7,0.6309744077233997,0.05284949825406071
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",8,0.6308546578928239,0.047798262289994675
1_2_0.1_poly,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",9,0.6307957024147693,0.050568413240677776
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",10,0.6307057210648039,0.05298189381509249
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",10,0.6307057210648039,0.05298189381509249
100_2_0.01_poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",12,0.630681046457849,0.05054788418707257
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",13,0.630014248119874,0.050822135856752375
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",14,0.6292626173827127,0.05336084445405275
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",15,0.6291200434615943,0.051082288649463285
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",16,0.6284025014500401,0.05111640792854581
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",17,0.6282933266640326,0.047303170745176766
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",18,0.627897450615868,0.050562377114928087
0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6275673719118083,0.05117009143575443
1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",19,0.6275673719118083,0.05117009143575443
100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",21,0.6274335063088041,0.05123019666021289
10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",22,0.6272345080183814,0.05076786240466302
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",23,0.6269907844544069,0.05143707058924269
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",24,0.626754824269043,0.04664006150694823
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",25,0.6257984829056341,0.05112288459884944
1000_3_0.01_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",26,0.6252344740614401,0.04620105360609535
