kernel,params,rank_test_score,mean_test_score,std_test_score
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6771179150902004,0.04603086245021135
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6766845718018237,0.04567197105886653
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",3,0.6746600968541311,0.044732555587575454
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",4,0.6731251756819732,0.0440461009432359
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",5,0.6699994522641394,0.04507817281914906
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",5,0.6699994522641394,0.04507817281914906
0.1_4_0.1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",7,0.6698404572912956,0.04333272705923776
1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",7,0.6698404572912956,0.04333272705923776
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",9,0.6687797282840875,0.048116734320869894
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",10,0.6677704499007553,0.04240542176636437
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",11,0.6674151409446064,0.0465454270409505
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",12,0.6673484867886715,0.0463929420795597
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",13,0.6669960549892106,0.04617502244082209
100_2_0.01_poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",14,0.6664196858136547,0.043024433237576355
1_2_0.1_poly,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",14,0.6664196858136547,0.043024433237576355
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",16,0.6653523022538309,0.04639827331255779
1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",17,0.6641251610456981,0.04569227082735223
10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",18,0.66410679393953,0.045327181206218155
0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6640106918860161,0.045569517987286916
100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",19,0.6640106918860161,0.045569517987286916
