num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.6268385897762365,0.04764352392160518
010,1_linear,"{'C': 1, 'kernel': 'linear'}",29,0.6024103904582829,0.04651775189902934
010,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",8,0.6117659986729309,0.04869488644952461
010,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",25,0.6027393689316348,0.04578255234672017
025,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6257274250931262,0.05357409040259438
025,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",32,0.5994641196201911,0.051037167366965314
025,1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6168173840816265,0.05113024873730198
025,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",29,0.6002177804954856,0.049774510491105185
050,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6189546303370514,0.05232442393629395
050,1_linear,"{'C': 1, 'kernel': 'linear'}",11,0.5954634101320442,0.052181099396280975
050,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",8,0.5966433661218209,0.049593956011295265
050,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",12,0.5954509947337548,0.05222566905339295
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6587263056892447,0.052752920245782466
100,1_linear,"{'C': 1, 'kernel': 'linear'}",26,0.6417777233738353,0.05023830476952552
100,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",6,0.6542214304777951,0.04887298914525174
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",26,0.6417777233738353,0.05023830476952552
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6764084441154045,0.0519870507960545
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",50,0.6627097539374462,0.05077958517986686
200,1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",1,0.6819869868724099,0.04619770281255301
200,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",41,0.6648115107378929,0.04787918626330012
300,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.6736218956205914,0.05086018261314939
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",53,0.6565716320045364,0.05072100020720675
300,100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6792329261010464,0.045942769895579515
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",13,0.6708820697999286,0.04862216698150239
400,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6887190617499368,0.053859795013379896
400,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",15,0.6803079440706701,0.04847983154545004
400,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6850610375182897,0.05091779451779137
400,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",11,0.68188125552846,0.05019274148709599
412,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6899330466953469,0.052137598488684656
412,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",22,0.6782019521010192,0.05043857799624722
412,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6856479292880333,0.05033413419544761
412,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6800444128429011,0.051134537097063934
