num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",19,0.6069904067130016,0.05061848665579016
25,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1,0.6257274250931262,0.05357409040259438
50,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",83,0.5473167539486793,0.046420361694066034
100,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",111,0.4585928224628633,0.03811091441180702
200,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",175,0.2264199283998693,0.07154956335591026
300,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",175,0.21356159155081889,0.07533836168282841
400,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",175,0.17163099788764746,0.04227365753146873
412,0.1_1_rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",175,0.1648786384850347,0.03934834419812455
10,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6249446986164142,0.04641235254684351
25,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",11,0.612106414321228,0.04808267564650792
50,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6098260617170761,0.05026825869281475
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6587263056892447,0.05275292024578247
200,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",9,0.6747251251297509,0.05182740959723251
300,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",38,0.6609028970699228,0.05210521886714528
400,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",30,0.6724096673695237,0.05306052224327431
412,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",27,0.6735025107682573,0.05188201318091069
10,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",21,0.6050303214385431,0.04919162849713666
25,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",13,0.6095866233853471,0.05164973640203283
50,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",5,0.6008562940239645,0.053212168769162266
100,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",17,0.6438443512717028,0.051382266126496635
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6764084441154045,0.0519870507960545
