num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",67,0.5753482987905972,0.050813949678683336
25,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",29,0.6002177804954856,0.04977451049110519
50,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",31,0.5918849598995078,0.05288593404512289
100,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",79,0.6037382101202641,0.049423287810725344
200,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",107,0.5028342834955556,0.04298216545207173
300,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",120,0.3020445117200403,0.05663931030973957
400,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",161,0.2650791199772035,0.037910777476891984
412,1_0.1_sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",160,0.2631019414843199,0.03816583711525593
10,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",25,0.6027393689316348,0.04578255234672017
25,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",39,0.5954702627297267,0.04601371802772061
50,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",43,0.589387779998506,0.0536041194647494
100,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",44,0.6309073926467726,0.051816146762393496
200,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",79,0.6444592149259091,0.05065181513445237
300,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",81,0.6396850648054249,0.05039189375281451
400,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",81,0.64813281347675,0.04994733850950634
412,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",82,0.648073019557651,0.05176163275789729
10,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",46,0.5948227043373567,0.04797166634297728
25,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",58,0.5877518324954644,0.04865667392218129
50,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",22,0.5933735174394572,0.05072908909751511
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",30,0.6411208039629342,0.051145155761423804
200,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",41,0.6648115107378929,0.04787918626330012
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",13,0.6708820697999286,0.04862216698150239
400,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",11,0.68188125552846,0.05019274148709599
412,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6800444128429011,0.05113453709706394
10,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",28,0.6024208010464919,0.046256445038992816
25,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",49,0.5902077866518889,0.047971325949292286
50,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",12,0.5954509947337548,0.05222566905339295
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",26,0.6417777233738353,0.05023830476952552
200,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",60,0.6626383477357646,0.047621983823204886
300,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",57,0.6557078937039491,0.04388769868710903
400,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",66,0.6603243997948958,0.04714093146934798
412,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",65,0.6600752243030928,0.044049057765889486
