num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.5285250982462356,0.04535824350921326
010,10_linear,"{'C': 10, 'kernel': 'linear'}",17,0.5123603734810522,0.04684853285531343
010,100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",8,0.5219354737138459,0.04731879797903357
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",18,0.5116776190378919,0.0473635772027616
025,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5780836152581452,0.05411254190182964
025,1_linear,"{'C': 1, 'kernel': 'linear'}",6,0.5717435611824598,0.04990803568417331
025,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",3,0.574556952347029,0.053373097533492286
025,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",6,0.5717435611824598,0.04990803568417331
050,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",9,0.6022345858994911,0.053012987457826094
050,1_linear,"{'C': 1, 'kernel': 'linear'}",21,0.5919964974514937,0.05222553829560845
050,0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6076228826271781,0.051203086424254265
050,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",21,0.5919964974514937,0.05222553829560845
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",7,0.6017594089251448,0.05247531772828398
100,1_linear,"{'C': 1, 'kernel': 'linear'}",33,0.5817342612122995,0.047982380132834006
100,1_3_0.1_poly,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",1,0.6121576754340224,0.05200139114787464
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",31,0.5820352153259335,0.04834793459303652
200,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6027400871815211,0.0521245028573335
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",47,0.5857849671528479,0.049684254966529916
200,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6043090931584518,0.053104712603229236
200,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",46,0.5857891289801804,0.049684705072154736
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6064928827298837,0.04894176751690937
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.5976426766862601,0.04806719275398415
300,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6111110898255133,0.050633151883551206
300,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",20,0.5975251391850017,0.047988160155185984
322,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.607629398960451,0.05022975830636532
322,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",13,0.601253557420804,0.048653973738792766
322,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6096525879205116,0.05017038092248738
322,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",12,0.6013660958485597,0.04866395831297647
