kernel,params,rank_test_score,mean_test_score,std_test_score
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.5285250982462356,0.04535824350921326
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",2,0.5271993858178887,0.04780433786650333
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.5256067226107214,0.04740436309229644
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",3,0.5256067226107214,0.04740436309229644
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.5233560550147346,0.04493097046909887
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",6,0.5222806415966398,0.04540778579311435
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",6,0.5222806415966398,0.04540778579311435
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",8,0.5219354737138459,0.04731879797903357
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",8,0.5219354737138459,0.04731879797903357
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",10,0.5218302792685356,0.04728265471401024
0.1_2_scale_poly,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",11,0.5195339852613872,0.04688734231389619
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",12,0.519389569862403,0.04342311013176116
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",13,0.5178098068620562,0.0528126147983674
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",14,0.5143491086337455,0.04876324859781274
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",14,0.5143491086337455,0.04876324859781274
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",16,0.5135692951204134,0.04810736087278792
10_linear,"{'C': 10, 'kernel': 'linear'}",17,0.5123603734810522,0.04684853285531343
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",18,0.5116776190378919,0.047363577202761596
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",19,0.5116290890829283,0.04976990131970365
100_linear,"{'C': 100, 'kernel': 'linear'}",20,0.5115346174347828,0.04682340109241785
1000_linear,"{'C': 1000, 'kernel': 'linear'}",21,0.5111295553662698,0.04744306876821077
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",22,0.510647823033801,0.045638241356892886
1_3_1_poly,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",23,0.5101615966751014,0.046484830596764844
1000_3_0.1_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",23,0.5101615966751014,0.046484830596764844
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",23,0.5101615966751014,0.046484830596764844
