num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",8,0.588130888775729,0.04471293198356543
25,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",13,0.6235159694823005,0.046562534731684486
50,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6420893726539433,0.042727297978179916
100,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",2,0.6458762316208501,0.03976372339203598
122,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",5,0.6565464734647374,0.04140442009549957
10,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6,0.5935415789274012,0.04360117100612289
25,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.6337052294075752,0.04516907518964077
50,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",10,0.6391368603639266,0.044244160070518436
100,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.6470617627370651,0.042108204481075294
122,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6,0.6559433050467246,0.04291298641619661
10,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.5954353950620436,0.04155837317343817
25,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",20,0.6212103545123602,0.04518445025919434
50,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",11,0.6389869766086339,0.04709271084613234
100,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",35,0.6125103073722639,0.043629804729557034
122,1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",39,0.6080429037487071,0.0400286313460176
