num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",79,0.4775896149961387,0.03931321758134696
25,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",3,0.6312001200034818,0.04399000297318454
50,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6382459354521408,0.045131792333999936
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",7,0.6443887445794235,0.03671810825283545
122,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6599067805516553,0.042476928262213366
10,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",15,0.5840688133051044,0.04613189856723009
25,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",9,0.6263272659734277,0.04431686960837702
50,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",6,0.6399485262914097,0.043551636683175694
100,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",7,0.6443887445794235,0.03671810825283545
122,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",1,0.6614289306985759,0.04113242530865846
10,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",13,0.5843158065703201,0.046001366777422066
25,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.6266951619732634,0.04439172248588452
50,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.6398229283841863,0.04378136211434218
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",6,0.644662082331549,0.036687108594757836
122,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",3,0.6611278560583532,0.04137620554692754
10,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",2,0.5993585491611788,0.041962474058189925
25,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",10,0.6244711195194178,0.04606409835594731
50,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",5,0.6405789237079926,0.04629278651894899
100,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",30,0.6168987894535244,0.04405666635513211
122,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",38,0.6096547151440973,0.03711917887660321
