kernel,params,rank_test_score,mean_test_score,std_test_score
1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.6337052294075752,0.045169075189640764
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",2,0.6322196031560272,0.04459676041323052
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",3,0.6312001200034818,0.04399000297318454
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6290223477514276,0.04643595478741778
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",5,0.6273406338949157,0.04674021765660751
1_linear,"{'C': 1, 'kernel': 'linear'}",6,0.6268256684111939,0.04428420371887913
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.6266951619732634,0.044391722485884515
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",8,0.6264484799445675,0.04662929545358085
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",9,0.6263272659734277,0.04431686960837702
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",10,0.6244711195194178,0.04606409835594731
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",11,0.624263102187228,0.04511545003565131
10_linear,"{'C': 10, 'kernel': 'linear'}",12,0.6236936461449675,0.04523433503996557
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",13,0.6235159694823005,0.04656253473168449
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",14,0.6229753223224894,0.047903800930600725
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",14,0.6229753223224894,0.047903800930600725
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",16,0.6227493301006467,0.044489266016976045
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",16,0.6227493301006467,0.044489266016976045
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",18,0.6226686320319456,0.04457791090798258
10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",19,0.6219296870276003,0.0457930627762401
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",20,0.6212103545123602,0.045184450259194334
100_linear,"{'C': 100, 'kernel': 'linear'}",21,0.6199179223250951,0.04441567299837649
1000_linear,"{'C': 1000, 'kernel': 'linear'}",22,0.6194572682765269,0.0442706316071787
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",23,0.61726578814355,0.046071246018845324
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",24,0.6166702002346527,0.04533349969499524
10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",25,0.6160882269507079,0.04579205425214977
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",26,0.614199979021016,0.04760217170034037
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",27,0.6140466395740286,0.048043848318651126
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",28,0.6120539905346596,0.04846185784703883
100_3_0.1_poly,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",29,0.6114707174287396,0.049040204245297626
0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",29,0.6114707174287396,0.049040204245297626
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",31,0.6114270854508682,0.046463397747486514
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",32,0.6092474104977765,0.05002311025937691
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",33,0.6085178811611197,0.04313115713641981
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",34,0.605773961270647,0.05103313829538175
10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",35,0.5946113083205329,0.04698125416249036
1000_2_0.1_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",35,0.5946113083205329,0.04698125416249036
10_3_scale_poly,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",37,0.5942147523329838,0.0478002847858482
10_3_0.1_poly,"{'C': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",38,0.5938102091419099,0.04877748372482915
1_3_1_poly,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",39,0.5924623167261904,0.047851045522387545
1000_3_0.1_poly,"{'C': 1000, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",39,0.5924623167261904,0.047851045522387545
100_2_scale_poly,"{'C': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",41,0.5910528359357208,0.05046217050726732
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",42,0.5902500771201791,0.05285907222233904
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",43,0.5896932010039696,0.048097208656591006
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",44,0.5895910492799755,0.04811851116794855
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",45,0.5888566193772162,0.04946839363477023
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",46,0.5870724279080674,0.048144088649325636
100_4_0.1_poly,"{'C': 100, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",47,0.5869682250209057,0.04857296753017748
1000_4_0.1_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",48,0.5843162989590844,0.04677342324699411
0.1_4_1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",48,0.5843162989590844,0.04677342324699411
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",50,0.5836402165768644,0.04723250204290149
