num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5508089356460603,0.0517125438799494
010,1_linear,"{'C': 1, 'kernel': 'linear'}",25,0.5248378948539589,0.049718281683768746
010,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",10,0.532954242355054,0.04709592484797577
010,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",24,0.5249231257337972,0.049604437266080686
025,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.5463048881875779,0.047280525475859925
025,1_linear,"{'C': 1, 'kernel': 'linear'}",26,0.5403974779588256,0.046689839613198864
025,1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",1,0.5553717955473041,0.05081121681352405
025,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",23,0.5407101516019628,0.0467992182308423
050,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",2,0.5671579299335106,0.04772736832762257
050,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",7,0.5648492117487067,0.05186685267325316
050,10_3_0.1_poly,"{'C': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",12,0.5589179052159362,0.0491389944212027
050,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",1,0.567528246104179,0.047421779423613725
100,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",6,0.616537022127661,0.05149916463626926
100,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",20,0.6046176507063877,0.04786968836832155
100,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6221519174681004,0.05390519764607875
100,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",20,0.6046176507063877,0.04786968836832155
200,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",11,0.6226254468097838,0.048150197583442175
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",24,0.6156108922245375,0.05097237799098996
200,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6277383441726563,0.050815023462745135
200,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",21,0.6170571307835137,0.048629773713075385
300,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",2,0.6541897770195905,0.05246709633720604
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",11,0.6428718435393289,0.049948042720983285
300,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6550237520687261,0.051040686194692486
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",7,0.6508261603273613,0.04898991424025016
396,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6442116865089815,0.052822793368352015
396,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",6,0.6377923520286717,0.04978703368073011
396,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6428788833889765,0.0534377290249218
396,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",5,0.6382040606280739,0.049414590519855715
