num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",46,0.5127827706358222,0.05051513929001815
25,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",14,0.5435820245937419,0.04952589955061061
50,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",11,0.5603123016015323,0.046740800425876486
100,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",6,0.616537022127661,0.05149916463626926
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",12,0.6225751018058691,0.0526089517051917
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",15,0.6392493084046421,0.05086022806849876
396,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",19,0.6322270172940826,0.05103468928752316
10,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",59,0.5056577320423478,0.049100283328500416
25,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",13,0.5437131354785505,0.04998084836561111
50,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",4,0.5664082111356095,0.04789371550869826
100,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",13,0.612152894475139,0.05202537129908984
200,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",11,0.6226254468097838,0.048150197583442175
300,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",2,0.6541897770195905,0.05246709633720604
396,10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6442116865089815,0.052822793368352015
10,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5508089356460603,0.0517125438799494
25,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",22,0.5409848233802769,0.04915803946731386
50,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",33,0.5499159162638197,0.05281999854145607
100,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",29,0.6013454144876258,0.05498905565614322
200,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",36,0.6063673659862193,0.052092051380910234
300,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",30,0.6288399098127924,0.050078954882451725
396,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",26,0.6291819531906221,0.049709903743127226
10,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5508089356460603,0.0517125438799494
25,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.5463048881875779,0.047280525475859925
50,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",42,0.5486368478680588,0.04804103045802192
100,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",79,0.5806016567624018,0.05037885838669871
200,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",32,0.6104925112092641,0.05137323412800833
300,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",28,0.6288697270237505,0.04997802918278319
396,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",20,0.6315716636386391,0.048958804183429835
10,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",58,0.505671239779416,0.04855469764079305
25,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",12,0.5441882626273088,0.04832310646256532
50,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",2,0.5671579299335106,0.04772736832762257
100,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",17,0.6097212754975954,0.05211131265043052
200,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",15,0.6218216883583119,0.05070310074386978
300,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",3,0.6536887019294889,0.053244184002059824
396,1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",3,0.6439054704839963,0.05055295328752457
