num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",34,0.5232466772654347,0.04986262141268435
25,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",24,0.5407001115003114,0.045763380719895226
50,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",1,0.567528246104179,0.047421779423613725
100,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",24,0.6041898400462723,0.04792323935312921
200,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",21,0.6170571307835137,0.048629773713075385
300,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",37,0.6206314523622681,0.05016456733722322
396,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",31,0.6240856160294791,0.04906020850074453
10,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",50,0.5112713294723183,0.048520342709419725
25,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",31,0.5395133082230764,0.049127280845661314
50,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",40,0.5489219988810976,0.0502240753370844
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",33,0.59605995535836,0.0487188576647164
200,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",30,0.6114408077080714,0.05281745167586691
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",7,0.6508261603273613,0.04898991424025016
396,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",5,0.6382040606280739,0.049414590519855715
10,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",24,0.5249231257337972,0.049604437266080686
25,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",23,0.5407101516019628,0.0467992182308423
50,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",34,0.5497635148203126,0.05126574467354924
100,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",33,0.59605995535836,0.0487188576647164
200,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",59,0.6031454681128914,0.05079254293422485
300,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",39,0.6188211334099922,0.04779093794327605
396,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",68,0.6091709339239975,0.0495372258087004
10,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",61,0.5031714333050245,0.04949796884521697
25,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",44,0.5372121719578957,0.05102899403433425
50,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",5,0.5649594161817566,0.05188541893941261
100,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",20,0.6046176507063877,0.04786968836832155
200,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",24,0.6156108922245375,0.05097237799098996
300,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",11,0.6428718435393289,0.049948042720983285
396,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",6,0.6377923520286717,0.04978703368073011
