kernel,params,rank_test_score,mean_test_score,std_test_score
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",1,0.5553717955473041,0.05081121681352405
1000_4_0.1_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",2,0.5525429912566058,0.045147517928811415
0.1_4_1_poly,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",2,0.5525429912566058,0.045147517928811415
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",4,0.5483545526428265,0.04900662736584203
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",5,0.5479509018325617,0.04800208418500519
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",6,0.5478426685392443,0.048024071836188384
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",7,0.5477202504428242,0.04785429847416412
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.546304888187578,0.047280525475859925
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",9,0.5449639679375717,0.046810363034515565
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10,0.5446020670426112,0.04855571649516027
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",11,0.5442893825392333,0.04842073462316573
1000_0.0001_rbf,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",12,0.5441882626273088,0.04832310646256532
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",13,0.5437131354785505,0.04998084836561111
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",14,0.543582024593742,0.04952589955061061
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",15,0.5422155646418714,0.04863090380923643
100_3_0.1_poly,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",16,0.541980565813097,0.04723722210597572
0.1_3_1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",17,0.5418666587794231,0.047266387147759055
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",18,0.541674849285508,0.047116064895755226
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",19,0.5412536779401662,0.04979800252108922
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",19,0.5412536779401662,0.04979800252108922
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",21,0.5412493305230829,0.04979221507494436
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",22,0.5409848233802769,0.04915803946731386
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",23,0.5407101516019628,0.0467992182308423
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",24,0.5407001115003114,0.045763380719895226
