num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.5412649107733107,0.047030246418463366
010,1000_linear,"{'C': 1000, 'kernel': 'linear'}",12,0.5290704390617483,0.047140231310651384
010,1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",4,0.5339996299331636,0.04985251229682675
010,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",10,0.5291834213797195,0.0442536200422249
025,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5956248304789681,0.055746864174476336
025,10_linear,"{'C': 10, 'kernel': 'linear'}",9,0.5845421790741192,0.050979854237336135
025,100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",2,0.5918895288952877,0.056904110700573274
025,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",8,0.5845465920488735,0.05151715500479039
050,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6276924351627375,0.0504128070393419
050,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",3,0.6260172926663217,0.05147522099215338
050,100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",8,0.6240506297331546,0.044621333412273895
050,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",3,0.6260172926663217,0.05147522099215338
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6377624360257946,0.047675613012368064
100,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",15,0.6268667456677222,0.04841733623294775
100,100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",2,0.6367691384914059,0.05111940955883959
100,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",15,0.6268667456677222,0.04841733623294775
200,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6671134147501018,0.04641018835008249
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",22,0.6595657833443379,0.04657305584900171
200,100_2_0.01_poly,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6665778228522783,0.04750156716236938
200,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",21,0.6599181130724151,0.04663712380033524
300,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6874010095210827,0.04271700439964808
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",17,0.6719713310699802,0.04690935777235796
300,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6808340887864206,0.04811995720175535
300,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",17,0.6719713310699802,0.04690935777235796
400,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.04746388345237144
400,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",26,0.6848087524114432,0.04833990392528709
400,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.7043822129995122,0.04463198819832969
400,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",23,0.6849997301877047,0.04827251639642123
500,1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.697434544034143,0.04864663829173641
500,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",37,0.6843372994850823,0.048978354926824494
500,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6942841622340522,0.04779690258107337
500,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",35,0.6847958061076529,0.05136851020652087
600,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6993349831302698,0.04950550368047092
600,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.6819942199673074,0.05115206965128705
600,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.690893158906208,0.04916585531024769
600,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",18,0.6819965700167995,0.05112648858143978
700,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7030322347822174,0.049605002793284135
700,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",33,0.6869444145316437,0.04963361416511408
700,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6939476350740421,0.048115402519751514
700,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",34,0.6869337045871768,0.04964281643246956
800,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6899296113033685,0.05072118240371622
800,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",40,0.6734788839510013,0.05022035646456599
800,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",4,0.6884226158015433,0.04976603170225332
800,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",38,0.6743137491946544,0.05015756420872579
900,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6891096388721338,0.048400814979102987
900,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",64,0.6665940499015136,0.05100129803814482
900,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",7,0.6843236473242458,0.0499700781986755
900,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",61,0.6681349068078123,0.04873451720714268
972,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",2,0.6818845464640941,0.049451865113347766
972,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",62,0.6672556844279812,0.050366341121114565
972,1_4_0.01_poly,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6830316333156357,0.049485490319137584
972,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",33,0.6719344860853653,0.05087956355367725
