num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",29,0.5253639632349953,0.0481672785098608
25,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",16,0.5791584560732911,0.05254895376997122
50,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6276924351627375,0.0504128070393419
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6377624360257946,0.047675613012368064
200,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6671134147501018,0.04641018835008249
300,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",9,0.6771169058188247,0.04548163056018308
400,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",13,0.6899839896783594,0.04761456216317883
500,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",11,0.689667211695004,0.05073678733006256
600,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",12,0.6852830185707671,0.05312072729177765
700,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",13,0.6881920985870399,0.05057709631484191
800,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",8,0.6828135577939767,0.05213308629119166
900,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",30,0.6753496507661702,0.052643487143877066
972,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",30,0.6753480575558374,0.049946893701732775
10,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.5323683372233375,0.04933849812248407
25,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.5956248304789681,0.055746864174476336
50,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",30,0.6124574797826495,0.049104975465043776
100,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",40,0.6086686694526966,0.05349328597389733
200,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6652388495059107,0.043695827019556925
300,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6874010095210827,0.04271700439964808
400,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.04746388345237144
500,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.697434544034143,0.04864663829173641
600,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6993349831302698,0.04950550368047092
700,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7030322347822174,0.049605002793284135
800,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6899296113033685,0.05072118240371622
900,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6891096388721338,0.04840081497910298
972,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",2,0.6818845464640941,0.049451865113347766
10,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.5412649107733107,0.047030246418463366
25,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",65,0.541500377269299,0.05664587834649688
50,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",42,0.6004134432595155,0.04695392618427173
100,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",31,0.6171414191610062,0.050726915121072975
200,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",102,0.5713032780216876,0.050969561479052974
300,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",110,0.4523373982032994,0.04705459779103082
400,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",120,0.3404088005740741,0.05631993713936695
500,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",169,0.22067609515242784,0.037566849529797115
600,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",169,0.18252587745099105,0.044836240108484166
700,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",168,0.17496655198341896,0.04827483570197049
800,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",169,0.14723814034058738,0.03610624361557759
900,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",168,0.12809992661809189,0.030150779075339744
972,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",167,0.12501668280099548,0.029589018114789638
10,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",20,0.5281040533321734,0.048718845562565886
25,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",32,0.5746822146817896,0.056760418853215186
50,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",79,0.5730169308328447,0.04747909878698543
100,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",83,0.5906309290652078,0.05316545455456033
200,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",11,0.6639718461804905,0.0443126297987844
300,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6874010095210827,0.04271700439964808
400,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.04746388345237144
500,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.697434544034143,0.04864663829173641
