num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.551207301246297,0.050361577897347964
010,1_linear,"{'C': 1, 'kernel': 'linear'}",5,0.5535788271255485,0.05316334065575143
010,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",20,0.5441892973791486,0.04924815517840685
010,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",1,0.555540133704777,0.052515309805204975
025,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.5955667866788034,0.05128956797584508
025,1_linear,"{'C': 1, 'kernel': 'linear'}",13,0.5881823877089689,0.04928531659958992
025,0.1_2_scale_poly,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",3,0.5910654652853944,0.05318542529094818
025,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.5898231161208247,0.04999790007249275
050,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6056781570016124,0.05593473896023544
050,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",12,0.598188050605489,0.05541581548869385
050,1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",14,0.5979884393204532,0.05362415698991395
050,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",5,0.6039553872873658,0.05511851411850964
100,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6305412526958899,0.05775460805629142
100,1_linear,"{'C': 1, 'kernel': 'linear'}",7,0.6276265313106817,0.0553914216368882
100,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",6,0.6277253292321587,0.05831575515244596
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.627819160415485,0.055526782064271536
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",5,0.6639249674495333,0.05369112740036397
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",25,0.6532977190729429,0.05125085685807496
200,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6672208797250893,0.047292092570187086
200,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",15,0.6597323767284575,0.050266822580468606
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6811166817742181,0.05126105484701928
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",17,0.6686121661217649,0.04942377307149383
300,100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6838695019804032,0.05164973576096952
300,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",16,0.6687389352701899,0.048908219053912995
400,10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6924168190453593,0.05280995030515567
400,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",21,0.680036937349111,0.05202194006743033
400,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6897844509963827,0.05113219093108015
400,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",15,0.6826392954336751,0.05087971290239968
412,100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6899330466953469,0.052137598488684656
412,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",22,0.6782019521010192,0.05043857799624722
412,100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.6856479292880333,0.05033413419544761
412,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6800444128429011,0.051134537097063934
