num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",18,0.5450201724665876,0.05380354575333388
25,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",20,0.5864424222072037,0.054329685023053374
50,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.6056781570016124,0.05593473896023544
100,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",18,0.6242254655382707,0.05464115175183569
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",5,0.6639249674495333,0.05369112740036397
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",4,0.6811166817742181,0.05126105484701928
400,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",6,0.6869348474507625,0.05351695556752534
412,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",13,0.6798532878317289,0.0520348774651719
10,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",30,0.5387103985645837,0.04957205627225001
25,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1,0.5955667866788034,0.05128956797584508
50,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",2,0.6054057420005791,0.05034552790552912
100,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",40,0.6186929049542801,0.05700169349837975
200,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",94,0.5905993359374472,0.0534852659979705
300,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",100,0.5322253658590594,0.05370242431098976
400,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",117,0.4104352924141828,0.051929238234596685
412,1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",117,0.3939588077367285,0.05101270171268669
10,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",63,0.5296684399508717,0.050270062764658716
25,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",56,0.5583248960313336,0.05832794781783124
50,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",59,0.5665038795332905,0.05147041224868836
100,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6305412526958899,0.05775460805629142
200,10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",19,0.6583626225260406,0.051014677865765835
