num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",1,0.555540133704777,0.052515309805204975
25,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.5898231161208247,0.04999790007249275
50,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",5,0.6039553872873658,0.05511851411850964
100,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",35,0.6191126504717558,0.054016470624111926
200,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",67,0.6357218655560576,0.04899779858973606
300,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",77,0.6448717247929929,0.049077666233048316
400,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",82,0.6493935564569361,0.0507618973615561
412,10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",82,0.648073019557651,0.05176163275789729
10,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",1,0.555540133704777,0.052515309805204975
25,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",28,0.58437400068684,0.04925147602301129
50,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",25,0.5937584616184153,0.04903841066929863
100,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",101,0.5320587863931322,0.04915927315115889
200,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",114,0.4255269640261129,0.05053702160118951
300,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",115,0.4602738121466789,0.047522284164351586
400,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",120,0.32523773879920875,0.03620418776858792
412,10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",162,0.2614375714555286,0.037100540614767724
10,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",74,0.501408775572228,0.051452908990711824
25,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",27,0.5846145327953242,0.04906164263416813
50,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",21,0.5974553100143923,0.05390545326023071
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.627819160415485,0.055526782064271536
200,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",15,0.6597323767284575,0.050266822580468606
300,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",24,0.6670460316900819,0.050079836162637184
400,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",15,0.6826392954336751,0.05087971290239968
412,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",12,0.6800444128429011,0.05113453709706394
10,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",51,0.5324269401013916,0.05070198015283402
25,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",23,0.5860155036599406,0.05448893004735514
50,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",12,0.598188050605489,0.05541581548869385
100,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",33,0.6194677365797618,0.05395603346865957
200,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",25,0.6532977190729429,0.05125085685807496
300,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",16,0.6687389352701899,0.048908219053913
400,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",21,0.680036937349111,0.05202194006743033
412,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",23,0.6780868837486704,0.050408832561066166
