kernel,params,rank_test_score,mean_test_score,std_test_score
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1,0.6305412526958899,0.05775460805629142
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.6305176333397713,0.057007017347693374
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.6285130345510659,0.057582321830715454
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.627819160415485,0.055526782064271536
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",4,0.627819160415485,0.055526782064271536
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",6,0.6277253292321587,0.058315755152445956
1_linear,"{'C': 1, 'kernel': 'linear'}",7,0.6276265313106817,0.0553914216368882
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.6276265313106817,0.0553914216368882
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",9,0.62610321427001,0.05765757110033322
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",10,0.6261003502640973,0.05765975222158014
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",10,0.6261003502640973,0.05765975222158014
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",10,0.6261003502640973,0.05765975222158014
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",13,0.6260145567610479,0.054260618321584166
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",13,0.6260145567610479,0.054260618321584166
100_0.001_rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",15,0.6250329383187254,0.05510863491876032
