num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",4,0.4877970644329439,0.051365092005345454
010,10_linear,"{'C': 10, 'kernel': 'linear'}",6,0.4875734345301664,0.052499530722110166
010,10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",1,0.4896470640975011,0.04393877647554164
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",5,0.4877447880584257,0.052321577558595865
025,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5549122466129169,0.04968006270855467
025,100_linear,"{'C': 100, 'kernel': 'linear'}",20,0.5390524799932216,0.054771907884985815
025,100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",3,0.5542612045097244,0.050908684297197235
025,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",24,0.5373890192580009,0.052326529617523855
050,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.5838706689001758,0.057142866602248175
050,1_linear,"{'C': 1, 'kernel': 'linear'}",20,0.5755656875887764,0.054917012437921985
050,100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",1,0.5879476062274669,0.05120263778940345
050,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",17,0.5777761715654968,0.05184061299582608
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10,0.5918201218890915,0.04900561834379871
100,1_linear,"{'C': 1, 'kernel': 'linear'}",23,0.5813578955712514,0.05378843719720332
100,1_4_0.1_poly,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",1,0.5982611708160104,0.05327704695756071
100,1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",24,0.5811787840776449,0.05367151143311594
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.6087469158874916,0.056600962386126885
200,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",16,0.6020154655088719,0.049775439673828685
200,1000_4_0.01_poly,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",1,0.6159036955332838,0.05295820976566282
200,100_0.001_sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",16,0.6020154655088719,0.049775439673828685
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",2,0.6134656471294337,0.05023062045101195
300,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",19,0.5998481462876045,0.0492271994756004
300,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6159566544988067,0.051448610986894565
300,10_0.01_sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",16,0.6006371300354603,0.04855697456287343
322,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.607629398960451,0.05022975830636532
322,0.1_linear,"{'C': 0.1, 'kernel': 'linear'}",13,0.601253557420804,0.048653973738792766
322,0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",1,0.6096525879205116,0.05017038092248738
322,1000_0.0001_sigmoid,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'sigmoid'}",12,0.6013660958485597,0.04866395831297647
