num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",32,0.4753401171064698,0.05009921737583909
25,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",17,0.5427420580613329,0.05245576465516257
50,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",12,0.5795879755250509,0.0538219238965531
100,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10,0.5918201218890915,0.04900561834379871
200,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10,0.6061691554319758,0.05473514864221552
300,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",3,0.6125100259029651,0.04801248557398652
322,1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",4,0.6048483081338282,0.04754599307670542
10,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",46,0.4635942778314537,0.049887631519634594
25,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",38,0.5310691811887334,0.04976116383262241
50,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",28,0.5726626745875429,0.05426327957282711
100,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",13,0.5903791006129004,0.05300318029466572
200,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",8,0.6087469158874916,0.056600962386126885
300,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",2,0.6134656471294337,0.05023062045101195
322,1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.607629398960451,0.05022975830636532
10,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",18,0.4837595422561061,0.04959104443838173
25,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.5549122466129169,0.04968006270855467
50,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",13,0.5792845982880064,0.051644861563234966
100,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",27,0.5788253661792874,0.05081871289327735
200,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",64,0.580956148122555,0.05006993402517956
300,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",51,0.5846523202531987,0.05209523507061605
322,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",61,0.5841624664450875,0.05380406606070127
10,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.487042146752553,0.05099670653175148
25,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",18,0.5406669840428625,0.05185944329732922
50,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.5838706689001758,0.057142866602248175
100,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",27,0.5788253661792874,0.05081871289327735
200,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",79,0.5749267425940985,0.0535299733143904
300,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",79,0.5723910143256927,0.0516580332077
322,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",82,0.5650191507147472,0.049906389255215816
10,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",4,0.4877970644329439,0.051365092005345454
25,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",22,0.5380963392638081,0.051544352004722134
50,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",18,0.577733273686459,0.05383500280785242
100,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",35,0.5771613924554275,0.050220656156489116
200,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",83,0.569235557889788,0.04954711439801245
300,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",85,0.5651302780209745,0.04959537933386988
322,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",85,0.5598223101247118,0.05187621148650631
