kernel,params,rank_test_score,mean_test_score,std_test_score
10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",1,0.4896470640975011,0.04393877647554164
1000_2_0.1_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",2,0.4895468687001933,0.043994706524005334
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",2,0.4895468687001933,0.043994706524005334
1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",4,0.48779706443294385,0.051365092005345454
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",5,0.4877447880584257,0.052321577558595865
10_linear,"{'C': 10, 'kernel': 'linear'}",6,0.48757343453016644,0.05249953072211016
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",7,0.4870612555986674,0.04894983970110954
100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",8,0.48704214675255303,0.05099670653175148
100_linear,"{'C': 100, 'kernel': 'linear'}",9,0.48670020880622095,0.053255794945489945
100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",10,0.48611705004911615,0.05214456413904804
100_0.1_sigmoid,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",10,0.48611705004911615,0.05214456413904804
1000_linear,"{'C': 1000, 'kernel': 'linear'}",12,0.48607365880620196,0.054032036596178216
1_linear,"{'C': 1, 'kernel': 'linear'}",13,0.4855141957920198,0.05321334601976377
100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",14,0.4855137344372651,0.053214342365166076
1000_0.001_sigmoid,"{'C': 1000, 'gamma': 0.001, 'kernel': 'sigmoid'}",15,0.4854233018085766,0.053233510493886825
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",16,0.48494064032979034,0.048872050014727435
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",16,0.48494064032979034,0.048872050014727435
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",18,0.48375954225610607,0.04959104443838174
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",18,0.48375954225610607,0.04959104443838174
10_auto_sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",20,0.4832586462094555,0.05346479471090074
10_0.1_sigmoid,"{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",20,0.4832586462094555,0.05346479471090074
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",22,0.4828584925549302,0.05310042397455783
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",22,0.4828584925549302,0.05310042397455783
10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",24,0.4827127006110105,0.04660120691958261
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",25,0.48039452530383026,0.045371426243359075
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",26,0.48029821140381385,0.052262122593498085
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",27,0.47761598120390936,0.05201341762934041
1_1_rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",28,0.4757539047970684,0.04850804998039033
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",29,0.4755603462032253,0.0468753703803995
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",29,0.4755603462032253,0.0468753703803995
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",31,0.4754459161887952,0.04673014521611501
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",32,0.4753401171064698,0.05009921737583908
10_3_1_poly,"{'C': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",33,0.470295022576584,0.05237662115302397
10_2_auto_poly,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",34,0.469953230851588,0.051032586441702
10_2_0.1_poly,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",34,0.469953230851588,0.051032586441702
1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",36,0.4698228415931499,0.05088451287499617
0.1_2_1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",36,0.4698228415931499,0.05088451287499617
