num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
010,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.5565343360479491,0.04735305692429093
010,10_linear,"{'C': 10, 'kernel': 'linear'}",18,0.5406051151543584,0.039531039647104346
010,10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",6,0.5465298385522231,0.046172967314241725
010,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",20,0.5397931668626534,0.0395953082820712
025,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.5967290209596213,0.050313627058280685
025,1_linear,"{'C': 1, 'kernel': 'linear'}",11,0.593117899346573,0.050400523475278736
025,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",12,0.5927645284249218,0.048000174517536257
025,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",3,0.5946783088302099,0.0485879370093929
050,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6416401820710489,0.04797963088728542
050,1_linear,"{'C': 1, 'kernel': 'linear'}",6,0.6384386597196432,0.04714421303004245
050,1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",10,0.632446815181805,0.04575780676975158
050,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6397532660702463,0.0462666277800468
100,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6613455906931116,0.0356867082385437
100,1_linear,"{'C': 1, 'kernel': 'linear'}",7,0.65964501771032,0.0378711261960581
100,1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",8,0.6508570818788716,0.04098352670310694
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6597382781979286,0.038194377318993306
122,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",5,0.6565464734647374,0.04140442009549957
122,1_linear,"{'C': 1, 'kernel': 'linear'}",2,0.6612321737450239,0.04132557185333945
122,1000_2_0.01_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",8,0.652180413309521,0.039609202361557
122,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",1,0.6614289306985759,0.04113242530865846
