num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",64,0.4799691948623919,0.04451267331421886
25,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",3,0.5946783088302099,0.0485879370093929
50,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6397532660702463,0.0462666277800468
100,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6597382781979286,0.038194377318993306
122,100_auto_sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",4,0.6599067805516553,0.042476928262213366
10,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",43,0.5298184014046086,0.04412634305099684
25,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",8,0.593429082985401,0.05069230281808186
50,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",8,0.6381031297220007,0.047121971923036035
100,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",4,0.6597382781979286,0.038194377318993306
122,100_0.01_sigmoid,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}",1,0.6614289306985759,0.04113242530865846
10,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",20,0.5397931668626534,0.0395953082820712
25,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",21,0.5860760330212781,0.04786649621582435
50,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",11,0.6324451514202842,0.04534818811151894
100,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",26,0.6249339512760178,0.03879484509832062
122,1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",38,0.6096547151440973,0.03711917887660321
