kernel,params,rank_test_score,mean_test_score,std_test_score
10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.5565343360479491,0.04735305692429093
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",2,0.5524151123965675,0.04383181042716684
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",3,0.5505797053892789,0.042946812187183964
1000_auto_rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",3,0.5505797053892789,0.042946812187183964
1000_0.01_rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.5477855635285797,0.040163150207825224
10_2_scale_poly,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",6,0.5465298385522231,0.046172967314241725
100_2_1_poly,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",7,0.5460988068202621,0.04520065445652146
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",8,0.5460486436161722,0.05367863421515416
100_2_scale_poly,"{'C': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",9,0.5455155501610541,0.04591379426323184
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",10,0.5451748668042985,0.043609123582780684
100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",10,0.5451748668042985,0.043609123582780684
10_2_1_poly,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",12,0.5448015544166213,0.04417493568923112
1000_2_auto_poly,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",13,0.5446938308393855,0.04423419429947812
1000_2_0.1_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",13,0.5446938308393855,0.04423419429947812
10_3_scale_poly,"{'C': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",15,0.5420139481631258,0.042968638979390496
1000_2_scale_poly,"{'C': 1000, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",16,0.5416993608965086,0.04239543251029764
100_1_rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",17,0.5413746570091321,0.05186687639884921
10_linear,"{'C': 10, 'kernel': 'linear'}",18,0.5406051151543584,0.039531039647104346
1_4_1_poly,"{'C': 1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}",19,0.5403836740791677,0.04592860773135635
1000_0.01_sigmoid,"{'C': 1000, 'gamma': 0.01, 'kernel': 'sigmoid'}",20,0.5397931668626534,0.039595308282071195
10_3_1_poly,"{'C': 10, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",21,0.5390929408095478,0.0459438908058419
1_4_scale_poly,"{'C': 1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",22,0.5389194752605838,0.04577741076959258
1000_2_1_poly,"{'C': 1000, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",23,0.5387247771030593,0.0416380432032838
100_linear,"{'C': 100, 'kernel': 'linear'}",24,0.5383609180379455,0.04069937181053605
1_2_1_poly,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",25,0.5376665011352754,0.04277835222888314
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",26,0.5375865392933201,0.04267323255812258
100_2_0.1_poly,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",26,0.5375865392933201,0.04267323255812258
1000_linear,"{'C': 1000, 'kernel': 'linear'}",28,0.5371274921975432,0.04098002753588237
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",29,0.5366319572292357,0.04207251482512702
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",30,0.536486597641429,0.04080875197166055
10_auto_rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",30,0.536486597641429,0.04080875197166055
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",32,0.5360191322193559,0.04473828652274034
