Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_positiv;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_affil;Semantic_GI_ngtv;Semantic_GI_hostile;Semantic_GI_strong;Semantic_GI_power;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_active;Semantic_GI_passive;Semantic_GI_pleasur;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_emot;Semantic_GI_virtue;Semantic_GI_vice;Semantic_GI_ovrst;Semantic_GI_undrst;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_econ;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_role;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_socrel;Semantic_GI_male;Semantic_GI_female;Semantic_GI_nonadlt;Semantic_GI_hu;Semantic_GI_place;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_tool;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_com;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_try;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_complet;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_travel;Semantic_GI_fall;Semantic_GI_know;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_eval;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_abs;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_card;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_time;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_no;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_iav;Semantic_GI_dav;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powoth;Semantic_GI_powtot;Semantic_GI_rcethic;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affgain;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_afftot;Semantic_GI_wltoth;Semantic_GI_wlttot;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_wlbtot;Semantic_GI_enlgain;Semantic_GI_enlends;Semantic_GI_enloth;Semantic_GI_enltot;Semantic_GI_skloth;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_surelw;Semantic_GI_if;Semantic_GI_notlw;Semantic_GI_timespc;Semantic_GI_formlw;Stylistic_WordsDictionary_Count;Stylistic_CapitalLetters_cfcl
L001-141;Q4;L001-141;2.821111111111111;1.3955555555555557;1.9749434343434369;1.5489595959595956;1.8707070707070703;-1;0.125;0.2;0.0555555555555555;0.125;0.0555555555555555;0.0;21;2;21;10;2;1;8;1;10;2;26;29;0;0;3;0;11;0;7;1;0;0;2;0;2;0;11;0;0;0;0;1;0;2;1;7;0;6;0;1;10;0;0;0;2;8;5;3;0;0;2;1;8;0;1;2;1;3;2;3;1;0;5;1;7;0;1;0;0;0;0;4;6;2;2;0;11;0;0;5;0;6;2;12;2;2;6;15;6;16;0;0;0;5;0;6;0;0;0;0;1;47;14;2;0;0;0;3;3;0;0;6;10;0;0;0;10;0;0;0;0;2;0;0;2;2;2;0;0;3;0;0;3;8;1;7;16;0;1;0;2;9;0;3;0;0;0;3;0;3;0;33;2;35;20
L002-157;Q3;L002-157;2.55;2.44;1.9500259259259247;1.7587777777777778;1.5444444444444454;-1;0.2;0.225;0.1428571428571428;0.0875;0.1428571428571428;0.0;12;5;12;12;5;2;13;2;5;4;45;8;0;0;0;0;2;0;7;6;0;0;2;0;0;0;2;0;3;2;0;12;2;6;0;7;5;5;1;14;4;4;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;6;1;4;4;1;0;0;16;1;1;0;4;4;0;22;0;0;3;0;3;0;0;2;1;1;0;8;0;0;2;2;0;2;0;0;1;14;0;22;0;0;0;2;7;59;17;9;0;0;1;0;4;0;0;7;3;0;0;0;3;0;0;0;0;0;10;4;14;0;0;0;0;0;0;1;1;6;0;0;6;1;1;0;0;4;0;9;0;0;0;0;0;0;2;7;0;35;26
L004-120;Q1;L004-120;2.7186666666666666;2.5073333333333334;1.94682;1.7105438297872329;1.5208510638297863;-1;1.0;1.0;0.5;0.6666666666666666;0.5;1.0;59;21;58;70;20;11;53;10;8;2;61;57;33;2;9;35;14;20;55;23;0;0;5;0;3;4;10;0;0;2;0;3;0;10;3;49;0;0;0;3;2;0;0;1;0;1;5;2;0;3;0;2;11;7;2;5;4;4;7;3;5;0;4;0;6;0;4;5;2;3;1;8;0;10;8;2;2;1;9;6;4;9;6;47;7;7;11;24;5;23;0;4;4;30;0;38;0;1;0;13;2;73;22;30;0;1;4;0;1;1;3;10;13;0;0;0;13;0;0;3;3;42;0;20;62;3;3;0;2;0;3;0;5;3;0;9;12;3;3;0;0;16;0;7;0;2;3;0;4;7;11;35;3;108;26
L005-84;Q1;L005-84;2.623333333333333;1.606666666666667;1.801015254237288;1.6305805084745764;1.5847457627118642;-1;0.3;0.3;0.0692307692307692;0.3;0.0666666666666666;0.15;15;12;17;14;10;9;95;10;10;0;56;21;0;1;2;0;5;4;9;8;1;0;3;0;33;0;1;0;1;33;0;4;1;7;0;21;1;0;0;5;7;2;2;2;1;0;13;6;2;2;3;2;20;18;0;6;3;0;10;0;9;0;7;6;3;2;1;0;0;4;0;7;0;2;1;0;6;0;1;9;1;43;1;9;1;1;1;67;42;18;0;2;1;5;0;4;28;3;0;1;2;70;12;20;0;1;0;0;0;1;0;3;1;0;1;0;2;0;0;0;0;1;0;0;1;1;1;0;5;3;1;0;9;14;2;5;21;0;0;0;0;13;0;6;2;1;1;0;5;5;1;24;16;75;43
L006-135;Q2;L006-135;1.59;2.500625;1.8188440433212991;1.6915335740072184;1.5530685920577598;-1;1.0;1.0;1.0;1.0;0.45;0.2;54;80;56;34;73;50;53;14;46;19;75;95;4;7;26;18;17;23;31;19;1;4;13;2;12;1;9;4;0;6;7;10;2;9;3;35;2;0;0;12;9;4;0;1;3;1;13;9;0;2;0;4;23;14;2;11;4;3;5;4;0;13;18;1;4;0;9;1;0;6;1;9;3;34;15;3;10;3;13;26;14;20;11;29;4;2;7;32;6;30;1;0;13;2;3;47;2;9;4;16;19;99;42;52;3;4;1;12;2;2;6;28;18;8;3;4;35;1;1;8;10;8;0;3;11;12;14;1;8;8;2;1;20;11;0;42;53;7;7;0;6;9;2;17;1;1;11;4;10;8;19;60;13;119;83
L007-76;Q3;L007-76;2.4336363636363645;2.0354545454545456;1.880982467532469;1.7236350649350645;1.5948051948051931;-1;1.0;1.0;0.1333333333333333;0.2571428571428571;0.1333333333333333;0.0217391304347826;22;14;22;30;15;10;35;9;24;5;60;32;8;3;6;8;6;4;27;26;0;0;4;0;1;2;2;0;0;0;0;9;0;4;0;26;4;2;4;9;2;2;0;0;0;0;1;0;1;0;0;1;6;3;5;4;2;8;5;3;1;3;5;2;6;0;2;1;0;0;3;9;0;5;11;0;3;2;4;8;4;8;1;18;2;2;1;11;2;13;0;0;2;18;0;28;0;0;2;17;6;65;26;28;0;3;3;0;2;0;6;14;5;0;0;0;5;1;2;1;4;9;1;8;18;0;0;1;0;7;2;4;14;9;0;10;19;1;2;4;0;5;0;7;0;1;3;2;12;1;18;23;5;75;28
L008-146;Q3;L008-146;2.84;2.56;2.028551533742332;1.713820245398772;1.6981595092024524;-1;1.0;1.0;1.0;0.8;0.7;0.0217391304347826;32;10;32;34;9;11;37;11;8;1;67;29;2;2;11;6;3;0;13;9;0;0;0;0;6;2;0;0;0;3;0;10;1;10;0;22;8;10;6;11;0;0;0;0;0;0;5;4;0;1;0;0;4;2;1;2;6;3;2;0;0;8;3;4;3;2;1;4;0;0;8;1;0;10;16;0;7;1;1;18;10;10;0;8;1;1;0;13;0;11;0;0;4;37;6;16;2;0;1;2;6;61;29;25;0;0;2;5;0;0;17;24;5;0;0;0;5;1;4;0;5;7;8;5;20;4;4;0;0;3;4;0;7;10;2;23;35;0;0;8;3;5;0;8;1;2;3;3;3;3;2;18;3;91;37
L009-151;Q4;L009-151;2.611;2.2;2.085313207547169;1.8346396226415087;1.8150943396226416;1;1.0;1.0;0.2;0.3;0.0555555555555555;1.0;21;2;21;9;2;2;7;3;1;0;20;16;13;1;2;8;3;0;6;3;0;0;2;0;3;7;4;0;1;3;0;4;0;1;0;5;0;0;2;4;5;1;0;0;0;0;4;1;0;3;0;0;10;5;0;0;1;1;0;0;1;0;2;0;0;0;0;1;0;1;2;0;0;2;6;0;1;0;1;2;2;2;4;6;0;0;0;1;0;5;0;0;0;7;1;8;1;0;0;1;0;19;7;4;0;0;0;1;0;1;8;12;3;0;0;0;3;0;0;1;1;4;0;2;6;4;4;0;1;1;10;2;14;5;0;2;7;0;0;0;0;2;0;0;0;0;0;0;4;0;1;1;4;24;16
L010-168;Q4;L010-168;2.799166666666667;1.8866666666666667;1.9665055555555568;1.6407694444444445;1.6981481481481482;-1;0.2666666666666666;1.0;0.0909090909090909;1.0;0.04;1.0;10;3;9;3;3;2;25;4;5;1;36;16;3;0;5;0;2;0;17;12;0;3;0;0;0;15;3;0;0;0;4;2;0;16;0;5;0;0;0;2;12;1;2;0;1;8;19;10;0;9;0;1;7;8;0;1;1;1;3;2;2;0;4;2;1;2;0;1;3;0;1;3;1;6;10;0;6;0;1;4;0;6;10;18;1;1;4;13;6;8;0;1;1;3;0;1;0;0;0;2;3;36;10;17;1;0;0;0;0;0;6;6;1;0;0;1;2;1;0;1;2;1;0;0;1;0;0;0;0;7;0;0;7;1;2;10;13;6;18;2;0;7;0;0;1;5;0;1;5;4;2;18;3;31;23
L011-156;Q4;L011-156;2.5966666666666667;2.49;1.8469047619047625;1.5662755952380958;1.7535714285714283;-1;1.0;0.2666666666666666;0.0909090909090909;0.2666666666666666;0.2666666666666666;0.225;26;5;26;11;4;7;26;15;1;1;40;7;1;3;0;1;6;2;8;7;1;1;12;1;11;10;3;0;1;5;0;10;5;12;3;14;5;3;1;15;18;2;3;8;0;5;6;4;0;2;0;6;14;11;1;0;0;3;2;2;2;4;2;0;4;1;1;3;1;3;0;4;2;5;1;0;2;1;5;2;0;1;4;8;1;1;1;9;1;30;1;1;0;10;1;0;0;2;0;1;3;39;16;2;1;9;5;2;1;1;1;22;2;0;0;0;2;0;1;1;2;0;0;0;0;9;13;1;0;3;10;5;19;2;0;4;6;5;8;0;1;7;0;1;1;0;0;1;10;2;1;26;9;76;42
